method,family,n_runs,n,n_ci95,res68_abs_frac,res68_abs_frac_ci95,bias_median_frac,bias_median_frac_ci95,frac_within10,frac_within10_ci95
observed_saturated,observed,7,2434.1428571428573,"[2077.5714285714284, 2974.371428571428]",0.2674514856706497,"[0.25878984115967274, 0.2776892066594488]",-0.20733394296326027,"[-0.21788633773298413, -0.19783116375100918]",0.16942828700627724,"[0.15055504080940665, 0.18432890644262329]"
traditional_template,traditional,7,2434.1428571428573,"[2058.9142857142856, 2937.4071428571424]",0.27458748404731065,"[0.2584746296864553, 0.29108195887560684]",-0.07550623094066737,"[-0.0936887716752693, -0.06027604526361355]",0.34233818167373425,"[0.33012888488793535, 0.35621945407999467]"
ridge,ml_nn,7,2434.1428571428573,"[2063.2214285714285, 2937.285714285714]",0.07894770151988388,"[0.07800923156984814, 0.07995144631550129]",-0.04690309597952852,"[-0.05057727284546104, -0.04318142163745995]",0.8189557876899494,"[0.8078786119623481, 0.8297983429141117]"
gradient_boosted_trees,ml_nn,7,2434.1428571428573,"[2092.1071428571427, 2946.5714285714284]",0.04310319760772391,"[0.04110010223392981, 0.045486682308190564]",-0.0029477553759968975,"[-0.006941596159553131, 0.0009337650243940038]",0.9406750923477188,"[0.9199794234929858, 0.959202439400469]"
mlp,ml_nn,7,2434.1428571428573,"[2093.8571428571427, 2969.5714285714284]",0.03908722583788735,"[0.03489842531945582, 0.04322553759288221]",-0.0011608275168125666,"[-0.004230571933983686, 0.0026502547464023352]",0.9362523914751611,"[0.9188771406350367, 0.9532673408108289]"
cnn1d,ml_nn,7,2434.1428571428573,"[2055.9392857142857, 2914.892857142857]",0.05629439027463268,"[0.049400212073591646, 0.06352607778027816]",0.023345188015051997,"[0.017886011440142492, 0.029333682594565258]",0.8906216940456131,"[0.8533555081551351, 0.9280649154449965]"
gated_residual_cnn,ml_nn,7,2434.1428571428573,"[2054.5714285714284, 2869.703571428571]",0.03419365584691681,"[0.032486796378072794, 0.0361607648336528]",-4.468864543770645e-05,"[-0.0032913742414292756, 0.003473813560501591]",0.9537155354613036,"[0.9424707812719946, 0.9668041421128561]"
