run,method,family,n,res68_abs_frac,bias_median_frac,frac_within10
58,observed_saturated,observed,3845,0.2835393157800466,-0.22757555276624505,0.14044213263979194
58,traditional_template,traditional,3845,0.2972967965622414,-0.04547525495781491,0.37789336801040313
58,ridge,ml_nn,3845,0.0786926119472564,-0.055103953253647225,0.8179453836150845
58,gradient_boosted_trees,ml_nn,3845,0.040498557800529134,-0.012328330144570401,0.9708712613784135
58,mlp,ml_nn,3845,0.03117822594121384,0.0032863919079682393,0.9802340702210663
58,cnn1d,ml_nn,3845,0.04469932262334559,0.014548260908262793,0.9664499349804941
58,gated_residual_cnn,ml_nn,3845,0.03317484080237659,-0.0022186608466130925,0.9864759427828349
59,observed_saturated,observed,2261,0.26577213139169176,-0.20366314951224368,0.18222025652366208
59,traditional_template,traditional,2261,0.28923000098404816,-0.06899176929173849,0.31667403803626715
59,ridge,ml_nn,2261,0.07789677802719082,-0.036846227062045524,0.8040689960194605
59,gradient_boosted_trees,ml_nn,2261,0.04909365065845614,0.006035875137545217,0.8823529411764706
59,mlp,ml_nn,2261,0.0486400307539892,0.008735526414470262,0.9009287925696594
59,cnn1d,ml_nn,2261,0.060563354084017675,0.01788571028914451,0.8460858027421495
59,gated_residual_cnn,ml_nn,2261,0.03879429838884991,0.006946802610775791,0.9323308270676691
60,observed_saturated,observed,1805,0.25429895470125313,-0.19126566922765872,0.18947368421052632
60,traditional_template,traditional,1805,0.24357034795763993,-0.11416232975307275,0.3301939058171745
60,ridge,ml_nn,1805,0.07789027125922296,-0.046521564929916395,0.8421052631578947
60,gradient_boosted_trees,ml_nn,1805,0.03966796597316767,-0.003648421422182174,0.9650969529085872
60,mlp,ml_nn,1805,0.03805284280933923,-0.005262037848947839,0.9468144044321329
60,cnn1d,ml_nn,1805,0.047455227849219586,0.016663760423072452,0.9340720221606649
60,gated_residual_cnn,ml_nn,1805,0.03345326201150098,0.005334580741980584,0.949584487534626
61,observed_saturated,observed,2073,0.2533134216912451,-0.1928160629603471,0.19536903039073805
61,traditional_template,traditional,2073,0.2479732869902832,-0.10243464602266353,0.3458755426917511
61,ridge,ml_nn,2073,0.07726709002445387,-0.04502655074571348,0.834539315002412
61,gradient_boosted_trees,ml_nn,2073,0.04139778425547863,-0.002473119273824734,0.9493487698986975
61,mlp,ml_nn,2073,0.04020932820599973,-0.0025528617751343027,0.9363241678726484
61,cnn1d,ml_nn,2073,0.07187445265939713,0.03585640261657311,0.8253738543174144
61,gated_residual_cnn,ml_nn,2073,0.03321382467661219,-0.0017781042589054257,0.9575494452484322
62,observed_saturated,observed,2137,0.25678186547751763,-0.1972707204495284,0.1881141787552644
62,traditional_template,traditional,2137,0.2573225504348808,-0.08087562344680246,0.3509592887225082
62,ridge,ml_nn,2137,0.08101617155318952,-0.04888190747160811,0.8039307440336921
62,gradient_boosted_trees,ml_nn,2137,0.04318748772133378,0.0018109372770852463,0.9396350023397286
62,mlp,ml_nn,2137,0.0445856415108297,-0.006138557948311021,0.9115582592419279
62,cnn1d,ml_nn,2137,0.06408674383059869,0.03356985473912867,0.8628919045390735
62,gated_residual_cnn,ml_nn,2137,0.033959279317704504,0.0018479770538828064,0.9480580252690688
63,observed_saturated,observed,2422,0.2857142857142857,-0.22521911590151378,0.14574731626754747
63,traditional_template,traditional,2422,0.3074271460132956,-0.05255792311128077,0.3274153592072667
63,ridge,ml_nn,2422,0.08024018770223569,-0.049195882760363796,0.8071841453344344
63,gradient_boosted_trees,ml_nn,2422,0.04524233617628415,-0.004214979725516941,0.9194880264244426
63,mlp,ml_nn,2422,0.037925659620091444,-0.0038482989700762225,0.9223781998348473
63,cnn1d,ml_nn,2422,0.05809194028688485,0.02678739704027646,0.8715937241948802
63,gated_residual_cnn,ml_nn,2422,0.03638829722247648,-0.002825886355459592,0.9380677126341866
65,observed_saturated,observed,2496,0.2727404249385077,-0.2135273299252851,0.14463141025641027
65,traditional_template,traditional,2496,0.2792922593887855,-0.06404607000129872,0.3473557692307692
65,ridge,ml_nn,2496,0.07963080012563803,-0.04674558563340508,0.8229166666666666
65,gradient_boosted_trees,ml_nn,2496,0.04263460066881784,-0.005816249480514496,0.9579326923076923
65,mlp,ml_nn,2496,0.03301885202374831,-0.002345954397657083,0.9555288461538461
65,cnn1d,ml_nn,2496,0.04728969058896518,0.018104930088905985,0.9278846153846154
65,gated_residual_cnn,ml_nn,2496,0.030371788508897057,-0.0076195294637250175,0.9639423076923077
