method,n_valid_doublets,median_abs_energy_residual,p68_abs_energy_residual,nominal_68_proxy_width,coverage_abs_resid_le_proxy,coverage_abs_resid_le_2proxy,calibration_ratio_p68_over_proxy
ridge,271,0.04219156741481867,0.06650252222854307,0.036,0.45387453874538747,0.6937269372693727,1.8472922841261965
saturation_residual_fusion_new,257,0.04662559257289152,0.06790941983634236,0.034999999999999996,0.4085603112840467,0.6964980544747081,1.9402691381812103
gradient_boosted_trees,252,0.05077589624436362,0.07358836956655601,0.034999999999999996,0.4126984126984127,0.6666666666666666,2.1025248447587432
tiny_sequence_transformer,147,0.07350933915461771,0.10496554512607392,0.034,0.2653061224489796,0.5170068027210885,3.087221915472762
1d_cnn,284,0.0744793293120033,0.1169274035424391,0.036,0.2535211267605634,0.46830985915492956,3.24798343173442
analytic_clipped_template_sideband_traditional,162,0.08269971064239628,0.12379723306671254,0.034,0.19135802469135801,0.41975308641975306,3.6410950901974277
mlp,240,0.11191520823216126,0.1525932444152847,0.036000000000000004,0.16666666666666666,0.3458333333333333,4.238701233757908
