method,heldout_run,detection_ap,detection_auc,time_bias_ns,time_sigma68_ns,late_tail_rate_abs_gt_15ns,pileup_miss_rate,false_split_rate,energy_fractional_bias,energy_fractional_sigma68,n_events,n_positive
1d_cnn,58,0.8771034933664356,0.8616042077580539,-0.6849969904892017,9.36534556435608,0.1810344827586207,0.2564102564102564,0.19230769230769232,0.051276702561134105,0.11648531699516619,156,78
1d_cnn,60,0.8739062806392885,0.8574950690335306,-0.7878487244802201,11.168205645673469,0.1810344827586207,0.2564102564102564,0.15384615384615385,0.07795581230152518,0.08740461367983,156,78
1d_cnn,62,0.7360389602535161,0.7205785667324128,-3.4670104216333097,10.77737736670283,0.17647058823529413,0.34615384615384615,0.2564102564102564,0.07632120850100603,0.10104392326098836,156,78
1d_cnn,64,0.8497706068314607,0.8519066403681789,-1.2170228695445884,9.119604883478244,0.15,0.23076923076923078,0.1794871794871795,0.026583117820109203,0.09428320231828757,156,78
1d_cnn,65,0.8054562803653877,0.7902695595003286,-2.133205446721589,11.027311445406742,0.17543859649122806,0.2692307692307692,0.23076923076923078,0.04001939662454386,0.1100562405052574,156,78
analytic_clipped_template_sideband_traditional,58,0.6825443551697754,0.6348619329388561,-0.8261331381155923,9.58623336138827,0.20588235294117646,0.5641025641025641,0.21794871794871795,0.059611324773519096,0.09176384357740927,156,78
analytic_clipped_template_sideband_traditional,60,0.6619370882091381,0.6056048652202499,2.6236687317804153,7.291138129006479,0.0967741935483871,0.6025641025641025,0.19230769230769232,0.10348472848027013,0.10487604540360153,156,78
analytic_clipped_template_sideband_traditional,62,0.6577103017995619,0.6027284681130836,0.7759348576728442,11.388719238400672,0.21875,0.5897435897435898,0.20512820512820512,0.08827399288646978,0.11395865592657987,156,78
analytic_clipped_template_sideband_traditional,64,0.7248152980877485,0.6761998685075609,0.39447438741476937,7.361384422958482,0.16666666666666666,0.5384615384615384,0.1282051282051282,0.06412226747801598,0.06839356215117925,156,78
analytic_clipped_template_sideband_traditional,65,0.6114457815491801,0.5884286653517422,-1.0002576194211077,9.47947597612947,0.1896551724137931,0.6282051282051282,0.24358974358974358,0.08165152946999223,0.09130043433797999,156,78
gradient_boosted_trees,58,0.8825157460577642,0.8775476660092045,-0.48594330983831924,7.495536041769601,0.09821428571428571,0.28205128205128205,0.15384615384615385,0.010354895315179902,0.06828347918430511,156,78
gradient_boosted_trees,60,0.8721376360983442,0.8468113083497699,0.6314348101107514,8.348895910652747,0.12037037037037036,0.3076923076923077,0.1794871794871795,0.003428282450295487,0.07900944097938102,156,78
gradient_boosted_trees,62,0.8435850228228094,0.8282380013149243,-1.5481691591140123,8.258787647405791,0.10638297872340426,0.3974358974358974,0.1282051282051282,-0.0014993177775352003,0.0687087494425771,156,78
gradient_boosted_trees,64,0.8623011701191541,0.8374424720578566,-0.5679420203140184,8.252608988720656,0.09803921568627451,0.34615384615384615,0.15384615384615385,-0.03631415304411503,0.05705608754635021,156,78
gradient_boosted_trees,65,0.8430545205485085,0.8139381985535831,0.42096467564360474,8.168728263742246,0.10227272727272728,0.4358974358974359,0.11538461538461539,-0.0029610411835655753,0.05651457622062253,156,78
mlp,58,0.9000756119640682,0.9046679815910585,0.1445051870163061,13.776652678373157,0.27450980392156865,0.34615384615384615,0.08974358974358974,-0.04821985310856138,0.13621326985000387,156,78
mlp,60,0.893270863260593,0.8813280736357659,1.0632842319323021,9.216613318032586,0.14655172413793102,0.2564102564102564,0.11538461538461539,0.022651069132577733,0.1506709207563034,156,78
mlp,62,0.7661736688584401,0.7866535174227482,1.7861362857254814,12.260483399355167,0.18292682926829268,0.47435897435897434,0.10256410256410256,-0.02756771570250132,0.14892320865637454,156,78
mlp,64,0.836483941583358,0.856673241288626,-0.6515090079561547,11.057629274515113,0.19230769230769232,0.3333333333333333,0.10256410256410256,-0.0603610525264235,0.14882294873988822,156,78
mlp,65,0.8516585094502558,0.8137738330046022,-1.2246777716487056,14.195122038640244,0.27631578947368424,0.5128205128205128,0.05128205128205128,-0.03285295937724528,0.16555098829024514,156,78
ridge,58,0.8689354829876492,0.8760683760683761,-0.3507836397553632,10.079669743376702,0.16071428571428573,0.28205128205128205,0.15384615384615385,-0.008729661686325843,0.06969451135794848,156,78
ridge,60,0.8812542056483826,0.8617685733070348,0.6309347173021962,9.658337501055552,0.1864406779661017,0.24358974358974358,0.14102564102564102,0.010547173310976973,0.06888616942017978,156,78
ridge,62,0.8110493018866114,0.819362261669954,-3.102677871265085,11.256695308688151,0.15306122448979592,0.3717948717948718,0.14102564102564102,0.001731455774212178,0.06260864517506157,156,78
ridge,64,0.873066462993467,0.8803418803418804,-0.7281417335375373,9.294850975422033,0.1016949152542373,0.24358974358974358,0.10256410256410256,-0.02937619785378326,0.05241112150625313,156,78
ridge,65,0.8281633312680945,0.8109796186719264,-2.533443367595969,9.576342943427763,0.14583333333333334,0.38461538461538464,0.1282051282051282,-0.006805435868388566,0.05436596314845094,156,78
saturation_residual_fusion_new,58,0.8603432925303033,0.851742274819198,-0.23451407364415644,7.703125499698863,0.1,0.2948717948717949,0.19230769230769232,0.005320861704247654,0.05853016157468781,156,78
saturation_residual_fusion_new,60,0.8963360187335204,0.8747534516765285,0.8193025648432517,7.790807470525372,0.11403508771929824,0.2692307692307692,0.08974358974358974,-0.0044464882916194675,0.06834562548929525,156,78
saturation_residual_fusion_new,62,0.8474738371840715,0.8137738330046022,-1.7452064630252995,8.530463007869376,0.08695652173913043,0.41025641025641024,0.14102564102564102,0.015918138440262124,0.05711839419847127,156,78
saturation_residual_fusion_new,64,0.8736715814997984,0.8479618671926364,-0.9395873678999944,7.56326544534614,0.0673076923076923,0.3333333333333333,0.10256410256410256,-0.037000881652927975,0.0648577346518841,156,78
saturation_residual_fusion_new,65,0.8381764895644167,0.8083497698882315,0.3526199181213219,8.136540845753121,0.09574468085106383,0.3974358974358974,0.15384615384615385,-0.0018946688886941148,0.06978661677599446,156,78
tiny_sequence_transformer,58,0.8551895166205392,0.8468113083497699,-8.097930430107535,16.469317532906015,0.4,0.5512820512820513,0.038461538461538464,-0.011385480265857737,0.13631994189006716,156,78
tiny_sequence_transformer,60,0.8135196350579964,0.8211702827087441,-5.8893283825812315,20.471973820897762,0.453125,0.5897435897435898,0.07692307692307693,0.0021382123429537978,0.10292722933231079,156,78
tiny_sequence_transformer,62,0.7117145242172436,0.6988823142669297,-13.850209323627434,17.883642350195455,0.5,0.6923076923076923,0.07692307692307693,-0.014840603905602285,0.09189516969401271,156,78
tiny_sequence_transformer,64,0.8045987061442937,0.8333333333333333,-12.863555943374752,18.982934394135764,0.5555555555555556,0.6538461538461539,0.07692307692307693,-0.026182416392067493,0.0803422938223689,156,78
tiny_sequence_transformer,65,0.7814438367460328,0.7616699539776463,-9.205572929152357,18.325726573037066,0.41379310344827586,0.6282051282051282,0.05128205128205128,-0.025827056128359414,0.08966416713346216,156,78
