method,n_pedestal_states,state_bias_span,state_sigma68_span,worst_state,worst_abs_state_bias
saturation_residual_fusion_new,2,0.00738542677663464,0.013842243937218113,nominal,0.005258135854541808
analytic_clipped_template_sideband_traditional,2,0.013281921837991803,0.007737491186841194,shifted,0.09021761102569853
gradient_boosted_trees,2,0.013630692042912082,0.0050388811156978075,nominal,0.010735082987226629
1d_cnn,2,0.027487939105396625,0.03256364267860548,shifted,0.07138769667255013
ridge,2,0.040787310688531,0.025911838172368695,shifted,0.022150950193204864
tiny_sequence_transformer,2,0.05349833345539995,0.028459096085075963,nominal,0.039385041589010066
mlp,2,0.0914549489756363,0.042694639590248745,nominal,0.05414363752169587
