stability_axis,method,n_strata,energy_sigma68_stratum_median,energy_sigma68_stratum_span,pid_stability_proxy
amp_stratum,gradient_boosted_trees,4,0.07611955210931215,0.04191592601764581,1.1423412123007541
amp_stratum,saturation_residual_fusion_new,4,0.06869119185337857,0.05949494121434919,1.173147080553217
amp_stratum,1d_cnn,4,0.0916988096327323,0.09197141388220749,1.274302986176781
amp_stratum,tiny_sequence_transformer,4,0.08904753878334884,0.10742857425863299,1.5089590763687448
amp_stratum,ridge,4,0.05804936334844125,0.062038431748937715,1.5527356097562255
amp_stratum,analytic_clipped_template_sideband_traditional,3,0.08720281092475593,0.07618431606066815,1.5950129577440202
amp_stratum,mlp,4,0.11672258848050071,0.16778671683255186,1.8655816767464117
pid_proxy_class,saturation_residual_fusion_new,2,0.07143374047551702,0.0028092878367330654,1.0196635918687187
pid_proxy_class,gradient_boosted_trees,2,0.07866162894300884,0.006772678470300081,1.043049442029779
pid_proxy_class,ridge,2,0.06616648736583744,0.00868788889114263,1.0656517312390101
pid_proxy_class,tiny_sequence_transformer,2,0.1024325410979999,0.024127289571224772,1.1177716051588604
pid_proxy_class,1d_cnn,2,0.09395715116883384,0.026088368031836062,1.1388311996867446
pid_proxy_class,analytic_clipped_template_sideband_traditional,2,0.08781399998988172,0.052286592341639626,1.29771216632692
pid_proxy_class,mlp,2,0.12267007997010909,0.0984727272792748,1.4013722307153853
source_run,gradient_boosted_trees,5,0.07977467327783949,0.027842960518637924,1.0482385395089595
source_run,1d_cnn,5,0.10582791635870355,0.02648860527886432,1.0835399138972108
source_run,saturation_residual_fusion_new,5,0.07043306943470873,0.010560576108809769,1.101895365749159
source_run,mlp,5,0.1557709091168858,0.03858073318104743,1.136303653837568
source_run,tiny_sequence_transformer,5,0.11960005138515868,0.04385717732761557,1.1591254161741298
source_run,analytic_clipped_template_sideband_traditional,5,0.1011297014714475,0.028756216681322763,1.2033953779346447
source_run,ridge,5,0.0652851797767291,0.02876614471785037,1.2731940462320686
timing_stratum,1d_cnn,3,0.10644343071491241,0.012409688886590275,1.0544184762912714
timing_stratum,mlp,3,0.1563607906142685,0.050203285537000236,1.2814260888640832
timing_stratum,analytic_clipped_template_sideband_traditional,3,0.09146101497451725,0.04774292079666173,1.438745604723408
timing_stratum,gradient_boosted_trees,3,0.07003658572641965,0.04458173690230027,1.5431922302510526
timing_stratum,ridge,3,0.060774964233169165,0.03941856896579468,1.5996289235399908
timing_stratum,saturation_residual_fusion_new,3,0.06102551338794808,0.043009825631831915,1.6676247662524022
timing_stratum,tiny_sequence_transformer,3,0.07348879910598788,0.1126263475897086,2.4670002946891625
