match_key,dynamic_n,control_n,matched_n
"37|high_20nA|B2|(3000.0, 4500.0]|B2_only",1824,5332,1824
"45|high_20nA|B2|(3000.0, 4500.0]|B2_only",1731,5133,1731
"41|high_20nA|B2|(3000.0, 4500.0]|B2_only",1229,3745,1229
"40|high_20nA|B2|(3000.0, 4500.0]|B2_only",1204,3559,1204
"42|high_20nA|B2|(3000.0, 4500.0]|B2_only",1203,3536,1203
"39|high_20nA|B2|(3000.0, 4500.0]|B2_only",1151,3345,1151
"48|high_20nA|B2|(3000.0, 4500.0]|B2_only",1142,3562,1142
"49|high_20nA|B2|(3000.0, 4500.0]|B2_only",1135,3572,1135
"57|high_20nA|B2|(3000.0, 4500.0]|B2_only",1121,3499,1121
"32|high_20nA|B2|(3000.0, 4500.0]|B2_only",970,3676,970
"31|high_20nA|B2|(3000.0, 4500.0]|B2_only",851,3344,851
"35|high_20nA|B2|(3000.0, 4500.0]|B2_only",835,3301,835
"36|high_20nA|B2|(3000.0, 4500.0]|B2_only",688,2465,688
"56|high_20nA|B2|(3000.0, 4500.0]|B2_only",540,2824,540
"45|high_20nA|B2|(2000.0, 3000.0]|B2_only",532,1963,532
"37|high_20nA|B2|(2000.0, 3000.0]|B2_only",531,2254,531
"45|high_20nA|B2|(4500.0, 7000.0]|B2_only",472,7262,472
"37|high_20nA|B2|(4500.0, 7000.0]|B2_only",465,7230,465
"55|high_20nA|B2|(3000.0, 4500.0]|B2_only",404,1467,404
"50|high_20nA|B2|(3000.0, 4500.0]|B2_only",392,2232,392
"59|high_20nA|B2|(3000.0, 4500.0]|B2_only",386,2836,386
"53|high_20nA|B2|(3000.0, 4500.0]|B2_only",379,1843,379
"40|high_20nA|B2|(2000.0, 3000.0]|B2_only",368,1564,368
"41|high_20nA|B2|(2000.0, 3000.0]|B2_only",360,1554,360
"51|high_20nA|B2|(3000.0, 4500.0]|B2_only",359,1185,359
"48|high_20nA|B2|(2000.0, 3000.0]|B2_only",354,1459,354
"62|high_20nA|B2|(3000.0, 4500.0]|B2_only",349,2145,349
"42|high_20nA|B2|(2000.0, 3000.0]|B2_only",348,1370,348
"49|high_20nA|B2|(2000.0, 3000.0]|B2_only",340,1512,340
"54|high_20nA|B2|(3000.0, 4500.0]|B2_only",323,1790,323
"39|high_20nA|B2|(2000.0, 3000.0]|B2_only",321,1350,321
"41|high_20nA|B2|(4500.0, 7000.0]|B2_only",321,4717,321
"57|high_20nA|B2|(2000.0, 3000.0]|B2_only",317,1446,317
"39|high_20nA|B2|(4500.0, 7000.0]|B2_only",311,4211,311
"42|high_20nA|B2|(4500.0, 7000.0]|B2_only",306,5119,306
"60|high_20nA|B2|(3000.0, 4500.0]|B2_only",298,1601,298
"61|high_20nA|B2|(3000.0, 4500.0]|B2_only",291,1890,291
"40|high_20nA|B2|(4500.0, 7000.0]|B2_only",275,4320,275
"35|high_20nA|B2|(2000.0, 3000.0]|B2_only",267,1399,267
"48|high_20nA|B2|(4500.0, 7000.0]|B2_only",263,4058,263
"32|high_20nA|B2|(4500.0, 7000.0]|B2_only",260,8529,260
"57|high_20nA|B2|(4500.0, 7000.0]|B2_only",260,3974,260
"33|high_20nA|B2|(3000.0, 4500.0]|B2_only",258,3169,258
