metric,dynamic_value,matched_control_value,delta,ci_low,ci_high,unit
secondary_fraction,1.687051876845213e-05,0.10118937157317588,-0.10117250105440743,-0.10682675010280471,-0.094738173627309,fraction
timing_tail_fraction,0.09209616195698017,0.12968367777309153,-0.03758751581611136,-0.04960033381105708,-0.027943212265509443,fraction
median_amp_adc,374.5,3120.0,-2745.5,-2822.7625,-2656.8250000000003,ADC or ADC-samples
dynamic_amp_adc,3265.0,3260.0,5.0,-6.0,13.524999999999977,ADC or ADC-samples
signed_area_adc_samples,-27759.0,23246.0,-51005.0,-52412.925,-49011.7125,ADC or ADC-samples
baseline_excursion_adc,896.0,23.0,873.0,834.0,944.6249999999999,ADC or ADC-samples
