event_id,run,pair,residual_ns,tail_bool,high_risk,ml_score_pair_max,amp_mean_adc,log_amp_mean,taxon_a,taxon_b,idx_a,idx_b,audit_ml_shape_score,audit_ml_shape_selected,audit_traditional_selected
42:767438:867:137,42,B4-B6,0.8847379684448242,False,True,0.46856547763727,2993.5,8.004532551704518,unassigned_common,unassigned_common,230720,230721,0.13040906878770966,False,False
42:767465:892:164,42,B4-B6,-1.112673282623298,False,False,0.1063677610665144,3132.75,8.049985649472504,unassigned_common,unassigned_common,230736,230737,0.3183863433464575,False,False
42:767510:931:209,42,B4-B6,-1.447288195292174,False,False,0.4275354419356167,2435.0,7.798112628829788,novel_delayed_peak,novel_delayed_peak,230764,230765,0.2867503277018509,False,False
42:767627:1043:326,42,B4-B6,-3.0791727701823035,False,False,0.2208260812400601,2862.0,7.959625305098115,unassigned_common,unassigned_common,230832,230833,0.08698938457235178,False,False
42:767858:1263:557,42,B4-B6,-2.2808408737182617,False,False,0.3921642900297142,3019.25,8.013094888399673,novel_delayed_peak,unassigned_common,230986,230987,0.1421538367700404,False,False
42:767858:1263:557,42,B4-B8,-3.454270362854004,False,False,0.3907802635737976,2811.75,7.941917931451181,novel_delayed_peak,unassigned_common,230986,230988,0.11251029160378935,False,False
42:767858:1263:557,42,B6-B8,-1.1734294891357422,False,False,0.3921642900297142,2834.0,7.949797216161852,unassigned_common,unassigned_common,230987,230988,0.1285834590325337,False,False
42:767997:1393:696,42,B4-B6,-4.291332790374753,False,False,0.3722909542475282,4182.25,8.338843735374683,novel_delayed_peak,novel_delayed_peak,231083,231084,0.24776940660455335,False,False
42:768067:1457:766,42,B4-B6,-0.6535641352335801,False,False,0.317827659162689,2487.5,7.819435398298609,novel_delayed_peak,novel_delayed_peak,231134,231135,0.22374975903819072,False,False
42:768174:1557:873,42,B4-B6,-2.8279892603556505,False,False,0.3353926018636413,2308.25,7.744678075472719,novel_delayed_peak,novel_delayed_peak,231212,231213,0.4104321208487868,False,False
42:768174:1557:873,42,B4-B8,-4.213794867197663,False,False,0.2667285533194962,2741.25,7.9165340302914435,novel_delayed_peak,novel_delayed_peak,231212,231214,0.16688679048582816,False,False
42:768174:1557:873,42,B6-B8,-1.3858056068420126,False,False,0.3353926018636413,2889.5,7.969184776522531,novel_delayed_peak,novel_delayed_peak,231213,231214,0.1550121130043236,False,False
