feature,importance
f_amplitude_adc_mean,0.13301751456271113
f_log_amp_mean,0.127939389122889
f_amplitude_adc_max,0.04523885548078926
f_amplitude_adc_absdiff,0.043097214562136346
f_peak_sample_mean,0.038977028339362785
f_peak_sample_max,0.0387919873419937
f_q_template_rmse_absdiff,0.036314888433526184
f_late_fraction_mean,0.035792136126555484
f_area_norm_absdiff,0.033632612992206115
f_late_fraction_max,0.032204322848344076
f_baseline_slope_mean,0.03194991045395559
f_baseline_slope_max,0.029903576018076486
f_early_fraction_max,0.02853824254121098
f_early_fraction_mean,0.028315918191650257
f_q_template_rmse_mean,0.024512279971056223
f_secondary_peak_mean,0.023753487467755942
f_q_template_rmse_max,0.023231090065026872
f_post_peak_min_mean,0.023201307689510373
f_area_norm_mean,0.02288424073817724
f_post_peak_min_max,0.022818832498747055
f_early_fraction_absdiff,0.01983912625500312
f_area_norm_max,0.017450448417485595
f_secondary_peak_max,0.016252856206590782
f_post_peak_min_absdiff,0.01623312663545637
f_late_fraction_absdiff,0.014238776217384707
f_baseline_mad_mean,0.014212859232435995
f_baseline_mad_max,0.01181484986468785
f_secondary_peak_absdiff,0.010034227593921632
f_baseline_slope_absdiff,0.009760918185292658
f_baseline_mad_absdiff,0.009146300480617164
f_width_half_mean,0.0047732784655843356
f_width_half_max,0.004741252476957723
f_width_half_absdiff,0.00459948317967227
f_pair_B6_B8,0.003562170930286575
f_peak_sample_absdiff,0.0026316299331742158
f_secondary_sep_mean,0.002331345222930236
f_undershoot_area_absdiff,0.0023133145486963847
f_secondary_sep_max,0.0018303386594203598
f_secondary_sep_absdiff,0.0017901765919864415
f_pair_B4_B6,0.0016641060928665814
f_pair_B4_B8,0.0011960661081216759
f_timing_span_dup_mean,0.0011724069953387437
f_undershoot_area_mean,0.0011522333086524978
f_undershoot_area_max,0.000867686431845656
f_timing_span_dup_absdiff,0.0006364836292831295
f_label_curated_any_either,0.0004078627493736469
f_timing_span_dup_max,0.00034307263014643556
f_label_novel_delayed_peak_either,0.0002487738285143301
f_label_novel_any_either,0.0002244858642987814
f_label_known_any_either,0.00018179492711590422
f_same_taxon,0.00013090499491687202
f_label_pileup_or_long_tail_either,9.880302977587116e-05
f_label_novel_early_pretrigger_either,4.004866484306525e-06
f_label_baseline_excursion_either,0.0
f_label_novel_broad_template_mismatch_either,0.0
