method,run,n,bias_ns,sigma68_ns,rms_ns,tail_fraction_abs_gt_5ns,tail_fraction_abs_gt_10ns,calibration_slope,q_template_mse,failure_rate_abs_gt_5ns
1d_cnn,42,597,3.246978907642946,6.510585702164854,7.7897092949057765,0.46901172529313234,0.18760469011725292,1.0352269248315977,0.1806431534091772,0.46901172529313234
1d_cnn,50,620,-1.301252357617599,6.54731003972989,7.335677348924326,0.4306451612903226,0.17096774193548386,1.0258213963072467,0.1614345621422575,0.4306451612903226
1d_cnn,57,610,3.7192491203668325,5.5787649395263195,6.887017103863303,0.4639344262295082,0.16721311475409836,1.049899240023317,0.21012561133052082,0.4639344262295082
1d_cnn,58,594,-0.9863318077451941,6.328403880070538,6.965772618850385,0.45286195286195285,0.11447811447811448,1.0370535744132139,0.21144959947338557,0.45286195286195285
1d_cnn,60,640,2.0094579683264016,5.032469609381186,5.722334457306252,0.384375,0.090625,0.9949661595838221,0.15538889448057347,0.384375
1d_cnn,62,640,0.31877332594797103,4.430928132436131,5.794628328942948,0.2859375,0.0484375,1.0051617612357262,0.1341494535321544,0.2859375
1d_cnn,64,640,1.4884967033325402,5.189986720555012,6.0977520706337,0.3421875,0.065625,1.0364502755515752,0.15779680626913828,0.3421875
1d_cnn,65,585,0.020262227168512226,5.0123335687315915,5.965366360721103,0.3128205128205128,0.07692307692307693,1.0609195939408294,0.14769357870245492,0.3128205128205128
compact_waveform_transformer,42,597,1.8499626469188328,5.121760619489497,6.354680879147887,0.3417085427135678,0.10385259631490787,1.026577846022288,0.1806431534091772,0.3417085427135678
compact_waveform_transformer,50,620,-0.48525728394869017,6.445947613364122,7.174321924084946,0.3709677419354839,0.2032258064516129,1.0111401829240982,0.1614345621422575,0.3709677419354839
compact_waveform_transformer,57,610,1.977528722593756,4.390743554330765,5.196772329083705,0.32295081967213113,0.06229508196721312,1.0314598513751048,0.21012561133052082,0.32295081967213113
compact_waveform_transformer,58,594,-2.5917740820260002,6.12449218585907,6.0746873740414795,0.44276094276094274,0.08754208754208755,1.0279641010711236,0.21144959947338557,0.44276094276094274
compact_waveform_transformer,60,640,0.7001893498186753,5.252880770617296,6.052355814432878,0.3359375,0.0546875,1.009002110392465,0.15538889448057347,0.3359375
compact_waveform_transformer,62,640,-0.5304582693059734,5.082322967503888,6.063565523566092,0.3234375,0.05,1.01389628117984,0.1341494535321544,0.3234375
compact_waveform_transformer,64,640,0.2572684165336838,4.9998525448753135,5.188335589880256,0.3625,0.034375,1.0291116261234365,0.15779680626913828,0.3625
compact_waveform_transformer,65,585,-0.4863994700934313,4.811933857587987,4.982876961934125,0.30256410256410254,0.037606837606837605,1.029309213769914,0.14769357870245492,0.30256410256410254
gradient_boosted_trees,42,597,1.833124159403317,3.2434163805204013,3.7595520232395794,0.22613065326633167,0.03350083752093802,1.026418036110663,0.1806431534091772,0.22613065326633167
gradient_boosted_trees,50,620,-0.2116566864049454,5.5033677791113,5.486738064542041,0.24838709677419354,0.15806451612903225,1.0084389260670505,0.1614345621422575,0.24838709677419354
gradient_boosted_trees,57,610,1.6348427907735434,2.662315952058891,3.495596250664125,0.12622950819672132,0.004918032786885246,1.0264177918536492,0.21012561133052082,0.12622950819672132
gradient_boosted_trees,58,594,-3.6952434821004854,4.486018341523577,4.981943892383619,0.3451178451178451,0.010101010101010102,1.0232145255056944,0.21144959947338557,0.3451178451178451
gradient_boosted_trees,60,640,0.11058786588145475,2.152157494308719,2.4862360380057926,0.0609375,0.0015625,1.0085028573433108,0.15538889448057347,0.0609375
gradient_boosted_trees,62,640,-1.2573177774203226,2.218437520883981,2.633680590127477,0.06875,0.003125,1.0167919320366825,0.1341494535321544,0.06875
gradient_boosted_trees,64,640,-0.862292803798157,3.5181110559130406,4.990886504057406,0.0859375,0.009375,1.0211023480252828,0.15779680626913828,0.0859375
