method,stratum,level,n,bias_ns,sigma68_ns,rms_ns,tail_fraction_abs_gt_5ns,tail_fraction_abs_gt_10ns,calibration_slope,q_template_mse,failure_rate_abs_gt_5ns
1d_cnn,curvature_energy_bin,curved,1418,0.45490569927672375,6.454936622319242,8.05285428965178,0.43723554301833567,0.15655853314527504,0.9672276378384762,0.2916066128717729,0.43723554301833567
compact_waveform_transformer,curvature_energy_bin,curved,1418,-1.8309197206962322,5.278195071415306,6.487236259041248,0.3688293370944993,0.11142454160789844,1.0164114865589369,0.2916066128717729,0.3688293370944993
gradient_boosted_trees,curvature_energy_bin,curved,1418,-0.3899550121140427,3.314926878073254,3.9034554202077674,0.16290550070521861,0.021156558533145273,1.010136384207831,0.2916066128717729,0.16290550070521861
mlp,curvature_energy_bin,curved,1418,-0.8524812848261466,3.8246523231926215,4.374411269737181,0.21932299012693934,0.03737658674188998,1.0199844863516994,0.2916066128717729,0.21932299012693934
ridge,curvature_energy_bin,curved,1418,-0.6138497834482579,3.935570964345597,4.442209030845218,0.22073342736248236,0.039492242595204514,1.0009953925497175,0.2916066128717729,0.22073342736248236
shape_time_gate_transformer_new,curvature_energy_bin,curved,1418,-1.0957622286241682,5.7294926760567275,7.401699844722623,0.3709449929478138,0.11142454160789844,0.9301699724445162,0.2916066128717729,0.3709449929478138
traditional_median_template_cfd_timewalk_shape,curvature_energy_bin,curved,1418,0.26245320460350263,1.1294336978119055,1.0526517869155476,0.0,0.0,0.993542657995263,0.2916066128717729,0.0
1d_cnn,curvature_energy_bin,moderate,1734,2.6841839436686206,5.0394725396931275,6.126317474146132,0.40657439446366783,0.10726643598615918,1.0236863318978482,0.12321197159242579,0.40657439446366783
compact_waveform_transformer,curvature_energy_bin,moderate,1734,0.9033810515484504,5.1466454643382775,5.977890145374624,0.34486735870818913,0.06805074971164937,1.0310112653215755,0.12321197159242579,0.34486735870818913
gradient_boosted_trees,curvature_energy_bin,moderate,1734,-0.1138229085925424,3.4645638239508005,4.2011310811983975,0.16897347174163782,0.03344867358708189,1.0127213759570746,0.12321197159242579,0.16897347174163782
mlp,curvature_energy_bin,moderate,1734,-0.4063570701225352,3.737314199056665,4.2021334294648796,0.1908881199538639,0.031141868512110725,1.0129348754582868,0.12321197159242579,0.1908881199538639
ridge,curvature_energy_bin,moderate,1734,-0.07016224606356225,4.124941169755643,4.257418306259468,0.2243367935409458,0.025374855824682813,1.0176410080991374,0.12321197159242579,0.2243367935409458
shape_time_gate_transformer_new,curvature_energy_bin,moderate,1734,-1.568586870947498,4.608991312830594,5.717911900752869,0.3102652825836217,0.08189158016147635,0.9785346699564696,0.12321197159242579,0.3102652825836217
traditional_median_template_cfd_timewalk_shape,curvature_energy_bin,moderate,1734,0.36887351836211657,0.9639363927114057,0.9205580476644556,0.0,0.0,0.9949775377248079,0.12321197159242579,0.0
1d_cnn,curvature_energy_bin,smooth,1774,-0.18960875253214482,5.1206151490167375,6.1763048075438,0.3410372040586246,0.08793686583990981,1.0831448846196747,0.11683121905308755,0.3410372040586246
compact_waveform_transformer,curvature_energy_bin,smooth,1774,0.9177387396653192,4.843367421160664,5.385254444513508,0.34047350620067646,0.0636978579481398,0.9999026269845748,0.11683121905308755,0.34047350620067646
gradient_boosted_trees,curvature_energy_bin,smooth,1774,-0.3756607696268168,3.3287173536150623,4.461669477498858,0.14374295377677565,0.029312288613303268,1.024821690482979,0.11683121905308755,0.14374295377677565
mlp,curvature_energy_bin,smooth,1774,-0.3317008343436719,3.874702772206265,4.086741418529768,0.19673055242390078,0.014092446448703494,1.0215877755950966,0.11683121905308755,0.19673055242390078
ridge,curvature_energy_bin,smooth,1774,0.800046533081229,3.9861867513524505,4.267585908249867,0.22604284103720407,0.019729425028184894,1.0231943797470722,0.11683121905308755,0.22604284103720407
