stave,dropout_case,amp_bin_label,peak_region,method,n,charge_res68_abs_frac,charge_gain_vs_no_recovery,time_delta_vs_no_recovery_samples,tail_bias_median_frac,net_harm_label_rate,catastrophic_rate,accepted_fraction,support_status
B2,leading_edge,1000_2000,late,cnn_inpaint,24,0.33690621714752433,-0.022560684103775486,-0.8335125428561121,0.002211593095792941,0.25,0.3333333333333333,1.0,abstain
B4,leading_edge,1000_2000,late,cnn_inpaint,24,0.485831796809752,-0.11152466321014504,-0.1591945281452768,-0.005689125662906802,0.2916666666666667,0.4583333333333333,1.0,abstain
B6,leading_edge,1000_2000,late,cnn_inpaint,24,0.6019864625677865,-0.30648797283426055,0.23751805383922986,-0.011759770664087926,0.3333333333333333,0.4166666666666667,1.0,abstain
B4,leading_edge,1000_2000,late,interpolation,24,0.3771533705082227,-0.0028462369086156847,0.09867128632069688,-0.006365308691033966,0.0,0.4583333333333333,1.0,abstain
B6,leading_edge,1000_2000,late,interpolation,24,0.5120713589991234,-0.21657286926559738,0.5001462774913679,0.016988249172207287,0.0,0.4166666666666667,1.0,abstain
B2,trailing_sample,1000_2000,central,ridge_residual,24,0.1030989094490091,0.018045943700180894,0.0,-0.0007501186614296829,0.0,0.2916666666666667,1.0,abstain
B2,trailing_sample,ge7000,early,ridge_residual,24,0.0923800427026802,-0.004905063594022402,0.0,0.0035044659159264024,0.0,0.041666666666666664,1.0,abstain
B6,leading_edge,1000_2000,late,ridge_residual,24,0.398726639014201,-0.10322814928067503,0.5001462774913679,0.016988249172207287,0.041666666666666664,0.4583333333333333,1.0,abstain
B2,peak_sample,1000_2000,central,ridge_residual,24,0.1393543530364026,0.003716513305071889,0.0,-0.11451868892330966,0.375,0.5416666666666666,1.0,abstain
B2,leading_edge,1000_2000,late,rising_edge_huber,24,0.3142962557034423,4.9277340306574935e-05,0.0,0.13004108014514182,0.0,0.3333333333333333,1.0,abstain
B4,leading_edge,1000_2000,late,rising_edge_huber,24,0.44000016019861815,-0.06569302659901116,0.0,0.16880838955546917,0.0,0.4583333333333333,1.0,abstain
B6,leading_edge,1000_2000,late,rising_edge_huber,24,0.5872714194838636,-0.29177292975033764,0.0,0.12496189072886119,0.0,0.4166666666666667,1.0,abstain
B6,leading_edge,1000_2000,late,support_gated_cnn,24,0.311789262362799,-0.01629077262927303,0.5001462774913679,0.016988249172207287,0.041666666666666664,0.375,1.0,abstain
B2,leading_edge,5000_7000,central,cnn_inpaint,24,0.018724037923535317,0.12987461590253402,-1.174641855053376,-0.001250966128171438,0.0,0.0,1.0,accept
B2,leading_edge,3000_5000,central,cnn_inpaint,24,0.02318018313750424,0.1376185570396677,-1.56999138264576,-0.004866515775508451,0.041666666666666664,0.0,1.0,accept
B6,leading_edge,3000_5000,late,cnn_inpaint,24,0.10430448350512742,0.11922264591827436,-0.4807119509488412,-0.051652328700667716,0.041666666666666664,0.125,1.0,accept
