max_depth,min_samples_leaf,n_estimators,roc_auc,average_precision,brier
7,15,300,0.9936282210662959,0.997851533794181,0.02597740095089232
5,20,250,0.9902288485673555,0.9965515689974643,0.03370449431267571
4,25,150,0.9855643639943826,0.994561076568375,0.04378595639665956
