tier,method,subset,n_pair_rows,n_runs,sigma68_ns,sigma68_ci_low_ns,sigma68_ci_high_ns,full_rms_ns,tail_frac_abs_gt5ns,note
loose500,raw_pair_median,all,74176,21,2.353311349506278,2.0081757291785647,8.632372190421403,22.813600422555353,0.16679249352890424,pair-median centered raw CFD20 residual
loose500,raw_pair_median,A_any_selected,614,20,3.2082922710163704,2.5533279231738177,13.691788643990838,27.842560667393215,0.2263843648208469,pair-median centered raw CFD20 residual
loose500,raw_pair_median,A_both_selected,158,13,5.265768938251584,2.829207827243332,17.94112896604744,27.218017389436177,0.2721518987341772,pair-median centered raw CFD20 residual
loose500,raw_pair_median,downstream_only,23815,21,1.9094800920382278,1.8624888649629108,1.9549350397638305,8.027166801957659,0.023724543355028344,pair-median centered raw CFD20 residual
loose500,traditional_b_only,all,74176,21,7.98329371454099,7.41863266325257,9.341868545431584,12.85115443584468,0.49474223468507333,run-held-out Ridge using B pair amplitude/shape features
loose500,traditional_b_only,A_any_selected,614,20,9.086323263688621,7.176186868315894,10.742203645475072,13.546594545506293,0.5407166123778502,run-held-out Ridge using B pair amplitude/shape features
loose500,traditional_b_only,A_both_selected,158,13,8.975017984371254,6.455032899667716,11.008589578952318,16.37524885482017,0.5253164556962026,run-held-out Ridge using B pair amplitude/shape features
loose500,traditional_b_only,downstream_only,23815,21,7.607638107263339,6.99151525276994,8.453386835116378,9.611339847776964,0.48511442368255303,run-held-out Ridge using B pair amplitude/shape features
loose500,traditional_b_plus_a,all,74176,21,7.98415869947928,7.322647159380808,9.09043097235099,12.852648344531497,0.4946074201898188,same Ridge plus event-matched A-stack controls
loose500,traditional_b_plus_a,A_any_selected,614,20,9.131510914358863,7.034345990738831,10.999530757305072,13.587230632687682,0.5504885993485342,same Ridge plus event-matched A-stack controls
loose500,traditional_b_plus_a,A_both_selected,158,13,9.190012586590862,6.314850517480827,11.717510854975664,16.388780361173467,0.5189873417721519,same Ridge plus event-matched A-stack controls
loose500,traditional_b_plus_a,downstream_only,23815,21,7.58206400454976,7.054442097291734,8.42091099846418,9.611199009916945,0.484820491287004,same Ridge plus event-matched A-stack controls
loose500,ml_extra_trees_b_only,all,74176,21,2.9757213934838465,2.516840146306462,4.348152125219444,11.159526469246265,0.2164311906816221,run-held-out bounded ExtraTrees using B features only
loose500,ml_extra_trees_b_only,A_any_selected,614,20,5.198266203487682,3.261915255724098,7.2230021680659275,12.1292586097772,0.3127035830618892,run-held-out bounded ExtraTrees using B features only
loose500,ml_extra_trees_b_only,A_both_selected,158,13,5.628949188625664,3.206986037395165,10.139000900608142,16.36553091869916,0.34810126582278483,run-held-out bounded ExtraTrees using B features only
loose500,ml_extra_trees_b_only,downstream_only,23815,21,1.9249730219165344,1.7519106311563237,2.416977801123048,6.25821922991425,0.08700398908251102,run-held-out bounded ExtraTrees using B features only
loose500,ml_extra_trees_b_plus_a,all,74176,21,3.1147359254163987,2.604413675119519,7.291932534354803,11.142217781389629,0.23074849007765316,run-held-out bounded ExtraTrees using B features plus A controls
loose500,ml_extra_trees_b_plus_a,A_any_selected,614,20,5.079477067553238,3.5880923702103398,6.535382068456464,11.435665760628243,0.31758957654723124,run-held-out bounded ExtraTrees using B features plus A controls
loose500,ml_extra_trees_b_plus_a,A_both_selected,158,13,6.70839659166696,3.5959390036815773,14.477765195583713,14.786824886902021,0.37341772151898733,run-held-out bounded ExtraTrees using B features plus A controls
loose500,ml_extra_trees_b_plus_a,downstream_only,23815,21,1.9706899479703088,1.766457655673866,2.754770225284177,6.333494675874069,0.09103506193575478,run-held-out bounded ExtraTrees using B features plus A controls
nominal1000,raw_pair_median,all,65457,21,2.081917932503293,1.794717022113119,7.044112155507762,20.676493655812347,0.14163496646653528,pair-median centered raw CFD20 residual
nominal1000,raw_pair_median,A_any_selected,380,17,3.427128203392883,2.2062005114392513,18.244829624300678,28.880756934166754,0.2026315789473684,pair-median centered raw CFD20 residual
nominal1000,raw_pair_median,A_both_selected,114,12,4.612028273760682,2.089084177398644,9.10344900205646,24.538429958389184,0.21052631578947367,pair-median centered raw CFD20 residual
nominal1000,raw_pair_median,downstream_only,21521,21,1.7323699139564654,1.6872796339813687,1.7644667760257102,6.537579749410688,0.017192509641745273,pair-median centered raw CFD20 residual
nominal1000,traditional_b_only,all,65457,21,7.617503139108431,6.927644080679875,9.06104443759469,12.625099613987764,0.4713170478329285,run-held-out Ridge using B pair amplitude/shape features
nominal1000,traditional_b_only,A_any_selected,380,17,9.060916735529098,7.277907618897666,13.052604544370292,15.291193717517702,0.5578947368421052,run-held-out Ridge using B pair amplitude/shape features
nominal1000,traditional_b_only,A_both_selected,114,12,7.538058459110154,5.364512997236216,10.914746448137722,17.117718463537233,0.4824561403508772,run-held-out Ridge using B pair amplitude/shape features
nominal1000,traditional_b_only,downstream_only,21521,21,7.107960530434212,6.579017214635268,7.985836574740046,9.007969636777752,0.4571348915013243,run-held-out Ridge using B pair amplitude/shape features
nominal1000,traditional_b_plus_a,all,65457,21,7.61508424699708,6.9194256580116695,9.485093753922115,12.62722714628585,0.47111844416945475,same Ridge plus event-matched A-stack controls
nominal1000,traditional_b_plus_a,A_any_selected,380,17,8.956116818547542,7.234294217497616,14.184056638991871,15.29886641715947,0.5605263157894737,same Ridge plus event-matched A-stack controls
nominal1000,traditional_b_plus_a,A_both_selected,114,12,7.529955197768279,5.467292728060996,10.622135694374371,17.144702038948214,0.47368421052631576,same Ridge plus event-matched A-stack controls
nominal1000,traditional_b_plus_a,downstream_only,21521,21,7.10329594867698,6.603775401340169,7.990119894141497,9.009591888812526,0.4577854188931741,same Ridge plus event-matched A-stack controls
nominal1000,ml_extra_trees_b_only,all,65457,21,2.715601528694349,2.3401470097725596,4.457705973979123,11.056119088768064,0.20060497731335075,run-held-out bounded ExtraTrees using B features only
nominal1000,ml_extra_trees_b_only,A_any_selected,380,17,5.240690965591448,3.532241252227647,8.031436695926116,15.243560564929343,0.3394736842105263,run-held-out bounded ExtraTrees using B features only
nominal1000,ml_extra_trees_b_only,A_both_selected,114,12,5.064314491238987,3.7626279356225574,12.803942645542353,14.48678852306317,0.37719298245614036,run-held-out bounded ExtraTrees using B features only
nominal1000,ml_extra_trees_b_only,downstream_only,21521,21,1.7698881714548058,1.6352304383581735,2.24753618630885,5.459762611215589,0.06802657869058129,run-held-out bounded ExtraTrees using B features only
nominal1000,ml_extra_trees_b_plus_a,all,65457,21,2.6287295508485897,2.293318494216779,3.590606178916124,10.547064391262293,0.1926913851841667,run-held-out bounded ExtraTrees using B features plus A controls
nominal1000,ml_extra_trees_b_plus_a,A_any_selected,380,17,5.026829967923128,3.2195137163436542,6.720999066841039,11.919692399016212,0.33157894736842103,run-held-out bounded ExtraTrees using B features plus A controls
nominal1000,ml_extra_trees_b_plus_a,A_both_selected,114,12,5.352888128891431,2.337563738225857,10.258981608446838,13.123298046524349,0.3684210526315789,run-held-out bounded ExtraTrees using B features plus A controls
nominal1000,ml_extra_trees_b_plus_a,downstream_only,21521,21,1.8131392321918942,1.6401864133924609,2.540269541467023,5.5272269777664995,0.0709074857116305,run-held-out bounded ExtraTrees using B features plus A controls
