tier,heldout_runs,n_pair_rows,ridge_alpha_b,ridge_alpha_b_plus_a,ml_train_rows,extra_trees_rmse_b,extra_trees_rmse_b_plus_a
loose500,47 52 58 61,14917,10.0,10.0,6000,9.476634214793345,9.22802231134288
loose500,46 53 55 59,14798,10.0,10.0,6000,10.427605041088652,10.562891209856307
loose500,48 57 62,14817,10.0,10.0,6000,10.782368458124424,10.610325525387019
loose500,44 50 54 60,14786,10.0,10.0,6000,9.57611679231634,9.541029415697718
loose500,45 49 51 56 63 65,14858,10.0,10.0,6000,14.597127056637179,14.757084915369425
nominal1000,47 48 61,13105,10.0,10.0,6000,8.220886787367016,8.84026887268001
nominal1000,46 49 51 59,13002,10.0,10.0,6000,10.151018026119141,10.649244538970912
nominal1000,52 55 58 62,13209,10.0,10.0,6000,9.955865315934728,9.532527533095257
nominal1000,44 50 53 60,13101,10.0,10.0,6000,8.768200511598002,8.801979015234714
nominal1000,45 54 56 57 63 65,13040,10.0,10.0,6000,16.171714510144117,13.922387843022467
