candidate,alpha,fold,sigma68_ns,n_pair_residuals,n_features,heldout_run,model,method,median_abs_residual_ns,learning_rate,max_leaf_nodes
amp_only,0.0,0,2.11213814693498,2997.0,6.0,58,traditional_analytic_timewalk_mean,,,,
amp_only,0.0,1,1.3627183983687412,3534.0,6.0,58,traditional_analytic_timewalk_mean,,,,
amp_only,0.0,2,1.3750005998963577,4710.0,6.0,58,traditional_analytic_timewalk_mean,,,,
amp_only,0.0,-1,1.6166190484000262,0.0,6.0,58,traditional_analytic_timewalk_mean,,,,
amp_only,0.01,0,2.109485333684646,2997.0,6.0,58,traditional_analytic_timewalk_mean,,,,
amp_only,0.01,1,1.3629660442031275,3534.0,6.0,58,traditional_analytic_timewalk_mean,,,,
amp_only,0.01,2,1.375433424926632,4710.0,6.0,58,traditional_analytic_timewalk_mean,,,,
amp_only,0.01,-1,1.6159616009381352,0.0,6.0,58,traditional_analytic_timewalk_mean,,,,
amp_only,0.1,0,2.106939653792185,2997.0,6.0,58,traditional_analytic_timewalk_mean,,,,
amp_only,0.1,1,1.3633954870650484,3534.0,6.0,58,traditional_analytic_timewalk_mean,,,,
amp_only,0.1,2,1.3747899597287654,4710.0,6.0,58,traditional_analytic_timewalk_mean,,,,
amp_only,0.1,-1,1.6150417001953328,0.0,6.0,58,traditional_analytic_timewalk_mean,,,,
amp_only,1.0,0,2.1109655096413538,2997.0,6.0,58,traditional_analytic_timewalk_mean,,,,
amp_only,1.0,1,1.3796774547932658,3534.0,6.0,58,traditional_analytic_timewalk_mean,,,,
amp_only,1.0,2,1.420389393285039,4710.0,6.0,58,traditional_analytic_timewalk_mean,,,,
amp_only,1.0,-1,1.637010785906553,0.0,6.0,58,traditional_analytic_timewalk_mean,,,,
amp_only,10.0,0,2.1008577099035457,2997.0,6.0,58,traditional_analytic_timewalk_mean,,,,
amp_only,10.0,1,1.3740145506828363,3534.0,6.0,58,traditional_analytic_timewalk_mean,,,,
amp_only,10.0,2,1.4439956764566662,4710.0,6.0,58,traditional_analytic_timewalk_mean,,,,
amp_only,10.0,-1,1.6396226456810161,0.0,6.0,58,traditional_analytic_timewalk_mean,,,,
amp_only,100.0,0,2.070948021628114,2997.0,6.0,58,traditional_analytic_timewalk_mean,,,,
amp_only,100.0,1,1.3123892462888511,3534.0,6.0,58,traditional_analytic_timewalk_mean,,,,
amp_only,100.0,2,1.399227623793902,4710.0,6.0,58,traditional_analytic_timewalk_mean,,,,
amp_only,100.0,-1,1.5941882972369559,0.0,6.0,58,traditional_analytic_timewalk_mean,,,,
amp_rise_shape,0.0,0,2.061974997008184,2997.0,14.0,58,traditional_analytic_timewalk_mean,,,,
amp_rise_shape,0.0,1,1.373139919561543,3534.0,14.0,58,traditional_analytic_timewalk_mean,,,,
amp_rise_shape,0.0,2,1.415450547121113,4710.0,14.0,58,traditional_analytic_timewalk_mean,,,,
amp_rise_shape,0.0,-1,1.6168551545636134,0.0,14.0,58,traditional_analytic_timewalk_mean,,,,
amp_rise_shape,0.01,0,2.0619575874990272,2997.0,14.0,58,traditional_analytic_timewalk_mean,,,,
amp_rise_shape,0.01,1,1.3716692838641236,3534.0,14.0,58,traditional_analytic_timewalk_mean,,,,
amp_rise_shape,0.01,2,1.4150749920353949,4710.0,14.0,58,traditional_analytic_timewalk_mean,,,,
amp_rise_shape,0.01,-1,1.616233954466182,0.0,14.0,58,traditional_analytic_timewalk_mean,,,,
