method,family,is_control,n_heldout_runs,n_pulses,mae_ns,bias_median_ns,pred_sigma_median_ns,pull_sigma68,pull_rms,coverage68,coverage90,coverage95,ece_abs,primary_score,primary_score_ci_low,primary_score_ci_high,pull_sigma68_ci_low,pull_sigma68_ci_high,coverage68_ci_low,coverage68_ci_high,coverage90_ci_low,coverage90_ci_high,coverage95_ci_low,coverage95_ci_high,pred_sigma_median_ns_ci_low,pred_sigma_median_ns_ci_high,mae_ns_ci_low,mae_ns_ci_high
ridge_conformal,ridge,False,7,11460,1.0252172999342855,0.04864415171030956,1.168978427742587,0.9922498250123715,2.061770258049836,0.6827225130890052,0.8877835951134381,0.9317626527050611,0.030476265270506064,0.049916224535560466,0.0441000374500935,0.21532937032440966,0.926249209252661,1.0757811911927226,0.6414255559419991,0.7154188948306596,0.8561710398445093,0.9075011482456935,0.9066796053695617,0.948766998309631,1.120984865492471,1.214057480479019,0.9665366017072119,1.1144089216461752
gated_waveform_tabular_cnn,new_gated_waveform_tabular_cnn,False,7,11460,1.4538852570094662,-0.1471958829648372,1.5099467362912367,1.0100010402795778,1.3653134499400015,0.6675392670157068,0.887521815008726,0.9334205933682374,0.044218324607329884,0.06931883224982008,0.043480950351423464,0.376296286149277,0.9148922036290604,1.1604130301490798,0.5983185590768245,0.7199288012596701,0.8382279103577831,0.9274276671819236,0.8998394863563403,0.9596432552954292,1.2865095860851288,1.6376843993432633,1.1856066355350734,1.7570360818335922
control_shuffled_target_ridge,control_shuffled_target,True,7,11460,1.680311983011487,-0.4854986612203227,1.7780191446497187,1.001947207021419,1.4574828101194657,0.6475567190226876,0.8900523560209425,0.9356020942408377,0.059488830715532126,0.07921622918344835,0.06904250672355546,0.42142067422577556,0.9091364604522746,1.1639294784226395,0.562962962962963,0.7135474446822409,0.8293621550806518,0.9277080427708043,0.8976144679826341,0.9590291550157052,1.7406249819770718,1.8274763663394558,1.4860928863807918,1.9780987670298438
gradient_boosted_trees_conformal,gradient_boosted_trees,False,7,11460,0.9189980508167421,0.07002145674907534,0.9994508227951605,1.0122788903955062,2.8443802753817535,0.6722513089005235,0.8693717277486911,0.9178883071553229,0.07318865619546244,0.09546205481892027,0.05095281889333228,0.3399947555298666,0.917299170819893,1.1322748950583115,0.6231608047246027,0.7124777183600713,0.8279883381924198,0.8968857681555166,0.8857315598548973,0.9396709134998815,0.9673255699203187,1.0662311546528824,0.8523178814434691,1.019863371778872
traditional_stratified_robust_width,traditional,False,7,11460,0.9517740304966983,-0.008001890615915386,1.1649074079495252,1.0127484887730458,7.54003300745486,0.6776614310645724,0.8534904013961606,0.9039267015706807,0.09762146596858623,0.12201902882112728,0.09885801677419417,0.364558043628434,0.9344826031217284,1.1354707161087818,0.6299410070372209,0.7112630208333334,0.812165585121798,0.8838776568170036,0.8706882458721595,0.9260156039817057,1.1201957475536721,1.2285343622966174,0.8839560635338894,1.042122268572256
control_run_only_width,control_run_only,True,7,11460,1.6375851974061089,0.004739393355922772,1.7358343504873566,1.0037549762977644,1.4446852205510896,0.6279232111692845,0.8705061082024432,0.9216404886561954,0.1126301919720768,0.1337435117747148,0.09260165086688343,0.455540581017483,0.9309330657670974,1.1666219010892946,0.5713758361636818,0.6679716629381058,0.815534825157425,0.9050525601898949,0.8758068772790152,0.9517932406850259,1.6954220888839173,1.828638215944388,1.467643329147493,1.9049396071227287
mlp_heteroskedastic,mlp,False,7,11460,1.1983323205520993,0.09187555954062887,1.0952444462138238,1.0157619669793603,1.5296623228340702,0.6593368237347295,0.8533158813263525,0.9026178010471204,0.11742949389179758,0.1441439053332961,0.09534548503152614,0.32009311184117045,0.9210687372359981,1.1057381845653003,0.6283416011434348,0.7002246003435064,0.8237254367039102,0.8784329038136145,0.8757434972913983,0.9211960524377669,1.0516020404856448,1.2057931317020592,1.0889261483398547,1.3014200848347772
cnn_1d_heteroskedastic,cnn_1d,False,7,11460,1.0888223419571095,0.11063123425946841,1.0394685603320444,1.0203941119010402,1.7032478527681745,0.6640488656195462,0.8525305410122164,0.8965095986038394,0.11961099476439796,0.15039979226875863,0.08881177805346029,0.4038833392705803,0.9120706832355229,1.1438639318033896,0.6156211366551829,0.7041933847710595,0.809985001824873,0.879795898341674,0.8582960755091903,0.9206389164792425,1.010062674188582,1.068297165101829,0.9982787684403066,1.2156269904635935
control_amplitude_only_ridge,control_amplitude_only,True,7,11460,0.9795487024637728,-0.0037592804536821234,0.943356044200961,0.987160167819011,3.0791261952851814,0.6843804537521815,0.8351657940663176,0.8793193717277487,0.1371952879581152,0.15946868058111385,0.15046199534932703,0.4326242782029311,0.8506075491665612,1.1541300226455817,0.6356260156295904,0.7293929080956062,0.7859689100359245,0.8701778523945168,0.8390752493200363,0.9084396361382292,0.8921142024671354,0.973471352025379,0.907929134536369,1.0676692306800148
control_sample_permuted_cnn,control_sample_permuted,True,7,11460,1.0630642332699782,0.06716761624059586,1.0112283455104585,1.0210660032799803,1.6972140002590212,0.6708551483420593,0.8417102966841187,0.8879581151832461,0.13217643979057592,0.16335472652566083,0.11242866134782026,0.45149773255451164,0.9174417545988658,1.1753585204717045,0.6200664202309794,0.7138262430288148,0.7957607459377785,0.8732006508949806,0.8482441031527477,0.9149752600222155,0.9826527601002212,1.038685116599797,0.9819732812962071,1.1801973571815216
control_phase_scrambled_cnn,control_phase_scrambled,True,7,11460,1.0939534161716498,0.10729732730622032,1.0186127485346739,1.027679107383904,1.7033272670894046,0.6653577661431065,0.8354275741710296,0.8846422338568936,0.14727242582897027,0.18513766069822102,0.135174498213623,0.5297564806050029,0.9076116762336648,1.2251040610804267,0.6090907447488809,0.7109648647550421,0.7857818784007571,0.8720754716981132,0.841334009936125,0.9180524069157497,0.9799901733689362,1.0664253993899862,0.9897744287758551,1.2616257777954079
