level,n,median_residual_ns,sigma68_ns,stave,amp_bin,q_bin,phase_bin,heldout_run
stave_amp_q_phase,98,1.8057242860784797,1.4233091884436515,B4,0.0,0.0,2.0,58
stave_amp_q_phase,576,2.033426875467697,1.5199586278691264,B4,0.0,0.0,3.0,58
stave_amp_q_phase,42,2.0132062807937565,0.14888975068613275,B4,0.0,1.0,1.0,58
stave_amp_q_phase,43,1.870492703825974,2.235218618860314,B4,0.0,1.0,3.0,58
stave_amp_q_phase,434,2.106201031424824,0.27068615021030773,B4,0.0,2.0,0.0,58
stave_amp_q_phase,59,2.075090846866189,0.18705263145561546,B4,0.0,2.0,1.0,58
stave_amp_q_phase,69,1.9886181226111432,0.16225693219859316,B4,0.0,2.0,3.0,58
stave_amp_q_phase,120,1.49950917330888,1.1766035783208317,B4,1.0,0.0,2.0,58
stave_amp_q_phase,719,1.9522677985545442,1.3366165664252931,B4,1.0,0.0,3.0,58
stave_amp_q_phase,69,1.9620455402434942,0.18556543960023808,B4,1.0,1.0,1.0,58
stave_amp_q_phase,42,2.012850534446798,1.5665321049101886,B4,1.0,1.0,3.0,58
stave_amp_q_phase,127,1.9801123690448108,0.15312093101973978,B4,1.0,2.0,0.0,58
stave_amp_q_phase,40,2.0026154215280236,0.15336138304578817,B4,1.0,2.0,1.0,58
stave_amp_q_phase,106,2.0005681337795878,0.16328471526044552,B4,1.0,2.0,3.0,58
stave_amp_q_phase,49,1.9624205757973812,1.0816157233194836,B4,2.0,0.0,2.0,58
stave_amp_q_phase,230,1.7999322074711763,1.2775007691788314,B4,2.0,0.0,3.0,58
stave_amp_q_phase,68,1.8733004460078249,0.6400883223475928,B4,2.0,1.0,1.0,58
stave_amp_q_phase,62,1.7657157973631747,0.980080244922035,B4,2.0,1.0,2.0,58
stave_amp_q_phase,376,2.254284275165684,1.2510151140466412,B4,2.0,1.0,3.0,58
stave_amp_q_phase,87,2.0470052637119807,0.16352789681071955,B4,2.0,2.0,3.0,58
stave_amp_q_phase,57,5.9320009692763875,6.881390292709558,B4,3.0,2.0,3.0,58
stave_amp_q_phase,62,-1.240745345356764,1.3393349373933139,B6,0.0,0.0,2.0,58
stave_amp_q_phase,586,-1.1803011849962566,1.4651753588971663,B6,0.0,0.0,3.0,58
stave_amp_q_phase,256,-1.1329018037833656,0.12004769145840655,B6,0.0,2.0,0.0,58
stave_amp_q_phase,73,-1.125587839589528,0.15258453973635505,B6,0.0,2.0,1.0,58
stave_amp_q_phase,78,-1.1195642475755463,0.25847379943492926,B6,0.0,2.0,3.0,58
stave_amp_q_phase,94,-1.1492955856537286,1.1746916203425055,B6,1.0,0.0,2.0,58
stave_amp_q_phase,708,-1.2381369558742108,1.2659548826437064,B6,1.0,0.0,3.0,58
stave_amp_q_phase,45,-1.1979566333739982,0.19236410135158644,B6,1.0,1.0,1.0,58
stave_amp_q_phase,172,-1.1080162977464063,0.11728123755102171,B6,1.0,2.0,0.0,58
stave_amp_q_phase,58,-1.1098495822815586,0.12939165699683108,B6,1.0,2.0,1.0,58
stave_amp_q_phase,73,-1.1448821025425389,0.16176286354803826,B6,1.0,2.0,3.0,58
stave_amp_q_phase,75,-1.515276385722288,1.0010451779934866,B6,2.0,0.0,2.0,58
stave_amp_q_phase,378,-1.2877209030496566,1.0815070150899626,B6,2.0,0.0,3.0,58
stave_amp_q_phase,73,-1.1430988967569249,0.21919204809859394,B6,2.0,1.0,1.0,58
stave_amp_q_phase,46,-0.8753830581393984,1.4326676747927058,B6,2.0,1.0,2.0,58
stave_amp_q_phase,259,-1.1597408745014448,1.1419077827420017,B6,2.0,1.0,3.0,58
stave_amp_q_phase,107,-1.1006177610125718,0.14596749224743916,B6,2.0,2.0,0.0,58
stave_amp_q_phase,87,-1.1116596924412363,0.18569744120540466,B6,2.0,2.0,3.0,58
stave_amp_q_phase,40,-1.4564159549335365,0.8672359287608786,B6,3.0,1.0,2.0,58
stave_amp_q_phase,110,-1.0951857921803345,1.1796254961394645,B6,3.0,1.0,3.0,58
