feature,coefficient_ns_per_raw_unit,standardized_coefficient_ns,heldout_run,analytic_candidate,analytic_alpha
stave_B4,-4.219005922606901,-1.9888584651610042,58,amp_only,100.0
stave_B6,2.4309784083462915,1.145974211639813,58,amp_only,100.0
log_amp,-2.5746586533137497,-0.8449228881837413,58,amp_only,100.0
stave_B8,1.7880275142587445,0.8428842535203116,58,amp_only,100.0
inv_amp_1000,-4.6343306344708415,-0.6427287491543501,58,amp_only,100.0
inv_sqrt_amp_1000,-0.6060754475565893,-0.06325029483361588,58,amp_only,100.0
stave_B4,-4.106963471310733,-1.93604114709938,59,amp_only,100.0
stave_B6,2.4475302994453036,1.1537768479314672,59,amp_only,100.0
log_amp,-2.4186736543162857,-0.78859540568323,59,amp_only,100.0
stave_B8,1.6594331718678703,0.7822642991690634,59,amp_only,100.0
inv_amp_1000,-4.604614139439242,-0.6292847313812965,59,amp_only,100.0
inv_sqrt_amp_1000,-0.44534714297651395,-0.04596210202755069,59,amp_only,100.0
stave_B4,-3.9857219450296473,-1.8788873435028766,60,amp_only,100.0
stave_B6,2.333411291438653,1.0999806316489487,60,amp_only,100.0
log_amp,-2.5219376987874753,-0.8321018767944763,60,amp_only,100.0
stave_B8,1.6523106535939367,0.7789067118553151,60,amp_only,100.0
inv_amp_1000,-4.808632931510893,-0.6815415901638281,60,amp_only,100.0
inv_sqrt_amp_1000,-0.3404470249097348,-0.0360281056321957,60,amp_only,100.0
stave_B4,-4.318975077131128,-2.0359843765432797,61,amp_only,100.0
stave_B6,2.506391994633532,1.1815245171446231,61,amp_only,100.0
stave_B8,1.8125830824990485,0.8544598593993409,61,amp_only,100.0
log_amp,-2.3872857076858267,-0.7899326495468623,61,amp_only,100.0
inv_amp_1000,-4.610869347647216,-0.6485348156727869,61,amp_only,100.0
inv_sqrt_amp_1000,-0.2595296442515447,-0.02738999824727268,61,amp_only,100.0
stave_B4,-4.1742369152191054,-1.9677541526869677,62,amp_only,100.0
stave_B6,2.420112191716989,1.1408518279968058,62,amp_only,100.0
log_amp,-2.6738474390374463,-0.8808049615466277,62,amp_only,100.0
stave_B8,1.754124723503504,0.8269023246908161,62,amp_only,100.0
inv_amp_1000,-4.764264798235518,-0.6623773765181667,62,amp_only,100.0
inv_sqrt_amp_1000,-0.48849006337612483,-0.05114038335421957,62,amp_only,100.0
stave_B4,-4.122839885502086,-1.9435253605231964,63,amp_only,100.0
stave_B6,2.3869859922540893,1.1252359878134057,63,amp_only,100.0
log_amp,-2.815396837996508,-0.9186684180416083,63,amp_only,100.0
stave_B8,1.735853893246351,0.8182893727090147,63,amp_only,100.0
inv_amp_1000,-5.390192198184642,-0.7397472269207166,63,amp_only,100.0
inv_sqrt_amp_1000,-0.3675150516348195,-0.03803604872827538,63,amp_only,100.0
stave_B4,-4.222265920079463,-1.9903952427073381,65,amp_only,100.0
stave_B6,2.432205805531208,1.1465528122215893,65,amp_only,100.0
log_amp,-2.6936814234880937,-0.8827035204579123,65,amp_only,100.0
stave_B8,1.7900601145469757,0.8438424304851452,65,amp_only,100.0
inv_amp_1000,-4.99899047685291,-0.6906545750779599,65,amp_only,100.0
inv_sqrt_amp_1000,-0.5371073965519721,-0.05590685291170199,65,amp_only,100.0
