method,family,baseline,n_heldout_runs,n_pair_residuals,sigma68_ns,full_rms_ns,abs_residual_p95_ns,tail_frac_vs_traditional_p95,ci_low,ci_high,delta_vs_traditional_ns,delta_ci_low,delta_ci_high
hgb_waveform_amp_shape_stave,ml,analytic_timewalk,7,11460,1.108846236098982,2.1146331668077933,2.682018654701094,0.020331588132635255,1.0764780740654243,1.164914807997271,-0.4422454748788014,-0.8449419754251458,-0.2351940748621927
hgb_waveform_stave_onehot,ml,analytic_timewalk,7,11460,1.1358406144394066,2.205475284977442,2.779280469231863,0.021291448516579405,1.0897775829873944,1.1890568889037243,-0.41525109653837666,-0.8463795870612981,-0.20301611106789555
hgb_stave_offset_guardrail,stave_offset_guardrail,analytic_timewalk,7,11460,1.1515617974183487,2.1949921415982527,2.849590319230935,0.021727748691099478,1.1100657714995303,1.206898463762528,-0.39952991355943457,-0.80474922380825,-0.16538114200381596
mlp_waveform_amp_shape_stave,ml,analytic_timewalk,7,11460,1.1730734682648702,2.4008105435142495,2.795754852903208,0.020855148342059336,1.1377926415992186,1.2261225180745439,-0.37801824271291307,-0.7776695638357386,-0.1701555124032049
mlp_waveform_stave_onehot,ml,analytic_timewalk,7,11460,1.2341465653934718,2.3380695241596077,2.9607499672273208,0.02530541012216405,1.1519728854282036,1.294096630395261,-0.3169451455843115,-0.7561919709743234,-0.08978793671158046
ridge_waveform_stave_onehot,ml,analytic_timewalk,7,11460,1.246929498664411,2.404090727822452,3.0717333758152097,0.026614310645724257,1.1754174357252822,1.3195959585442336,-0.30416221231337226,-0.7362896369614548,-0.09165735684748207
feature_gated_waveform_stave_onehot,ml,analytic_timewalk,7,11460,1.2504786039092675,2.4088097763775598,3.0692081792890957,0.026788830715532286,1.2028018795521347,1.3144449523603685,-0.30061310706851585,-0.6977906655643518,-0.1030298642674256
feature_gated_waveform_amp_shape_stave,ml,analytic_timewalk,7,11460,1.2538835970780067,2.4312276582410135,3.0665314229117078,0.027050610820244327,1.2047411297453472,1.3029580198238122,-0.29720811389977664,-0.666740989237348,-0.09522461308098636
ridge_stave_offset_guardrail,stave_offset_guardrail,analytic_timewalk,7,11460,1.2625941235877183,2.4234656638070047,3.172449193826774,0.029842931937172777,1.2021024584418163,1.326248890299597,-0.28849758739006504,-0.7171129798783517,-0.08923376966885108
cnn1d_waveform_amp_shape_stave,ml,analytic_timewalk,7,11460,1.2662941085832529,2.44176851831756,3.114263492214673,0.027835951134380452,1.2089690764845888,1.3474571771870012,-0.28479760239453045,-0.688460103983401,-0.07957208021532727
ridge_waveform_amp_shape_stave,ml,analytic_timewalk,7,11460,1.320067248413193,2.4683894390499166,3.0372965699552834,0.0262652705061082,1.2778796136996675,1.373799245954009,-0.2310244625645903,-0.6331053607304611,-0.03423850976049866
cnn1d_waveform_stave_onehot,ml,analytic_timewalk,7,11460,1.3776534239555334,2.547821678717948,3.497517422200999,0.03944153577661431,1.339968485064815,1.4520408556559836,-0.17343828702224995,-0.5450562859756346,0.0479354385196458
hgb_waveform_amp_shape,ml,analytic_timewalk,7,11460,1.4706040210021134,2.2708875334832657,2.9763092466083085,0.024607329842931937,1.3838027069568142,1.589122664276812,-0.08048768997566991,-0.3518129277861433,0.0398152228685284
hgb_waveform_only,ml,analytic_timewalk,7,11460,1.5093683625565213,2.4066598556418297,3.1769428153102663,0.030715532286212915,1.426320373392989,1.6371834855647622,-0.04172334842126202,-0.28151819163720426,0.080057445024978
cnn1d_waveform_only,ml,analytic_timewalk,7,11460,1.5450314248594519,2.6642978111257642,3.731700084388159,0.04982547993019197,1.3637553202087813,1.9246867758739532,-0.006060286118331426,-0.05556261024304507,0.054134933473554
feature_gated_waveform_amp_shape_stave_shuffled,shuffled_target_control,analytic_timewalk,7,11460,1.5460718343230262,2.6534750068993294,3.6924175843065328,0.048167539267015703,1.35187249351776,1.9368694603982999,-0.005019876654757116,-0.059463929767682486,0.051441490934768914
