path,suffix,matched_keywords,is_root,size_bytes
reports/1781030650.597.5d382001__s03j_selector_timewalk_support/skipped_folds.csv,.csv,ped,False,27
reports/1781014767.1817.342d2609/fig_tagged_random_audit.png,.png,random,False,27466
reports/1781017360.928.15a27ed1/dominant_capped_fold_diagnostics.csv,.csv,ped,False,2420
reports/1781017360.928.15a27ed1/dominant_capped_event_scores.csv,.csv,ped,False,1741987
reports/1781017360.928.15a27ed1/reproduce_capped_all_event_scores.csv,.csv,ped,False,3426053
reports/1781017360.928.15a27ed1/dominant_capped_method_summary.csv,.csv,ped,False,451
reports/1781017360.928.15a27ed1/reproduce_capped_all_method_summary.csv,.csv,ped,False,454
reports/1781017360.928.15a27ed1/dominant_capped_template_summary_by_fold.csv,.csv,ped,False,2868
reports/1781017360.928.15a27ed1/reproduce_capped_all_method_stratum_summary.csv,.csv,ped,False,5067
reports/1781017360.928.15a27ed1/reproduce_capped_all_template_summary_by_fold.csv,.csv,ped,False,2868
reports/1781017360.928.15a27ed1/reproduce_capped_all_fold_diagnostics.csv,.csv,ped,False,2423
reports/1781017360.928.15a27ed1/dominant_capped_analysis_sample.csv,.csv,ped,False,466730
reports/1781017360.928.15a27ed1/reproduce_capped_all_analysis_sample.csv,.csv,ped,False,1051846
reports/1781017360.928.15a27ed1/dominant_capped_method_stratum_summary.csv,.csv,ped,False,1919
reports/1781017360.928.15a27ed1/dominant_capped_leakage_checks.csv,.csv,ped,False,878
reports/1781017360.928.15a27ed1/reproduce_capped_all_leakage_checks.csv,.csv,ped,False,878
reports/1781010192.1271.5e804d02__p01c_repeated_leakage_sentinels/random_row_benchmark.csv,.csv,random,False,443
reports/1781009378.1771.3b9145b2__s16d_sample_i_bstack_pedestal_timing/s16d_sample_i_bstack_pedestal_timing.py,.py,"pedestal,ped",False,35157
reports/1781007587.2616.535e78de/s16e_tagged_random_pedestal.py,.py,"random,pedestal,ped",False,30323
reports/1781007587.2616.535e78de/fig_tagged_random_audit.png,.png,random,False,38852
reports/1781001221.625989.53423f03__s16c_pedestal_timing_nuisance/s16c_pedestal_timing.py,.py,"pedestal,ped",False,34097
reports/1781010419.1274.000b7be0/s16d_forced_trigger_adaptive_strata.py,.py,forced,False,39757
reports/1781007587.2596.601c7510__s16d_forced_random_pedestal_run_search/s16d_forced_random_pedestal_run_search.py,.py,"forced,random,pedestal,ped",False,31436
reports/1781007909.1585.0c094e3c/s16d_forced_random_pedestal_search.py,.py,"forced,random,pedestal,ped",False,37896
reports/1781001221.625922.5a564a7e__s16b_forced_trigger_pedestal_validation/s16b_forced_trigger_pedestal_validation.py,.py,"forced,pedestal,ped",False,34125
reports/1781014246.505.46f447b1/s16g_1781014246_quiet_pseudopedestal.py,.py,"pedestal,ped",False,46606
reports/1781014587.1760.7ce2645e/s16e_forced_random_pedestal_no_proxy.py,.py,"forced,random,pedestal,ped",False,35299
reports/1781005319.615.15053b04__p09a_rare_waveform_anomaly_taxonomy/random_baseline_replicates.csv,.csv,random,False,23786
docs/latex/chapters/06_amplitude_energy_pedestal.tex,.tex,"pedestal,ped",False,14894
configs/s10e_1781017360_928_15a27ed1_uncapped_highstat.json,.json,ped,False,889
configs/s16e_1781017317_1094_3dce221c_forced_random_no_proxy.json,.json,"forced,random",False,1271
configs/s16f_1781033712_1201_63fd2ee4_forced_random_pedestal_audit.json,.json,"forced,random,pedestal,ped",False,1815
configs/s16g_1781033528_1397_05213c6c_forced_random_truth_benchmark.json,.json,"forced,random",False,2893
configs/s16g_1781031000_2375_3d7f6489_forced_random_root_acquisition.json,.json,"forced,random",False,1242
scripts/s16g_1781033528_1397_05213c6c_forced_random_truth_benchmark.py,.py,"forced,random",False,19755
scripts/s10e_1781017360_928_15a27ed1_uncapped_highstat.py,.py,ped,False,16789
scripts/s16f_1781013928_forced_random_truth.py,.py,"forced,random",False,32628
scripts/s16g_1781031000_2375_3d7f6489_forced_random_root_acquisition.py,.py,"forced,random",False,23038
scripts/s16f_1781033712_1201_63fd2ee4_forced_random_pedestal_audit.py,.py,"forced,random,pedestal,ped",False,20183
scripts/s16g_1781014767_tagged_random_rerun.py,.py,random,False,34616
scripts/s16e_1781017317_1094_3dce221c_forced_random_no_proxy.py,.py,"forced,random",False,35265
scripts/__pycache__/s16f_1781033712_1201_63fd2ee4_forced_random_pedestal_audit.cpython-37.pyc,.pyc,"forced,random,pedestal,ped",False,17963
scripts/__pycache__/s16f_1781013928_forced_random_truth.cpython-37.pyc,.pyc,"forced,random",False,26562
