heldout_run,method,shuffled_proxy,n_pairs,n_events,n_tail_pairs_before,threshold,veto_fraction,timing_efficiency,tail_capture,tail_fraction_before,tail_fraction_after,tail_fraction_delta,sigma68_before_ns,sigma68_after_ns,sigma68_delta_ns,full_rms_before_ns,full_rms_after_ns,auc,average_precision,brier,train_threshold_quantile,train_utility,train_tail_capture,train_efficiency
58,traditional_quantile,False,219,73,2,0.9121964238057112,0.0867579908675799,0.91324200913242,1.0,0.0091324200913242,0.0,-0.0091324200913242,1.6403874822690652,1.4631605031585257,-0.17722697911053942,4.245584726803905,1.59334666651341,0.935483870967742,0.125,0.3218363845902471,0.9,0.2614836054890424,0.29651162790697677,0.899919935948759
58,traditional_quantile,True,219,73,2,0.9115737034071701,0.1324200913242009,0.8675799086757991,0.0,0.0091324200913242,0.010526315789473684,0.0013938956981494836,1.6403874822690652,1.6633198526096904,0.02293237034062523,4.245584726803905,4.523622079829239,0.358294930875576,0.010394284486463259,0.3841093597290365,0.9,0.04636732641927496,0.08139534883720931,0.899919935948759
58,ridge,False,219,73,2,0.4908645021912602,0.0821917808219178,0.9178082191780822,1.0,0.0091324200913242,0.0,-0.0091324200913242,1.6403874822690652,1.4605334167446955,-0.17985406552436967,4.245584726803905,1.5515454071590828,1.0,1.0,0.2063829926561944,0.9,0.45915802409369355,0.4941860465116279,0.899919935948759
58,ridge,True,219,73,2,0.5311951198195811,0.0547945205479452,0.9452054794520548,0.0,0.0091324200913242,0.00966183574879227,0.0005294156574680697,1.6403874822690652,1.628833133796419,-0.011554348472646137,4.245584726803905,4.352296597634609,0.027649769585253448,0.0070321151716500555,0.24862045356216486,0.95,0.08130763008339488,0.09883720930232558,0.9499154879459123
58,gradient_boosted_trees,False,219,73,2,0.018333821402457418,0.1187214611872146,0.8812785388127854,1.0,0.0091324200913242,0.0,-0.0091324200913242,1.6403874822690652,1.4973611233428743,-0.14302635892619087,4.245584726803905,1.4847856698476227,0.9999999999999999,1.0,0.0032681875725442465,0.9,0.9010184892099726,0.936046511627907,0.899919935948759
58,gradient_boosted_trees,True,219,73,2,0.018676202138649792,0.1689497716894977,0.8310502283105023,1.0,0.0091324200913242,0.0,-0.0091324200913242,1.6403874822690652,1.5467153458894751,-0.09367213637959004,4.245584726803905,1.6885494340417933,0.9308755760368663,0.11764705882352941,0.009013457039144994,0.9,0.11077089061430023,0.1569767441860465,0.8679832755092963
58,mlp,False,219,73,2,0.07589029195640586,0.0730593607305936,0.9269406392694064,1.0,0.0091324200913242,0.0,-0.0091324200913242,1.6403874822690652,1.5554556148484844,-0.08493186742058079,4.245584726803905,1.5903120470129444,1.0,1.0,0.004511588702467975,0.9,0.3952045357216005,0.43023255813953487,0.899919935948759
58,mlp,True,219,73,2,0.253208133614205,0.0639269406392694,0.9360730593607306,0.0,0.0091324200913242,0.00975609756097561,0.0006236774696514093,1.6403874822690652,1.5603487615594656,-0.08003872070959961,4.245584726803905,4.344677582617183,0.009216589861751112,0.006923109745690391,0.04749749999519514,0.9,0.05218127990764705,0.0872093023255814,0.899919935948759
58,cnn1d,False,219,73,2,0.4032640136101758,0.0821917808219178,0.9178082191780822,1.0,0.0091324200913242,0.0,-0.0091324200913242,1.6403874822690652,1.5555267259799308,-0.08486075628913436,4.245584726803905,1.5560879509994625,0.9423963133640553,0.10427807486631016,0.14534643955445256,0.9,0.49985569851229816,0.5348837209302325,0.899919935948759
58,cnn1d,True,219,73,2,0.5337603506696794,0.0273972602739726,0.9726027397260274,0.0,0.0091324200913242,0.009389671361502348,0.0002572512701781472,1.6403874822690652,1.6571047345835037,0.016717252314438547,4.245584726803905,4.2989628151673775,0.03686635944700456,0.007120288873843377,0.24437309835361506,0.9,0.06962314037276333,0.10465116279069768,0.899919935948759
