method,shuffled_proxy,veto_fraction_ci_low,veto_fraction_ci_high,timing_efficiency_ci_low,timing_efficiency_ci_high,tail_capture_ci_low,tail_capture_ci_high,tail_fraction_after_ci_low,tail_fraction_after_ci_high,tail_fraction_delta_ci_low,tail_fraction_delta_ci_high,sigma68_after_ns_ci_low,sigma68_after_ns_ci_high,sigma68_delta_ns_ci_low,sigma68_delta_ns_ci_high,full_rms_after_ns_ci_low,full_rms_after_ns_ci_high,auc_ci_low,auc_ci_high,average_precision_ci_low,average_precision_ci_high
cnn1d,False,0.06287892198462114,0.11689895101965267,0.8831010489803472,0.9371210780153788,0.3868050699300699,0.6597187499999999,0.00466389755034032,0.01059313727115492,-0.010181690534732142,-0.0038977281954546664,1.579718252797296,1.6804986159019855,-0.08578067371998191,-0.041794489874671735,2.079946011289828,5.091785239025379,0.6530932958969295,0.8191141507866279,0.16850121998926573,0.4620724510083451
cnn1d,True,0.05523854514812025,0.10784338059666419,0.8921566194033358,0.9447614548518798,0.06793165297838194,0.24963369963369952,0.009549967889706919,0.01941563668554762,-0.0026249494367752133,4.462853159922556e-05,1.5482686562251706,1.7039248958681674,-0.13508484991751024,-0.03228593864210363,4.080771161560524,6.847951862448286,0.2969009273614614,0.5233718316013873,0.013087104044764018,0.047563949731813146
gradient_boosted_trees,False,0.0916514623640701,0.11027452455590386,0.8897254754440961,0.9083485376359299,0.4144982523914643,0.6424284848052503,0.004818447174609709,0.010662998997828629,-0.009980224004975646,-0.004488803472579503,1.5716599964297484,1.6686436307461123,-0.10085304525688467,-0.04247086287311068,1.976707171553556,5.526221031042546,0.6860049239102359,0.8071552376816695,0.17740370606360004,0.3776401265411048
gradient_boosted_trees,True,0.09468232931223076,0.11472413839361117,0.8852758616063888,0.9053176706877692,0.13155817342725284,0.3482269503546097,0.008598206330577564,0.01701386825979938,-0.004295108430628287,-0.00043097908321770606,1.6222098748007274,1.7417983936282864,-0.03975469849416155,0.0008320648461019504,3.3809910024196483,6.326301373558214,0.4109496767582003,0.6784839262682444,0.009791114207652694,0.04711036245360386
mlp,False,0.09228945508200662,0.11242939960651677,0.8875706003934832,0.9077105449179934,0.25573529411764706,0.5737547770700635,0.0068565953349566154,0.011267436366615629,-0.009722722655486345,-0.001748400001947172,1.6148301005362327,1.7352452023584959,-0.06737792736308562,-0.0049009085301992845,2.837775243729828,5.479083643312772,0.5347671192250083,0.7779287639602885,0.04531364718306408,0.3995050071408565
mlp,True,0.06020111379185682,0.10206760249215042,0.8979323975078496,0.9397988862081432,0.030284926470588235,0.18541807432432425,0.008928324672685575,0.020932555339419734,-0.0014100453434147974,0.0006695946883204169,1.6382973552696212,1.757915577313803,-0.0022861296658261755,0.02883301081580804,4.100803097102874,7.335263607946264,0.26833023877122963,0.4576274747867936,0.007089583689202232,0.046349455449443265
ridge,False,0.08769894614782463,0.11098031287381964,0.8890196871261804,0.9123010538521754,0.4070548780487805,0.6371527777777776,0.004429926223462196,0.012113501426478518,-0.00880253625329884,-0.004186209846379913,1.521393818663003,1.6099218914020872,-0.16530314772876778,-0.10861468130441918,1.7092602466531297,5.549890170697995,0.6829536166351908,0.8226960773119222,0.07740459087808393,0.29646875475636514
ridge,True,0.06730777430701253,0.10896305529756183,0.8910369447024382,0.9326922256929875,0.016268213942936916,0.18358585858585855,0.01035502721348925,0.020109953553879054,-0.001286457124110679,0.0011476691754830153,1.5863793809632156,1.762989440461771,-0.059888926298186006,-0.001216036830055254,4.099995973130062,7.490968710861952,0.228949660468246,0.41713380048518234,0.008238338903365078,0.01871634392217013
siamese_cnn_meta,False,0.08332846712171152,0.11169558277006297,0.888304417229937,0.9166715328782884,0.42561984732824426,0.6645270270270269,0.004378626076012584,0.011141927697733785,-0.010188392376564444,-0.004472391233942128,1.5587369134656814,1.6653888613749912,-0.09597424538805895,-0.05384125111498769,1.925707298633987,4.901369196192031,0.6643279926287649,0.8108794100980599,0.1863089753418966,0.5047732954080769
siamese_cnn_meta,True,0.09345918062731431,0.11422649007736864,0.8857735099226314,0.9065408193726857,0.05941652905559487,0.18548642533936652,0.010766228158583956,0.019564861067135005,-0.0013241495914917776,0.0007455921204428254,1.6197631810277329,1.7165682853350632,-0.06719361730312501,0.004567154644912265,4.37547516384403,7.011985859932355,0.3114291614381796,0.5071585054647721,0.009908353022006938,0.0560222625018868
traditional_quantile,False,0.08203265507604723,0.11533862739851607,0.8846613726014839,0.9179673449239527,0.23533856437082243,0.46692567990976314,0.006912607696729492,0.014864393507972664,-0.005667424754331746,-0.0022960518280197265,1.5179466606234442,1.6067724248691282,-0.15847689559845873,-0.10395085223925157,3.695316636847988,6.6885182789992985,0.6416951770536933,0.7809499105709756,0.0350077060334715,0.0776117278262557
traditional_quantile,True,0.09167992156412491,0.10577098440764623,0.8942290155923538,0.9083200784358751,0.014503816793893133,0.15011263880006975,0.009629115855723257,0.02012106529594039,-0.0010098877876221217,0.001084947070999444,1.6425248350896813,1.7876551388650461,-0.008129331108818161,0.019785575928290035,4.130966456402081,6.925348275612221,0.398599986091871,0.5483509042375816,0.009304865681491093,0.021098950210260325
