run,file,n_events,branches,missing_required_branches,trigger_values,trigger_counts,has_nonbeam_trigger_code
12,data/root/root/hrdb_run_0012.root,14791,"EVENTNO,EVT,HRD,HRDI,HRDv,NO,TRIGGER",,1,14791,False
13,data/root/root/hrdb_run_0013.root,50629,"EVENTNO,EVT,HRD,HRDI,HRDv,NO,TRIGGER",,1,50629,False
14,data/root/root/hrdb_run_0014.root,3479,"EVENTNO,EVT,HRD,HRDI,HRDv,NO,TRIGGER",,1,3479,False
15,data/root/root/hrdb_run_0015.root,103871,"EVENTNO,EVT,HRD,HRDI,HRDv,NO,TRIGGER",,1,103871,False
16,data/root/root/hrdb_run_0016.root,11533,"EVENTNO,EVT,HRD,HRDI,HRDv,NO,TRIGGER",,1,11533,False
17,data/root/root/hrdb_run_0017.root,5648,"EVENTNO,EVT,HRD,HRDI,HRDv,NO,TRIGGER",,1,5648,False
18,data/root/root/hrdb_run_0018.root,75023,"EVENTNO,EVT,HRD,HRDI,HRDv,NO,TRIGGER",,1,75023,False
19,data/root/root/hrdb_run_0019.root,73470,"EVENTNO,EVT,HRD,HRDI,HRDv,NO,TRIGGER",,1,73470,False
20,data/root/root/hrdb_run_0020.root,57388,"EVENTNO,EVT,HRD,HRDI,HRDv,NO,TRIGGER",,1,57388,False
21,data/root/root/hrdb_run_0021.root,0,"EVENTNO,EVT,HRD,HRDI,HRDv,NO,TRIGGER",,,,False
22,data/root/root/hrdb_run_0022.root,0,"EVENTNO,EVT,HRD,HRDI,HRDv,NO,TRIGGER",,,,False
23,data/root/root/hrdb_run_0023.root,3806,"EVENTNO,EVT,HRD,HRDI,HRDv,NO,TRIGGER",,1,3806,False
24,data/root/root/hrdb_run_0024.root,24908,"EVENTNO,EVT,HRD,HRDI,HRDv,NO,TRIGGER",,1,24908,False
25,data/root/root/hrdb_run_0025.root,3315,"EVENTNO,EVT,HRD,HRDI,HRDv,NO,TRIGGER",,1,3315,False
26,data/root/root/hrdb_run_0026.root,53953,"EVENTNO,EVT,HRD,HRDI,HRDv,NO,TRIGGER",,1,53953,False
27,data/root/root/hrdb_run_0027.root,34979,"EVENTNO,EVT,HRD,HRDI,HRDv,NO,TRIGGER",,1,34979,False
28,data/root/root/hrdb_run_0028.root,5203,"EVENTNO,EVT,HRD,HRDI,HRDv,NO,TRIGGER",,1,5203,False
29,data/root/root/hrdb_run_0029.root,25800,"EVENTNO,EVT,HRD,HRDI,HRDv,NO,TRIGGER",,1,25800,False
30,data/root/root/hrdb_run_0030.root,5265,"EVENTNO,EVT,HRD,HRDI,HRDv,NO,TRIGGER",,1,5265,False
31,data/root/root/hrdb_run_0031.root,39990,"EVENTNO,EVT,HRD,HRDI,HRDv,NO,TRIGGER",,1,39990,False
32,data/root/root/hrdb_run_0032.root,41921,"EVENTNO,EVT,HRD,HRDI,HRDv,NO,TRIGGER",,1,41921,False
33,data/root/root/hrdb_run_0033.root,57173,"EVENTNO,EVT,HRD,HRDI,HRDv,NO,TRIGGER",,1,57173,False
34,data/root/root/hrdb_run_0034.root,39765,"EVENTNO,EVT,HRD,HRDI,HRDv,NO,TRIGGER",,1,39765,False
35,data/root/root/hrdb_run_0035.root,27786,"EVENTNO,EVT,HRD,HRDI,HRDv,NO,TRIGGER",,1,27786,False
36,data/root/root/hrdb_run_0036.root,21764,"EVENTNO,EVT,HRD,HRDI,HRDv,NO,TRIGGER",,1,21764,False
37,data/root/root/hrdb_run_0037.root,50513,"EVENTNO,EVT,HRD,HRDI,HRDv,NO,TRIGGER",,1,50513,False
39,data/root/root/hrdb_run_0039.root,30321,"EVENTNO,EVT,HRD,HRDI,HRDv,NO,TRIGGER",,1,30321,False
40,data/root/root/hrdb_run_0040.root,32613,"EVENTNO,EVT,HRD,HRDI,HRDv,NO,TRIGGER",,1,32613,False
41,data/root/root/hrdb_run_0041.root,33997,"EVENTNO,EVT,HRD,HRDI,HRDv,NO,TRIGGER",,1,33997,False
42,data/root/root/hrdb_run_0042.root,33972,"EVENTNO,EVT,HRD,HRDI,HRDv,NO,TRIGGER",,1,33972,False
43,data/root/root/hrdb_run_0043.root,13,"EVENTNO,EVT,HRD,HRDI,HRDv,NO,TRIGGER",,1,13,False
44,data/root/root/hrdb_run_0044.root,4294,"EVENTNO,EVT,HRD,HRDI,HRDv,NO,TRIGGER",,1,4294,False
45,data/root/root/hrdb_run_0045.root,48181,"EVENTNO,EVT,HRD,HRDI,HRDv,NO,TRIGGER",,1,48181,False
46,data/root/root/hrdb_run_0046.root,1441,"EVENTNO,EVT,HRD,HRDI,HRDv,NO,TRIGGER",,1,1441,False
47,data/root/root/hrdb_run_0047.root,10970,"EVENTNO,EVT,HRD,HRDI,HRDv,NO,TRIGGER",,1,10970,False
48,data/root/root/hrdb_run_0048.root,31713,"EVENTNO,EVT,HRD,HRDI,HRDv,NO,TRIGGER",,1,31713,False
49,data/root/root/hrdb_run_0049.root,32354,"EVENTNO,EVT,HRD,HRDI,HRDv,NO,TRIGGER",,1,32354,False
50,data/root/root/hrdb_run_0050.root,44804,"EVENTNO,EVT,HRD,HRDI,HRDv,NO,TRIGGER",,1,44804,False
51,data/root/root/hrdb_run_0051.root,20569,"EVENTNO,EVT,HRD,HRDI,HRDv,NO,TRIGGER",,1,20569,False
