method,fold,heldout_runs,ap,auc,n_validation_events
ridge,0,59 62,0.7858169812347687,0.8120118343195267,
ridge,1,58 61,0.8330794949261876,0.8319896449704143,
ridge,2,60,0.8416039580459398,0.8370562130177515,
gradient_boosted_trees,0,59 62,0.8258196575050991,0.8238572485207101,
gradient_boosted_trees,1,58 61,0.8358809069176416,0.8410133136094675,
gradient_boosted_trees,2,60,0.8703852699511182,0.859689349112426,
mlp,0,59 62,0.8152046497427157,0.8152662721893491,
mlp,1,58 61,0.8419350563758085,0.8380362426035503,
mlp,2,60,0.8207211598668801,0.8157544378698225,
one_d_cnn,0,59 62,,,1040.0
one_d_cnn,1,58 61,,,1040.0
one_d_cnn,2,60,,,520.0
template_residual_fusion_new,0,59 62,0.8529315111782398,0.834430473372781,
template_residual_fusion_new,1,58 61,0.8694948267512485,0.8563942307692307,
template_residual_fusion_new,2,60,0.879701488558157,0.8641420118343196,
