run,group,method,n,bias_ns,sigma68_ns,rms_ns,calibration_slope_pred_vs_target,tail_fraction_abs_gt_5ns,tail_fraction_abs_gt_10ns
42,sample_i_calib,1d_cnn,1200.0,0.008542187511920929,0.03903026193380355,4.497753936049468,0.026638337172902166,0.019166666666666665,0.011666666666666667
42,sample_i_calib,amplitude_warped_derivative_cnn_new,1200.0,0.007296659052371979,0.043514952659606934,4.5219933694809065,0.021340473112971606,0.019166666666666665,0.011666666666666667
42,sample_i_calib,compact_waveform_transformer,1200.0,0.030704587697982788,0.04180374264717102,4.533284358901289,0.01917999708044786,0.019166666666666665,0.011666666666666667
42,sample_i_calib,gradient_boosted_trees,1200.0,0.12297035948045704,0.0,3.854715761382794,0.26435342733053535,0.03333333333333333,0.021666666666666667
42,sample_i_calib,mlp,1200.0,0.0206851069872932,0.3273504390186247,3.772560641795188,0.4251493181550486,0.035,0.018333333333333333
42,sample_i_calib,ridge,1200.0,0.24262742617316044,0.9023562962854264,4.398916127438283,0.13803679740772437,0.045,0.0175
42,sample_i_calib,traditional_cfd_template_curvature,1200.0,0.2908177435049196,0.6301598057701115,4.550484344339393,0.06570397128716454,0.03916666666666667,0.015
50,sample_i_analysis,1d_cnn,1200.0,-0.007085777819156647,0.03116628706455231,6.355298051523262,0.009393076752256183,0.019166666666666665,0.018333333333333333
50,sample_i_analysis,amplitude_warped_derivative_cnn_new,1200.0,0.025428615510463715,0.03293047219514846,6.366398982925416,0.007529061307685588,0.019166666666666665,0.018333333333333333
50,sample_i_analysis,compact_waveform_transformer,1200.0,0.033122867345809937,0.03704867362976074,6.360880036050047,0.008367439078497038,0.019166666666666665,0.018333333333333333
50,sample_i_analysis,gradient_boosted_trees,1200.0,0.12297035948045704,0.0,6.017058446939344,0.13667928806406499,0.02666666666666667,0.024166666666666666
50,sample_i_analysis,mlp,1200.0,0.03696474451966695,0.2756846740598977,5.726631627947658,0.17504360927763898,0.03,0.023333333333333334
50,sample_i_analysis,ridge,1200.0,0.34082037418894073,0.8478560882317622,6.100738065093048,0.0809200808424176,0.03166666666666667,0.02
50,sample_i_analysis,traditional_cfd_template_curvature,1200.0,0.30858056415942703,0.47014990242578303,6.019592909220786,0.0854094297030108,0.0275,0.019166666666666665
57,sample_i_analysis,1d_cnn,1200.0,0.01156141608953476,0.03789209336042404,7.407497806579846,0.010903371823631111,0.02,0.0175
57,sample_i_analysis,amplitude_warped_derivative_cnn_new,1200.0,-0.006551474332809448,0.042688838839530945,7.420597047015402,0.009091199614750812,0.02,0.0175
57,sample_i_analysis,compact_waveform_transformer,1200.0,0.029663801193237305,0.04942636251449585,7.423907511740003,0.008784758590823985,0.02,0.0175
57,sample_i_analysis,gradient_boosted_trees,1200.0,0.12297035948045704,0.0030921887599310582,6.519691076876447,0.21286835721330843,0.035833333333333335,0.023333333333333334
57,sample_i_analysis,mlp,1200.0,0.02005810417124626,0.33693850885112075,6.124542967212357,0.2613866244239713,0.03833333333333333,0.02666666666666667
57,sample_i_analysis,ridge,1200.0,0.21801844478606197,0.9223990027396062,7.172828139870132,0.08279015995769766,0.05333333333333334,0.028333333333333332
57,sample_i_analysis,traditional_cfd_template_curvature,1200.0,0.28093273064518326,0.6436379465227545,7.26950565887388,0.05704478257645693,0.041666666666666664,0.025
58,sample_ii_analysis,1d_cnn,1200.0,0.014137305319309235,0.02337152659893036,4.426716807977181,0.018286230335496534,0.015,0.0125
58,sample_ii_analysis,amplitude_warped_derivative_cnn_new,1200.0,-0.0025435537099838257,0.0334976401925087,4.4260566065995155,0.018478086243032064,0.015,0.0125
58,sample_ii_analysis,compact_waveform_transformer,1200.0,0.019662529230117798,0.04042910933494567,4.403176206275048,0.024429117182339893,0.015833333333333335,0.0125
58,sample_ii_analysis,gradient_boosted_trees,1200.0,0.12297035948045704,0.005068844061361467,3.9310877474821595,0.32387479744534936,0.034166666666666665,0.0175
58,sample_ii_analysis,mlp,1200.0,0.03050605550682986,0.2637675615423326,3.589629573209649,0.3371173947790415,0.0375,0.018333333333333333
58,sample_ii_analysis,ridge,1200.0,0.09810900435586561,0.7717659435683348,4.317593437223863,0.12410535635521387,0.03833333333333333,0.015
58,sample_ii_analysis,traditional_cfd_template_curvature,1200.0,0.04083867063298252,0.4626893680956789,4.18276676449605,0.13457751435094772,0.034166666666666665,0.0175
60,sample_ii_analysis,1d_cnn,1200.0,0.016504250466823578,0.7322110269820591,5.687700823783017,0.049931965823737476,0.019166666666666665,0.015
60,sample_ii_analysis,amplitude_warped_derivative_cnn_new,1200.0,-0.018062472343444824,0.7374278079527432,5.704252989061797,0.04714333364860053,0.019166666666666665,0.015
60,sample_ii_analysis,compact_waveform_transformer,1200.0,0.023396074771881104,0.7323071284423157,5.7051430921776785,0.047131361785333455,0.019166666666666665,0.015
60,sample_ii_analysis,gradient_boosted_trees,1200.0,0.12297035948045704,0.9533234909868151,5.631082916560465,0.33543424735192334,0.04833333333333333,0.02666666666666667
60,sample_ii_analysis,mlp,1200.0,-0.04253160804464462,1.2808403320575512,6.5594482223595705,0.3637648805747203,0.05333333333333334,0.029166666666666667
60,sample_ii_analysis,ridge,1200.0,-0.17900964002123704,1.5485233547687554,5.473376285969153,0.17672534480711646,0.06916666666666667,0.023333333333333334
60,sample_ii_analysis,traditional_cfd_template_curvature,1200.0,-0.12373965935712478,1.5302031326328434,5.897657653007781,0.0720141288890727,0.06,0.019166666666666665
62,sample_ii_analysis,1d_cnn,1200.0,0.0172441229224205,0.6460023537903696,6.588239190702229,0.04327273998431556,0.030833333333333334,0.020833333333333332
62,sample_ii_analysis,amplitude_warped_derivative_cnn_new,1200.0,-0.010921433568000793,0.612720609931168,6.615268788499703,0.039141296543477276,0.030833333333333334,0.020833333333333332
62,sample_ii_analysis,compact_waveform_transformer,1200.0,0.028347313404083252,0.6400166155767029,6.600502215080623,0.04188839314062417,0.0325,0.020833333333333332
62,sample_ii_analysis,gradient_boosted_trees,1200.0,0.12297035948045704,1.000386061210962,5.579672156417471,0.3573141595482448,0.058333333333333334,0.035
62,sample_ii_analysis,mlp,1200.0,-0.0483730214401808,1.1729682224583138,5.609337285503933,0.3609025904659039,0.058333333333333334,0.03333333333333333
62,sample_ii_analysis,ridge,1200.0,-0.13231678098939112,1.4861281367478112,6.235403852222741,0.18143176369394284,0.075,0.03666666666666667
62,sample_ii_analysis,traditional_cfd_template_curvature,1200.0,-0.03598167395806659,1.516584509766153,6.631271244557723,0.08901987936195697,0.065,0.028333333333333332
64,sample_ii_calib,1d_cnn,1200.0,0.015912845730781555,0.10500144705176351,4.76812250061692,0.03548784869944093,0.04,0.025833333333333333
64,sample_ii_calib,amplitude_warped_derivative_cnn_new,1200.0,-0.01360289752483368,0.11045531556223309,4.771134533734056,0.03456621635376027,0.04,0.025833333333333333
64,sample_ii_calib,compact_waveform_transformer,1200.0,0.020668834447860718,0.09637103545409836,4.766371003800242,0.036355969944711235,0.041666666666666664,0.025833333333333333
64,sample_ii_calib,gradient_boosted_trees,1200.0,0.12297035948045704,0.16880811799329226,4.7325129585247,0.23123154457954234,0.06333333333333334,0.034166666666666665
64,sample_ii_calib,mlp,1200.0,0.008499492830505051,0.454514589464147,4.966269546766024,0.24482473961471046,0.058333333333333334,0.0375
64,sample_ii_calib,ridge,1200.0,-0.10183540359960722,1.0344020638652205,4.512822203821321,0.1899535393340693,0.07333333333333333,0.028333333333333332
64,sample_ii_calib,traditional_cfd_template_curvature,1200.0,0.10506050095493571,0.8699193380758445,4.469851290174698,0.16202196630906143,0.06833333333333333,0.025833333333333333
65,sample_ii_analysis,1d_cnn,1200.0,0.017590276896953583,0.0373999428749084,5.925411820793829,0.014756656126403525,0.02,0.014166666666666666
65,sample_ii_analysis,amplitude_warped_derivative_cnn_new,1200.0,-0.01743657886981964,0.04420896738767624,5.934698441246198,0.013382886731079803,0.02,0.014166666666666666
65,sample_ii_analysis,compact_waveform_transformer,1200.0,0.020238429307937622,0.05334284067153929,5.947973273798271,0.01126513011340824,0.02,0.014166666666666666
65,sample_ii_analysis,gradient_boosted_trees,1200.0,0.12297035948045704,0.03527417611028907,5.1545615448642925,0.235595857386658,0.04083333333333333,0.02
65,sample_ii_analysis,mlp,1200.0,-0.005700227917205758,0.2982774168040541,5.564344639702996,0.19718928070951222,0.0475,0.028333333333333332
65,sample_ii_analysis,ridge,1200.0,-0.001928371764407008,0.8339896915027682,5.564992057722136,0.14012526738801429,0.06333333333333334,0.0225
65,sample_ii_analysis,traditional_cfd_template_curvature,1200.0,0.1586009588400218,0.692681799571867,5.843242139558987,0.08051602167361573,0.055,0.018333333333333333
