group,run,events_total,selected_pulses
sample_i_analysis,44,4294,2038
sample_i_analysis,45,48181,24333
sample_i_analysis,46,1441,687
sample_i_analysis,47,10970,5276
sample_i_analysis,48,31713,14000
sample_i_analysis,49,32354,14815
sample_i_analysis,50,44804,35217
sample_i_analysis,51,20569,14740
sample_i_analysis,52,10005,7152
sample_i_analysis,53,39612,32200
sample_i_analysis,54,37413,30440
sample_i_analysis,55,24416,17387
sample_i_analysis,56,51823,40148
sample_i_analysis,57,31284,13833
sample_i_calib,31,39990,27871
sample_i_calib,32,41921,28240
sample_i_calib,33,57173,48737
sample_i_calib,34,39765,34118
sample_i_calib,35,27786,11667
sample_i_calib,36,21764,10391
sample_i_calib,37,50513,24537
sample_i_calib,39,30321,14218
sample_i_calib,40,32613,14708
sample_i_calib,41,33997,16146
sample_i_calib,42,33972,18112
sample_ii_analysis,58,34141,16781
sample_ii_analysis,59,42303,21377
sample_ii_analysis,60,36074,17029
sample_ii_analysis,61,36535,18965
sample_ii_analysis,62,37584,19089
sample_ii_analysis,63,37030,18817
sample_ii_analysis,65,38424,13038
sample_ii_calib,64,35943,14630
