method,tail_bin,censor_bin,n_doublets,energy_fractional_bias,energy_fractional_sigma68,median_abs_residual,pileup_miss_rate
1d_cnn,late_tail_high,light_clip_1_2,1,0.24442373034120593,0.0,0.24442373034120593,0.0
analytic_clipped_template_sideband_traditional,late_tail_high,light_clip_1_2,1,-1.0,0.0,1.0,1.0
gradient_boosted_trees,late_tail_high,light_clip_1_2,1,0.12985012517756295,0.0,0.12985012517756295,0.0
mlp,late_tail_high,light_clip_1_2,1,0.1661513465344033,0.0,0.1661513465344033,0.0
ridge,late_tail_high,light_clip_1_2,1,0.16027175963095747,0.0,0.16027175963095747,0.0
saturation_residual_fusion_new,late_tail_high,light_clip_1_2,1,0.13384956171111903,0.0,0.13384956171111903,0.0
tiny_sequence_transformer,late_tail_high,light_clip_1_2,1,0.1848510305608814,0.0,0.1848510305608814,0.0
1d_cnn,late_tail_low,light_clip_1_2,3,-0.03287690924961683,0.029377696470437226,0.0546236925060897,0.0
analytic_clipped_template_sideband_traditional,late_tail_low,light_clip_1_2,3,-0.279330155078803,0.37081493673152865,0.09063216685743732,0.3333333333333333
gradient_boosted_trees,late_tail_low,light_clip_1_2,3,-0.013613657087143358,0.05396822577176377,0.0551669268944744,0.0
mlp,late_tail_low,light_clip_1_2,3,-0.08836942472218874,0.041818412950147085,0.061419273672827165,0.0
ridge,late_tail_low,light_clip_1_2,3,-0.04672581566749071,0.04658018371966035,0.007123582961278392,0.0
saturation_residual_fusion_new,late_tail_low,light_clip_1_2,3,-0.02561882163205681,0.0413602790748471,0.054034197802564354,0.0
tiny_sequence_transformer,late_tail_low,light_clip_1_2,3,-0.06475908396472667,0.0383905052827442,0.0707644099160649,0.0
1d_cnn,late_tail_high,moderate_clip_3_5,2,0.012664872795189849,0.015561608303410905,0.022884718093251332,0.0
analytic_clipped_template_sideband_traditional,late_tail_high,moderate_clip_3_5,2,-0.4309363598620103,0.38696327529383295,0.5690636401379897,1.0
gradient_boosted_trees,late_tail_high,moderate_clip_3_5,2,-0.029365542803297687,0.009106578395642502,0.029365542803297687,0.0
mlp,late_tail_high,moderate_clip_3_5,2,-0.12172038112607439,0.01078095987863193,0.12172038112607439,0.0
ridge,late_tail_high,moderate_clip_3_5,2,-0.056580686880331785,0.012536671545971514,0.056580686880331785,0.0
saturation_residual_fusion_new,late_tail_high,moderate_clip_3_5,2,-0.023925359521572157,0.008919073103436145,0.023925359521572157,0.0
tiny_sequence_transformer,late_tail_high,moderate_clip_3_5,2,-0.034930568712823976,0.01943635686447572,0.034930568712823976,0.5
1d_cnn,late_tail_low,moderate_clip_3_5,3,-0.030775051533894437,0.011734126957439334,0.02378077774741481,0.0
analytic_clipped_template_sideband_traditional,late_tail_low,moderate_clip_3_5,3,0.20476788473960025,0.0563850838993875,0.17704392170987576,0.0
gradient_boosted_trees,late_tail_low,moderate_clip_3_5,3,-0.04495896777822846,0.048319270232292925,0.0549890952873433,0.0
mlp,late_tail_low,moderate_clip_3_5,3,-0.04145104678315559,0.06751992755197621,0.09334874278166044,0.0
ridge,late_tail_low,moderate_clip_3_5,3,-0.042173081308042204,0.009915327081674488,0.04978851278828478,0.0
saturation_residual_fusion_new,late_tail_low,moderate_clip_3_5,3,-0.0024357059504960623,0.006572642881243792,0.005788321550926555,0.0
tiny_sequence_transformer,late_tail_low,moderate_clip_3_5,3,-0.14419252469936017,0.008793785599906345,0.15237070207147294,0.0
1d_cnn,late_tail_high,uncensored,170,0.06720079679994062,0.10383394255098215,0.08319524548169441,0.3352941176470588
analytic_clipped_template_sideband_traditional,late_tail_high,uncensored,170,-0.5656585387361793,0.5661325844699236,1.0,0.6882352941176471
gradient_boosted_trees,late_tail_high,uncensored,170,0.007861934186629166,0.07150664717726618,0.0463262213687046,0.4235294117647059
mlp,late_tail_high,uncensored,170,0.03086740570827369,0.16583075709953593,0.1122205960409787,0.43529411764705883
ridge,late_tail_high,uncensored,170,0.013378014188457731,0.06927740704817441,0.042690474541898865,0.36470588235294116
saturation_residual_fusion_new,late_tail_high,uncensored,170,0.015426398357248811,0.06615617163121634,0.04867860552573855,0.38235294117647056
tiny_sequence_transformer,late_tail_high,uncensored,170,0.0011047763936692019,0.09294364068540112,0.06055088984714947,0.7176470588235294
1d_cnn,late_tail_low,uncensored,211,0.04816608859650002,0.11325493316784496,0.07686775599294232,0.22274881516587677
analytic_clipped_template_sideband_traditional,late_tail_low,uncensored,211,-0.3416294367856689,0.555175448107804,0.1523996305033156,0.5071090047393365
gradient_boosted_trees,late_tail_low,uncensored,211,0.01681019202044354,0.08439677391709213,0.05827047096507152,0.3127962085308057
mlp,late_tail_low,uncensored,211,0.027575424915447493,0.19148826919177597,0.13355255815302977,0.36018957345971564
ridge,late_tail_low,uncensored,211,0.0015991745553005116,0.07507022722250584,0.052837393502908975,0.27014218009478674
saturation_residual_fusion_new,late_tail_low,uncensored,211,0.015804902427851777,0.0841844590359119,0.05912565325432627,0.2938388625592417
tiny_sequence_transformer,late_tail_low,uncensored,211,-0.02780558205614586,0.11671167402730045,0.07560363058658211,0.5165876777251185
