event_id,method,source_run,stave,pid_proxy_class,pid_true,pid_score,pid_pred,true_energy_adc,pred_energy_adc
heldout:58:0,analytic_clipped_template_sideband_traditional,58,B8,other,0,8.80731868659425,True,5401.25,6681.9760687757425
heldout:58:1,analytic_clipped_template_sideband_traditional,58,B2,other,0,0.0,False,6983.0,0.0
heldout:58:2,analytic_clipped_template_sideband_traditional,58,B4,other,0,0.0,False,5722.0,0.0
heldout:58:3,analytic_clipped_template_sideband_traditional,58,B6,other,0,8.785106939502414,True,6211.0,6535.171918424367
heldout:58:4,analytic_clipped_template_sideband_traditional,58,B4,other,0,8.586203006598085,True,5109.75,5356.233627705938
heldout:58:5,analytic_clipped_template_sideband_traditional,58,B4,other,0,8.815298120607796,True,5756.875,6735.5157594666525
heldout:58:6,analytic_clipped_template_sideband_traditional,58,B2,inner_high_charge,1,9.405969692873617,True,11264.375,12159.760477996948
heldout:58:7,analytic_clipped_template_sideband_traditional,58,B6,other,0,8.904188437544997,True,7078.75,7361.7474547291
heldout:58:8,analytic_clipped_template_sideband_traditional,58,B8,other,0,9.027821265236755,True,6816.75,8330.687246385274
heldout:58:9,analytic_clipped_template_sideband_traditional,58,B4,other,0,0.0,False,5900.25,0.0
heldout:58:10,analytic_clipped_template_sideband_traditional,58,B2,other,0,9.119762650563835,True,8914.0,9133.033401444825
heldout:58:11,analytic_clipped_template_sideband_traditional,58,B4,other,0,0.0,False,5631.5,0.0
heldout:58:12,analytic_clipped_template_sideband_traditional,58,B2,other,0,0.075,False,6012.125,0.0
heldout:58:13,analytic_clipped_template_sideband_traditional,58,B8,other,0,8.660462099751909,True,5864.0,5769.200454723036
heldout:58:14,analytic_clipped_template_sideband_traditional,58,B6,other,0,8.356431982896677,True,4451.25,4256.476883369746
heldout:58:15,analytic_clipped_template_sideband_traditional,58,B4,other,0,8.604428342981008,True,5958.75,5454.766179715663
heldout:58:16,analytic_clipped_template_sideband_traditional,58,B4,other,0,0.0,False,6908.25,0.0
heldout:58:17,analytic_clipped_template_sideband_traditional,58,B4,other,0,8.123132326209923,False,2807.25,3126.947526816023
heldout:58:18,analytic_clipped_template_sideband_traditional,58,B4,other,0,0.075,False,5976.0,0.0
heldout:58:19,analytic_clipped_template_sideband_traditional,58,B4,other,0,0.0,False,7741.0,0.0
heldout:58:20,analytic_clipped_template_sideband_traditional,58,B4,inner_high_charge,1,8.96589000245086,True,9197.25,7830.348547554566
heldout:58:21,analytic_clipped_template_sideband_traditional,58,B4,other,0,0.075,False,4621.75,0.0
heldout:58:22,analytic_clipped_template_sideband_traditional,58,B4,other,0,9.059669047053076,True,8593.375,8600.30355616282
heldout:58:23,analytic_clipped_template_sideband_traditional,58,B6,other,0,0.075,False,5716.375,0.0
heldout:58:24,analytic_clipped_template_sideband_traditional,58,B4,other,0,0.075,False,4581.25,0.0
heldout:58:25,analytic_clipped_template_sideband_traditional,58,B2,inner_high_charge,1,9.848215676108218,True,15232.0,17928.733015484828
heldout:58:26,analytic_clipped_template_sideband_traditional,58,B4,other,0,0.0,False,4801.125,0.0
heldout:58:27,analytic_clipped_template_sideband_traditional,58,B8,other,0,9.037589805993713,True,5633.0,7804.546158717811
heldout:58:28,analytic_clipped_template_sideband_traditional,58,B4,other,0,0.075,False,4706.625,0.0
