heldout_run,method,family,n_pulses,pred_sigma_median_ns,pred_sigma_p16_ns,pred_sigma_p84_ns,residual_sigma68_ns,pull_width68_empirical,pull_median,nominal_pull_width
58,mlp_full,ml,219,1.8487884998321533,1.334254837036133,3.6892100048065184,1.110042839791274,0.4686760466163879,-0.02886000860631435,1.0
58,cnn1d_full,ml,219,1.988977313041687,1.503965916633606,4.184643669128418,1.0983106639075224,0.45574825150674736,-0.07669428033064905,1.0
58,early_late_gated_full,ml,219,1.9159936904907227,1.396395959854126,3.485627784729004,1.2109592609606354,0.5051226802337722,-0.1408490330012539,1.0
58,mlp_no_samples_0_3,ml,219,1.7002042531967163,1.443179292678833,5.018995971679688,1.3898315233472311,0.5402949194409665,-0.26196655958494647,1.0
58,cnn1d_no_samples_0_3,ml,219,1.9189826250076294,1.4990209531784058,3.5434717082977296,1.006870025232762,0.4693123328002499,-0.06192525305042527,1.0
58,early_late_gated_no_samples_0_3,ml,219,1.947009563446045,1.3992438173294068,4.523710041046143,1.0461320796966775,0.4561760851716406,-0.09984095680313351,1.0
58,mlp_only_samples_0_3,ml,219,1.8122483491897583,1.3912642288208008,2.9571094512939453,0.9415124996508161,0.4796922691297798,0.015407640440153822,1.0
58,cnn1d_only_samples_0_3,ml,219,2.004155397415161,1.5139403343200684,3.353173217773438,1.023216259031335,0.49593769408184674,-0.025981525977969443,1.0
58,early_late_gated_only_samples_0_3,ml,219,1.872595191001892,1.4898794460296632,2.9990702629089356,0.9711507792553,0.49539048695518695,-0.09641106782414842,1.0
59,mlp_full,ml,2289,1.3691319227218628,1.2983422183990478,1.5878909635543823,0.9513223194627838,0.6410389453525294,0.08988230295914679,1.0
59,cnn1d_full,ml,2289,1.531437635421753,1.3759035968780517,1.8181492233276364,1.0096544665590819,0.6205701363949752,0.03754895654946621,1.0
59,early_late_gated_full,ml,2289,1.3474615812301636,1.2600681924819945,1.6546034145355222,0.9662572438961663,0.6806797443764016,0.078346768361671,1.0
59,mlp_no_samples_0_3,ml,2289,1.4375513792037964,1.3531590795516968,1.6395403861999511,0.9601996939591693,0.6259305487279405,0.017939403809928332,1.0
59,cnn1d_no_samples_0_3,ml,2289,1.6507810354232788,1.4347283220291138,1.8864905738830566,1.0764468192242855,0.6227242058044116,-0.007083860595080798,1.0
59,early_late_gated_no_samples_0_3,ml,2289,1.3819080591201782,1.283555917739868,1.5971689653396606,0.976729914179123,0.6592225013644324,0.04356677191461844,1.0
59,mlp_only_samples_0_3,ml,2289,1.4607570171356201,1.3111888122558595,1.8567157125473022,0.9729818402274768,0.6223806349588352,0.06294814897076226,1.0
59,cnn1d_only_samples_0_3,ml,2289,1.555159091949463,1.3596085786819458,1.8613777542114256,1.015651300698226,0.6256379801247749,0.05652035025007365,1.0
59,early_late_gated_only_samples_0_3,ml,2289,1.5927308797836304,1.4076515340805054,1.828916301727295,1.0659280428005158,0.6377383213853974,0.032119432770751036,1.0
60,mlp_full,ml,2424,1.4595260620117188,1.3205687284469605,1.8995149087905883,1.0736439945710559,0.6550416373749222,0.08315996000509078,1.0
60,cnn1d_full,ml,2424,1.7569688558578491,1.4947569799423217,2.198187789916992,1.054078339727592,0.5651363186063946,0.00929639174595669,1.0
60,early_late_gated_full,ml,2424,1.5718871355056763,1.2994241189956666,1.9018934106826781,1.0710013758679287,0.6405666807094734,-0.002250204923068766,1.0
60,mlp_no_samples_0_3,ml,2424,1.5722737908363342,1.3483199548721314,2.1225195884704586,0.9857452845636357,0.5544027171691841,0.03444327385174277,1.0
60,cnn1d_no_samples_0_3,ml,2424,1.7859147191047668,1.5211863040924072,2.1524477767944337,1.1208762446835632,0.5825925884152059,0.04830928011947685,1.0
60,early_late_gated_no_samples_0_3,ml,2424,1.574933111667633,1.3983328247070312,1.8850835514068602,1.0968847026865063,0.6364927685916562,0.025318095735345957,1.0
60,mlp_only_samples_0_3,ml,2424,1.707247018814087,1.4060193586349488,2.262138843536377,1.1174820928678169,0.6121136904984643,0.020113321804855977,1.0
60,cnn1d_only_samples_0_3,ml,2424,1.7696687579154968,1.5178188180923462,2.1739244556427,1.0588787107270263,0.5678980334648835,0.03564240537733871,1.0
