run,event_id,pair,method,family,residual_ns
58,58:391631:10103:2692,B4-B6,leading_edge_500adc,traditional,-3.7968782499788176
58,58:391631:10103:2692,B4-B8,leading_edge_500adc,traditional,-2.3273233343589865
58,58:391631:10103:2692,B6-B8,leading_edge_500adc,traditional,1.469554915619831
58,58:391841:10300:2900,B4-B6,leading_edge_500adc,traditional,-5.187538292451094
58,58:391841:10300:2900,B4-B8,leading_edge_500adc,traditional,-2.6438204496968893
58,58:391841:10300:2900,B6-B8,leading_edge_500adc,traditional,2.543717842754205
58,58:392066:10514:3123,B4-B6,leading_edge_500adc,traditional,-3.536687710951483
58,58:392066:10514:3123,B4-B8,leading_edge_500adc,traditional,3.4261916752032064
58,58:392066:10514:3123,B6-B8,leading_edge_500adc,traditional,6.96287938615469
58,58:392204:10642:3261,B4-B6,leading_edge_500adc,traditional,-5.635100714489958
58,58:392204:10642:3261,B4-B8,leading_edge_500adc,traditional,-4.67193130285235
58,58:392204:10642:3261,B6-B8,leading_edge_500adc,traditional,0.9631694116376082
58,58:392294:10722:3348,B4-B6,leading_edge_500adc,traditional,-6.636726648880675
58,58:392294:10722:3348,B4-B8,leading_edge_500adc,traditional,0.8315859451154566
58,58:392294:10722:3348,B6-B8,leading_edge_500adc,traditional,7.4683125939961315
58,58:392636:11042:3687,B4-B6,leading_edge_500adc,traditional,-8.013786157317334
58,58:392636:11042:3687,B4-B8,leading_edge_500adc,traditional,-5.359938506184996
58,58:392636:11042:3687,B6-B8,leading_edge_500adc,traditional,2.653847651132338
58,58:393248:11615:4294,B4-B6,leading_edge_500adc,traditional,-3.99582285088826
58,58:393248:11615:4294,B4-B8,leading_edge_500adc,traditional,-1.0198217847333382
58,58:393248:11615:4294,B6-B8,leading_edge_500adc,traditional,2.9760010661549217
58,58:394656:12923:5698,B4-B6,leading_edge_500adc,traditional,-6.549300068267854
58,58:394656:12923:5698,B4-B8,leading_edge_500adc,traditional,-3.800563802933034
58,58:394656:12923:5698,B6-B8,leading_edge_500adc,traditional,2.74873626533482
58,58:394684:12945:5726,B4-B6,leading_edge_500adc,traditional,-2.554260844502089
58,58:394684:12945:5726,B4-B8,leading_edge_500adc,traditional,-0.24350736490784541
58,58:394684:12945:5726,B6-B8,leading_edge_500adc,traditional,2.3107534795942435
58,58:394786:13037:5828,B4-B6,leading_edge_500adc,traditional,-2.6488889394037756
58,58:394786:13037:5828,B4-B8,leading_edge_500adc,traditional,-6.377112405345457
58,58:394786:13037:5828,B6-B8,leading_edge_500adc,traditional,-3.7282234659416815
58,58:394965:13201:6007,B4-B6,leading_edge_500adc,traditional,-7.92506718208876
58,58:394965:13201:6007,B4-B8,leading_edge_500adc,traditional,1.1375064881687393
58,58:394965:13201:6007,B6-B8,leading_edge_500adc,traditional,9.0625736702575
58,58:395467:13673:6509,B4-B6,leading_edge_500adc,traditional,-6.522571428571432
58,58:395467:13673:6509,B4-B8,leading_edge_500adc,traditional,-0.7362356289129153
58,58:395467:13673:6509,B6-B8,leading_edge_500adc,traditional,5.7863357996585165
58,58:396978:15063:8018,B4-B6,leading_edge_500adc,traditional,-5.292726396620303
58,58:396978:15063:8018,B4-B8,leading_edge_500adc,traditional,-8.247766238592014
58,58:396978:15063:8018,B6-B8,leading_edge_500adc,traditional,-2.955039841971711
58,58:398418:42:9453,B4-B6,leading_edge_500adc,traditional,-1.969059630426372
58,58:398418:42:9453,B4-B8,leading_edge_500adc,traditional,0.33733369994500606
58,58:398418:42:9453,B6-B8,leading_edge_500adc,traditional,2.306393330371378
58,58:398580:196:9615,B4-B6,leading_edge_500adc,traditional,-7.248812237636912
58,58:398580:196:9615,B4-B8,leading_edge_500adc,traditional,-6.224548688684749
58,58:398580:196:9615,B6-B8,leading_edge_500adc,traditional,1.0242635489521632
58,58:399270:859:10304,B4-B6,leading_edge_500adc,traditional,-3.937627480520135
58,58:399270:859:10304,B4-B8,leading_edge_500adc,traditional,-10.051638665128678
58,58:399270:859:10304,B6-B8,leading_edge_500adc,traditional,-6.114011184608543
58,58:399602:1163:10635,B4-B6,leading_edge_500adc,traditional,-5.834029566577854
58,58:399602:1163:10635,B4-B8,leading_edge_500adc,traditional,-3.398226643710899
58,58:399602:1163:10635,B6-B8,leading_edge_500adc,traditional,2.435802922866955
58,58:399989:1517:11021,B4-B6,leading_edge_500adc,traditional,-6.698290660850503
58,58:399989:1517:11021,B4-B8,leading_edge_500adc,traditional,0.725300808623146
58,58:399989:1517:11021,B6-B8,leading_edge_500adc,traditional,7.423591469473649
58,58:400792:2281:11821,B4-B6,leading_edge_500adc,traditional,-8.736619286561456
58,58:400792:2281:11821,B4-B8,leading_edge_500adc,traditional,-12.30902511979091
58,58:400792:2281:11821,B6-B8,leading_edge_500adc,traditional,-3.5724058332294533
58,58:401022:2495:12051,B4-B6,leading_edge_500adc,traditional,-5.350114997537499
58,58:401022:2495:12051,B4-B8,leading_edge_500adc,traditional,-2.217596253560476
58,58:401022:2495:12051,B6-B8,leading_edge_500adc,traditional,3.1325187439770232
58,58:401083:2548:12110,B4-B6,leading_edge_500adc,traditional,-5.8678536134532635
58,58:401083:2548:12110,B4-B8,leading_edge_500adc,traditional,-12.674226916188005
58,58:401083:2548:12110,B6-B8,leading_edge_500adc,traditional,-6.806373302734741
58,58:401283:2737:12310,B4-B6,leading_edge_500adc,traditional,-3.6440667872943067
58,58:401283:2737:12310,B4-B8,leading_edge_500adc,traditional,-7.978699443758771
