method,family,n_heldout_runs,n_pair_residuals,sigma68_ns,ci_low,ci_high,delta_vs_s02b_template_timewalk_ns
s02b_global_template_timewalk,traditional,7,11460,1.6877998733857373,1.499462849857257,1.9776744994742215,0.0
template_phase,traditional,7,11460,2.7364977403872874,2.6808109129566127,2.964722528524863,1.04869786700155
cfd20,traditional,7,11442,3.148394817330977,3.0263643518972496,3.2732449937605237,1.4605949439452395
cfd10,traditional,7,11418,3.2240201863616815,3.1262364922409955,3.316130173003368,1.5362203129759442
cfd30,traditional,7,11448,3.247221160515817,3.092121612399728,3.3869396917212486,1.5594212871300799
optimal_filter_4_12,traditional,7,11460,3.367108636654955,3.2715353993464555,3.4789379063637056,1.6793087632692176
cfd40,traditional,7,11448,3.4086158149966215,3.2418782180541705,3.53768354939199,1.7208159416108841
optimal_filter_1_9,traditional,7,11460,3.4140179936539603,3.3180430985872142,3.5420375210413493,1.726218120268223
optimal_filter_3_11,traditional,7,11460,3.4378252546537875,3.334305292845996,3.5435315761025135,1.7500253812680502
optimal_filter_2_10,traditional,7,11460,3.459946246459882,3.3576856158560187,3.579063219237073,1.7721463730741445
cfd50,traditional,7,11451,3.5980733467067125,3.437209152014474,3.746613549606375,1.9102734733209752
leading_edge_500adc,traditional,7,11448,4.166564777023639,3.8931884196563438,4.417033442173864,2.4787649036379023
