method,family,baseline,n_heldout_runs,n_pair_residuals,sigma68_ns,full_rms_ns,abs_residual_p95_ns,tail_frac_vs_traditional_p95,ci_low,ci_high,delta_vs_traditional_ns,delta_ci_low,delta_ci_high
hgb_full,ml,s02b_global_template_timewalk,7,11460,1.1628405889181714,2.149214285354082,2.7840933065422564,0.02225130890052356,1.1240600339113274,1.2104513805799981,-0.5249592844675659,-0.8269189565566175,-0.32127615336343784
hgb_no_samples_0_3,ml,s02b_global_template_timewalk,7,11460,1.1633236907505862,2.1403256963725408,2.7544849061318266,0.023036649214659685,1.127272694237803,1.2042991311512428,-0.5244761826351512,-0.8260520558462174,-0.3371453907442973
hgb_only_samples_0_3,ml,s02b_global_template_timewalk,7,11460,1.1804084115094393,2.1519164361014993,2.798140570514731,0.022425828970331588,1.1470149685869124,1.2308604998205075,-0.507391461876298,-0.7949291418321214,-0.30073112470898705
hgb_run_family_control,run_family_control,s02b_global_template_timewalk,7,11460,1.2001145870086993,2.150420253930536,2.7885870756999025,0.022600349040139616,1.1477063619591756,1.2571331018316843,-0.487685286377038,-0.796483922127087,-0.26867801268364067
mlp_no_samples_0_3,ml,s02b_global_template_timewalk,7,11460,1.2414192588425927,2.288282693796762,2.8653272770906764,0.02198952879581152,1.2033097282829917,1.2863178999334142,-0.4463806145431446,-0.7217520745491616,-0.2552254895622634
mlp_full,ml,s02b_global_template_timewalk,7,11460,1.3079160287042493,2.3312940354164193,2.9300276667392615,0.024607329842931937,1.2492703937259815,1.3878690691409163,-0.37988384468148806,-0.6781263018831089,-0.143037348844348
ridge_full,ml,s02b_global_template_timewalk,7,11460,1.3404214434215604,2.3299919397987194,2.9938942603332723,0.02582897033158813,1.2950515230065032,1.4051568639856151,-0.3473784299641769,-0.6692645230104158,-0.1217167587993379
ridge_no_samples_0_3,ml,s02b_global_template_timewalk,7,11460,1.3454184211063829,2.326258294144726,2.995229161491281,0.02582897033158813,1.293966234376827,1.4045644545571925,-0.34238145227935446,-0.6594740046499857,-0.11577410603420729
ridge_run_family_control,run_family_control,s02b_global_template_timewalk,7,11460,1.361963227863099,2.3537634115281443,3.108555279557874,0.02844677137870855,1.3132359550123036,1.4156501001588322,-0.32583664552263825,-0.651111003076469,-0.11914875278480154
ridge_only_samples_0_3,ml,s02b_global_template_timewalk,7,11460,1.3721500622265617,2.3575715183436343,3.0805571638369784,0.027835951134380452,1.3182924928429411,1.4274073690258762,-0.3156498111591757,-0.627423061860876,-0.10948851154154948
cnn1d_full,ml,s02b_global_template_timewalk,7,11460,1.396763663505633,2.363296013113074,3.133030062617797,0.028883071553228622,1.3299458951585728,1.4773588401713587,-0.29103620988010426,-0.6253821850879299,-0.05267828084969225
mlp_only_samples_0_3,ml,s02b_global_template_timewalk,7,11460,1.3971215115582925,2.3742357312047013,3.1614624536981664,0.030279232111692846,1.301828706349111,1.5249609635812489,-0.2906783618274449,-0.6194640445638155,-0.02401361342234922
early_late_gated_no_samples_0_3,ml,s02b_global_template_timewalk,7,11460,1.4003358249671662,2.351609004114279,3.142858625495982,0.02905759162303665,1.3017007355645953,1.4761658427093225,-0.2874640484185711,-0.6458200813101584,-0.06047058936298784
cnn1d_only_samples_0_3,ml,s02b_global_template_timewalk,7,11460,1.4003927174872572,2.3752773712239237,3.1298946530020206,0.03019197207678883,1.3389648139659336,1.4694536827409304,-0.2874071558984801,-0.6220230844265573,-0.055523471592335914
early_late_gated_full,ml,s02b_global_template_timewalk,7,11460,1.4136912046062207,2.376493738237432,3.1617786796234464,0.030977312390924956,1.3400526987345927,1.469739939631604,-0.2741086687795167,-0.572365696825832,-0.08558709020239293
cnn1d_no_samples_0_3,ml,s02b_global_template_timewalk,7,11460,1.4591870447860797,2.387136269054878,3.2185311281821387,0.032722513089005235,1.3670077072636728,1.5616882578568847,-0.2286128285996576,-0.5960220045331464,0.039620937617969955
early_late_gated_only_samples_0_3,ml,s02b_global_template_timewalk,7,11460,1.465057464631294,2.394699618942405,3.264349888130594,0.0343804537521815,1.3493108806210816,1.5589301510154439,-0.2227424087544434,-0.6320849251789771,0.01503914891624784
early_late_gated_full_shuffled,shuffled_target_control,s02b_global_template_timewalk,7,11460,1.6694860529211888,2.5757730193283277,3.587555536729752,0.04886561954624782,1.5070624312723289,1.9286231615386598,-0.018313820464548547,-0.07152004239513045,0.036997186406760696
cnn1d_no_samples_0_3_shuffled,shuffled_target_control,s02b_global_template_timewalk,7,11460,1.670028781616003,2.579310779305459,3.603928007603686,0.049738219895287955,1.5121156025625262,1.9370606720068062,-0.017771091769734237,-0.06559447942183178,0.03138171759227387
