method,roc_auc,roc_auc_ci_low,roc_auc_ci_high,average_precision,ap_ci_low,ap_ci_high,brier,brier_ci_low,brier_ci_high,notes
traditional fold-selected timing/template,0.6050080389928439,0.5975347643469351,0.6167739397868611,0.5703763603856922,0.5612878261116458,0.5825142959847995,0.23939149970160345,0.23704356590880474,0.24173114733995618,"Fold-local best signed timing, curvature, shape-summary, or matched-template score."
direct D_t/curvature cross-check,0.530666835165761,0.5185148417809666,0.5366764964624724,0.5799881512852372,0.5615119917227954,0.5979983025607,0.24431396278442216,0.24092148269598143,0.24802601670063518,Not label-defining here; target is injected two-pulse truth.
all-three shape-only RF,0.8228080694187168,0.8020081982450922,0.8458831752179543,0.8365355842876687,0.8144802913256779,0.8619327608981422,0.17796307991002555,0.1661274636828587,0.19079042909625094,"Best params={'n_estimators': 500, 'max_depth': 7, 'min_samples_leaf': 8}; excludes timing, run/event ids, injection params, amplitudes, and topology flags."
