n_estimators,max_depth,min_samples_leaf,roc_auc,average_precision,brier
500,7,8,0.9944261265504789,0.9130191005380617,0.012327141499126283
400,5,15,0.9907363793374157,0.8843471985974748,0.01404484418329383
300,4,20,0.9878316847228764,0.8658077904207935,0.015596892152147867
