method,residual_column,b2_signed_offdiag_cov_ns2,downstream_signed_offdiag_cov_ns2,signed_offdiag_cov_delta_ns2,b2_mean_abs_pair_cov_ns2,downstream_mean_abs_pair_cov_ns2,abs_pair_cov_delta_ns2,inferred_correlated_fraction,signed_delta_ci_low_ns2,signed_delta_ci_high_ns2
pair_median,resid_pair_median,1041.840074907271,15.41098393711453,1026.4290909701565,1041.840074907271,15.988215009997242,1025.8518598972737,0.9852079178865469,790.3307492052045,1294.262136172413
traditional_s05d_static_priors,resid_traditional_s05d_static_priors,155.18189119262325,50.09461268943243,105.08727850319082,155.18189119262325,50.795961367135384,104.38592982548786,0.6771877678223982,76.71914101652288,142.2140578777705
ridge,resid_ridge,135.9149241024824,54.88188228632376,81.03304181615863,135.9149241024824,55.60781736928014,80.30710673320225,0.5962041501421743,51.721461981650414,114.88925955963929
gradient_boosted_trees,resid_gradient_boosted_trees,279.52898588297114,12.671892034419797,266.85709384855136,279.52898588297114,13.117108952677006,266.4118769302941,0.9546669838392894,193.30676862826894,333.93612885166146
extra_trees_s05e_dynamic,resid_extra_trees_s05e_dynamic,118.09288177635531,15.952186176892976,102.14069559946233,118.79796189867517,16.177447173460102,102.62051472521506,0.8649183089027899,59.69876396706202,133.6650361096898
mlp,resid_mlp,913.8763342372308,16.400366714722217,897.4759675225087,913.8763342372308,16.607951629742715,897.2683826074881,0.9820540634434847,668.0185288660447,1122.601478234282
cnn_1d,resid_cnn_1d,1031.4855702291763,16.90388010332846,1014.5816901258479,1031.4855702291763,17.207402302704466,1014.2781679264718,0.9836121022036471,754.1146195011949,1318.4410096057336
support_gated_cnn_new,resid_support_gated_cnn_new,1030.1172331899843,15.615526128205378,1014.5017070617789,1030.1172331899843,16.04864960327632,1014.068583586708,0.9848410203954666,754.3446705269372,1277.8483152889007
waveform_only_mlp,resid_waveform_only_mlp,967.0067929997608,19.23584194605187,947.7709510537089,967.0067929997608,19.358796674040107,947.6479963257207,0.9801078523074485,713.129067540918,1182.8442488734438
pool_label_control,resid_pool_label_control,1041.840074907271,15.410983937114528,1026.4290909701565,1041.840074907271,15.98821500999724,1025.8518598972737,0.9852079178865469,717.8701046527392,1321.7792797100444
ml_shuffled_target_control,resid_ml_shuffled_target_control,1032.4056775834677,21.407021248136683,1010.998656335331,1032.4056775834677,21.509826061643682,1010.8958515218239,0.9792649132865642,744.541977064859,1284.4566287026394
