method,method_class,topology,n_pair_rows,n_runs,sigma68_ns,sigma68_ci_low_ns,sigma68_ci_high_ns,full_rms_ns,full_rms_ci_low_ns,full_rms_ci_high_ns,tail_fraction_abs_gt_5ns,mean_abs_pair_cov_ns2
pair_median,traditional,all,65484,21,2.090504189144874,1.807930226354416,9.95221506800473,20.680328523812705,16.121406561666056,30.83828365502528,0.14177509009834463,228.5346093364996
pair_median,traditional,B2_containing,43956,21,3.526279240861914,1.9057367120271755,18.01267905753751,24.825131582303122,19.2688079051777,37.96608232352372,0.20274820274820274,1041.840074907271
pair_median,traditional,downstream_only,21528,21,1.7393739588381734,1.696974964122473,1.7834842990736997,6.5376836511413465,5.460372930352009,7.630179507756689,0.01741917502787068,15.988215009997242
traditional_s05d_static_priors,traditional,all,65484,21,7.811125173139162,7.254059925875413,8.769818684049707,10.821907311185893,9.899170097605728,12.979322104316033,0.484530572353552,59.16184255393457
traditional_s05d_static_priors,traditional,B2_containing,43956,21,7.91002367025639,7.259653702864988,9.4515922698588,11.812901202431451,10.673672631230376,14.42942202748129,0.48707798707798705,155.18189119262325
traditional_s05d_static_priors,traditional,downstream_only,21528,21,7.421527447938758,6.749295197928194,8.372876271218788,8.452385526280477,7.830822670353023,9.18289561037116,0.47394091415830547,50.795961367135384
ridge,ml,all,65484,21,7.0717405077670215,6.492609110143369,8.518090071552313,10.49918604277762,9.549159846819691,12.58810121492791,0.44887300714678396,55.530653968520234
ridge,ml,B2_containing,43956,21,7.36964155088298,6.741971326839159,8.654049232844136,11.412333834818936,10.363927582402575,13.45839544950149,0.4677177177177177,135.9149241024824
ridge,ml,downstream_only,21528,21,6.421599009463135,5.693893898131166,7.735935998505066,8.341138527394348,7.686410876211345,9.526625873092081,0.4076086956521739,55.60781736928014
gradient_boosted_trees,ml,all,65484,21,3.9222052854330434,3.5785172551509974,9.34099239044276,12.349296931974235,10.453539522484094,16.255157719914607,0.19722374931280923,69.80499469194102
gradient_boosted_trees,ml,B2_containing,43956,21,4.367468249931983,3.5550198174903045,14.304084084412843,14.858111049021135,12.102517613761858,19.40368333882054,0.2471107471107471,279.52898588297114
gradient_boosted_trees,ml,downstream_only,21528,21,3.36468624871487,3.2137344554935425,3.473301442850534,5.549599823822943,4.711310686130978,6.773745739289864,0.13196767001114829,13.117108952677006
extra_trees_s05e_dynamic,ml,all,65484,21,2.1983933271176834,1.8761831374765316,3.464853763682234,8.85957894357421,7.794223639682641,11.035672542736954,0.16040559525991083,36.063303763691906
extra_trees_s05e_dynamic,ml,B2_containing,43956,21,2.61107003868222,2.072069341460807,5.5791925631958605,10.314763098199716,8.706804492237099,13.317323605629477,0.20936845936845938,118.79796189867517
extra_trees_s05e_dynamic,ml,downstream_only,21528,21,1.7005912014160078,1.5781437573615096,2.226274682774876,4.67745140619669,3.8085053833510196,6.090144468502234,0.059318097361575624,16.177447173460102
mlp,ml,all,65484,21,4.269163950157181,3.9005260007858453,7.668759938703412,19.185903688185398,15.108316995276084,27.77712847920755,0.24598375175615417,207.01596608771158
mlp,ml,B2_containing,43956,21,4.949625045190333,3.9324788733055493,19.428379743445614,23.187719492354784,16.9749185249587,30.732091298771305,0.28414778414778413,913.8763342372308
mlp,ml,downstream_only,21528,21,3.0307937358074115,2.722132543964575,3.247239561238672,6.733857304186332,5.768914116033051,7.699964681455612,0.08361204013377926,16.607951629742715
cnn_1d,ml,all,65484,21,5.79709612846942,4.4004091524969375,8.024996413114607,20.52317319041698,16.42183876053955,30.51988406444012,0.3707623236210372,233.69622862597447
cnn_1d,ml,B2_containing,43956,21,6.885457843952743,4.661457451064708,18.4173357822898,24.669709119145015,19.251187387098877,34.30008985208129,0.39908089908089905,1031.4855702291763
cnn_1d,ml,downstream_only,21528,21,4.3119292338036015,3.3131999277767807,5.090403669555298,7.536359686496945,6.5757372581620315,8.338237122686678,0.2525083612040134,17.207402302704466
support_gated_cnn_new,ml,all,65484,21,4.888263752427487,3.981238551750198,8.235713495369637,20.33004069825825,15.705923466474685,28.56324125787055,0.30725062610714066,228.15409861559377
support_gated_cnn_new,ml,B2_containing,43956,21,5.726682914355387,4.24239664307315,26.60886449049877,24.482521170755167,19.39802780087914,37.12960948983272,0.34286559286559287,1030.1172331899843
support_gated_cnn_new,ml,downstream_only,21528,21,3.4872432707261574,3.1183033883382034,3.818247938819756,7.117906726455443,6.191335463524501,8.282681731400391,0.15454292084726867,16.04864960327632
waveform_only_mlp,control,all,65484,21,3.8892144422055708,3.4726097630047494,6.8542708975121736,19.70316802210373,15.235656333211836,27.846297491554424,0.21831287031946736,221.30098501808544
waveform_only_mlp,control,B2_containing,43956,21,4.672488982987291,3.5340034488813132,21.479353124507984,23.76521826468425,18.01807541530609,32.52865804846548,0.26144326144326147,967.0067929997608
waveform_only_mlp,control,downstream_only,21528,21,3.0419685163148724,2.8897840925170155,3.318078400698834,6.749489883568035,5.935190022243419,7.863001141720275,0.1014957264957265,19.358796674040107
pool_label_control,control,all,65484,21,6.385608472031155,5.0687369747166855,11.03479871292317,19.571165040413167,15.508591053670322,28.400800388796245,0.4693818337303769,228.5346093364996
pool_label_control,control,B2_containing,43956,21,4.47718455393346,2.5325713208671186,23.735686821532866,23.127179543771167,18.32068283141979,33.4249151648013,0.30635180635180637,1041.840074907271
