method,n_supported_atoms,supported_fraction_sum,median_atom_sigma68_ns,max_abs_residual_envelope_endpoint_ns,median_b2_covariance_component_error_ns2,tail_fraction_median
cnn_1d,51,0.8446490745831042,4.540357152633722,134.28247640328365,32.1340196496429,0.2683923705722071
extra_trees_s05e_dynamic,51,0.8446490745831042,1.6384748147470838,89.4461707471777,20.997036334599144,0.0776566757493188
gradient_boosted_trees,51,0.8446490745831042,3.2005509195757766,94.7275452578168,27.86211544756265,0.138235294117647
ml_shuffled_target_control,51,0.8446490745831042,4.165597291374135,131.14560117783225,32.5697198213599,0.2262979683972912
mlp,51,0.8446490745831042,3.343274280471733,132.86331360500932,31.298783342532555,0.1278176229508196
pair_median,51,0.8446490745831042,1.664792178958227,140.80627881793774,32.046609251419824,0.0476434426229508
pool_label_control,51,0.8446490745831042,2.2195742060256363,122.96482845868978,32.046609251419824,0.0843195266272189
ridge,51,0.8446490745831042,6.42204608986152,82.02923445952844,25.64257626380721,0.3963414634146341
support_gated_cnn_new,51,0.8446490745831042,3.940468388347088,131.0289529771401,32.1676514372491,0.205651491365777
traditional_s05d_static_priors,51,0.8446490745831042,6.346842762681909,80.90473520859089,17.95428158051298,0.4026451138868479
waveform_only_mlp,51,0.8446490745831042,3.009073666632423,135.01002907484437,31.05954094633169,0.1
