method,residual_column,nominal_coverage,heldout_run,topology,n_train_rows,n_test_rows,interval_center_ns,half_width_ns,interval_width_ns,coverage,coverage_error,abs_coverage_error
pair_median,resid_pair_median,0.68,44,B2_containing,43832,124,-0.02832571361973275,2.329523015918047,4.659046031836094,0.3709677419354839,-0.3090322580645162,0.3090322580645162
pair_median,resid_pair_median,0.68,44,downstream_only,21483,45,-0.0130126294073846,1.7299627027343323,3.4599254054686646,0.5333333333333333,-0.14666666666666672,0.14666666666666672
pair_median,resid_pair_median,0.68,44,all,65315,169,-0.0215919674271489,2.0398992568479226,4.079798513695845,0.4260355029585799,-0.25396449704142016,0.25396449704142016
pair_median,resid_pair_median,0.68,45,B2_containing,42663,1293,-0.0358718155683277,2.284765477577816,4.569530955155632,0.47022428460943544,-0.2097757153905646,0.2097757153905646
pair_median,resid_pair_median,0.68,45,downstream_only,21034,494,-0.012433740073795649,1.7322973070994923,3.4645946141989845,0.7044534412955465,0.024453441295546496,0.024453441295546496
pair_median,resid_pair_median,0.68,45,all,63697,1787,-0.0271688166092687,2.0225363289412175,4.045072657882435,0.5355344152210408,-0.1444655847789592,0.1444655847789592
pair_median,resid_pair_median,0.68,46,B2_containing,43946,10,-0.026162234349357,2.3359852503150624,4.671970500630125,0.3,-0.38000000000000006,0.38000000000000006
pair_median,resid_pair_median,0.68,46,downstream_only,21525,3,-0.012149759105938,1.7303874370915606,3.4607748741831212,0.3333333333333333,-0.34666666666666673,0.34666666666666673
pair_median,resid_pair_median,0.68,46,all,65471,13,-0.0201931354703717,2.044012157608011,4.088024315216022,0.3076923076923077,-0.37230769230769234,0.37230769230769234
pair_median,resid_pair_median,0.68,47,B2_containing,43844,112,-0.0291847109840599,2.3315740004545633,4.663148000909127,0.4642857142857143,-0.21571428571428575,0.21571428571428575
pair_median,resid_pair_median,0.68,47,downstream_only,21484,44,-0.0128363948024556,1.7308818153325694,3.4617636306651387,0.7272727272727273,0.047272727272727244,0.047272727272727244
