b2_signed_cov_ns2,downstream_signed_cov_ns2,b2_minus_downstream_cov_ns2,b2_mean_abs_cov_ns2,downstream_mean_abs_cov_ns2,b2_minus_downstream_abs_cov_ns2,inferred_correlated_fraction,method,axis,stratum,n_b2_pair_rows,n_downstream_pair_rows,n_b2_runs,n_downstream_runs,control_mode,delta_ci_low_ns2,delta_ci_high_ns2,interval_excludes_zero
13.163711576288105,15.41098393711453,-2.2472723608264253,13.163711576288105,15.988215009997242,-2.824503433709138,-0.17071722878480977,pair_median,anomaly_taxon,baseline_contamination,3181,21525,20,20,fallback_same_runs_downstream,-17.65267390390078,22.085099524388106,False
27.542909903405604,1.8037911025777322,25.73911880082787,27.802273264525255,2.3021036977334455,25.500169566791808,0.9345097845905272,pair_median,anomaly_taxon,common_support,19947,13322,21,21,same_axis_stratum_downstream,11.89519679842876,31.262611687713814,True
1273.8039624186547,15.41098393711453,1258.3929784815402,1273.8039624186547,15.988215009997242,1257.8157474086574,0.987901604648919,pair_median,anomaly_taxon,saturation_boundary,11976,21528,21,21,fallback_same_runs_downstream,1090.2220657798907,1477.7798106421399,True
1021.034346530989,31.81991054590384,989.2144359850851,1021.034346530989,32.71899007857426,988.3153564524147,0.9688356119909056,pair_median,anomaly_taxon,timing_tail_high_q_shift,8846,8205,21,20,same_axis_stratum_downstream,799.6349344951699,1583.6231623869025,True
1352.0943883884602,31.81991054590384,1320.2744778425563,1352.0943883884602,32.71899007857426,1319.375398309886,0.9764662061915445,pair_median,timing_tail_atom,high,13623,8205,21,20,same_axis_stratum_downstream,1051.899932813852,1537.9572874322266,True
25.204320958078565,2.019994645723339,23.184326312355225,25.23433591017331,2.3053342369402703,22.92900167323304,0.919855224463967,pair_median,timing_tail_atom,low,14897,6931,21,21,same_axis_stratum_downstream,14.064761305689592,35.73140039874731,True
62.99104378587475,2.3173745391022416,60.67366924677251,62.99104378587475,2.680861091237938,60.310182694636815,0.9632110471612491,pair_median,timing_tail_atom,mid,15436,6392,21,20,same_axis_stratum_downstream,48.31140374264504,90.48917167476837,True
879.9046539613805,15.41098393711453,864.493670024266,879.9046539613805,15.988215009997242,863.9164389513833,0.9824856206093087,pair_median,baseline_contamination,low_baseline,6608,21528,21,21,fallback_same_runs_downstream,539.8987135388238,1164.441711291122,True
1022.1394462886188,15.41098393711453,1006.7284623515043,1022.1394462886188,15.988215009997242,1006.1512312786216,0.9849228165559291,pair_median,baseline_contamination,nominal_baseline,37348,21528,21,21,same_axis_stratum_downstream,829.7613036116722,1302.6503854726327,True
1141.3722491350097,15.41098393711453,1125.9612651978953,1141.3722491350097,15.988215009997242,1125.3840341250125,0.9864978459492127,pair_median,saturation_boundary,deep,3417,21528,21,21,fallback_same_runs_downstream,888.3322388362262,1280.3104100157962,True
