method,axis,stratum,nominal_coverage,n_runs,n_pair_rows,coverage,coverage_ci_low,coverage_ci_high,coverage_error,abs_coverage_error,mean_interval_width_ns,interval_width_ci_low_ns,interval_width_ci_high_ns,fallback_fraction
cnn_1d,anomaly_taxon,baseline_contamination,0.68,11,3119,0.6418723949983969,0.5621716043065046,0.7301921836991883,-0.03812760500160317,0.03812760500160317,7.875143585952512,7.575642596202054,8.177919112020522,0.0
cnn_1d,anomaly_taxon,baseline_contamination,0.95,11,3119,0.9268996473228599,0.8718832277338235,0.9752387162843698,-0.023100352677140057,0.023100352677140057,14.052564310448181,13.627738337399952,14.356866735951725,0.0
cnn_1d,anomaly_taxon,common_support,0.68,20,33264,0.6410233285233286,0.5012479030655803,0.7991049730324641,-0.0389766714766715,0.0389766714766715,9.216498411593086,8.688618954622296,9.78821078037134,0.0
cnn_1d,anomaly_taxon,common_support,0.95,20,33264,0.9090909090909091,0.761459738032293,0.9779033757364489,-0.040909090909090895,0.040909090909090895,18.619658351273895,16.65350982181598,19.63843293728951,0.0
cnn_1d,anomaly_taxon,saturation_boundary,0.68,20,11970,0.6827067669172933,0.5961464191345612,0.7962965093614729,0.002706766917293213,0.002706766917293213,40.68171329404297,39.45893155682235,42.43682528518216,0.0
cnn_1d,anomaly_taxon,saturation_boundary,0.95,20,11970,0.9481203007518797,0.923416135789535,0.9693425311787782,-0.001879699248120259,0.001879699248120259,198.4413472724873,196.84331226887826,199.6380135222987,0.0
cnn_1d,anomaly_taxon,timing_tail_high_q_shift,0.68,20,17049,0.6547011554929908,0.5078960349857979,0.7463271759844712,-0.025298844507009255,0.025298844507009255,10.321369284189268,9.84122893793309,10.63771175188171,0.0
cnn_1d,anomaly_taxon,timing_tail_high_q_shift,0.95,20,17049,0.9517273740395331,0.9204198101047165,0.9649373178442157,0.0017273740395331583,0.0017273740395331583,94.7377820561549,87.06059602076522,98.10635022618867,0.0
cnn_1d,baseline_contamination,low_baseline,0.68,18,6590,0.6417298937784522,0.5415640636285458,0.7483939692049518,-0.038270106221547806,0.038270106221547806,10.148506060502635,9.903690516990695,10.448569504830278,0.0
cnn_1d,baseline_contamination,low_baseline,0.95,18,6590,0.9490136570561457,0.8927941072672629,0.9712975952393683,-0.000986342943854246,0.000986342943854246,132.29451572847185,123.30482155354102,137.6378984383992,0.0
cnn_1d,baseline_contamination,nominal_baseline,0.68,20,58865,0.6508281661428693,0.5272172978615601,0.7508303876116834,-0.029171833857130736,0.029171833857130736,11.397310697008722,10.925026572084825,11.865514713593805,0.0
cnn_1d,baseline_contamination,nominal_baseline,0.95,20,58865,0.9511934086469039,0.9039847923321789,0.970342735563782,0.0011934086469039817,0.0011934086469039817,93.73888295832435,87.74910613110745,96.45259880065325,0.0
cnn_1d,saturation_boundary,deep,0.68,20,3412,0.6699882766705745,0.5831250280987277,0.790432375135504,-0.01001172332942557,0.01001172332942557,50.69535543246785,48.725279449279434,53.201517466377695,0.0
cnn_1d,saturation_boundary,deep,0.95,20,3412,0.9475381008206331,0.9290922306332513,0.9679778346503074,-0.0024618991793669,0.0024618991793669,194.3519319836225,193.94174530586835,194.69879042589744,0.0
cnn_1d,saturation_boundary,mild,0.68,19,5527,0.6835534648091188,0.5191467161716731,0.7699427924971873,0.003553464809118778,0.003553464809118778,16.281781262510517,14.922941492812557,17.858791898839474,0.0
cnn_1d,saturation_boundary,mild,0.95,19,5527,0.9491586755925456,0.9194046646109046,0.9726041164048392,-0.0008413244074543247,0.0008413244074543247,172.61944595739016,168.98140926896622,175.00169712338365,0.0
cnn_1d,saturation_boundary,moderate,0.68,19,3001,0.6697767410863046,0.5948993396747668,0.8114079314011255,-0.010223258913695465,0.010223258913695465,62.649807946613,60.16601768040345,66.86643478716194,0.0
cnn_1d,saturation_boundary,moderate,0.95,19,3001,0.947350883038987,0.9129109559557891,0.9696579368133419,-0.0026491169610129983,0.0026491169610129983,201.01650805174796,200.14203078121105,201.90173103419153,0.0
cnn_1d,saturation_boundary,none,0.68,20,53501,0.6487168464140857,0.5056756871846915,0.760732630255712,-0.03128315358591438,0.03128315358591438,9.52813960559759,9.055317648466563,9.961030699647825,0.0
cnn_1d,saturation_boundary,none,0.95,20,53501,0.9270854750378498,0.8685703717643978,0.9703603084996917,-0.022914524962150185,0.022914524962150185,22.5763016146286,20.754712989213076,23.865341618045246,0.0
cnn_1d,timing_tail_atom,high,0.68,20,21825,0.665704467353952,0.567348226767255,0.7288278395306053,-0.014295532646048104,0.014295532646048104,15.79819188303997,14.860159100542802,16.387896970189043,0.0
cnn_1d,timing_tail_atom,high,0.95,20,21825,0.9488659793814433,0.9051645986454264,0.9677063761612068,-0.0011340206185566082,0.0011340206185566082,186.7931379309135,183.45004550381378,188.36176587193535,0.0
cnn_1d,timing_tail_atom,low,0.68,20,21822,0.6484281917331134,0.46463690397395724,0.7894232048098238,-0.03157180826688666,0.03157180826688666,9.914360466281684,9.27169908481707,10.387687919984867,0.0
cnn_1d,timing_tail_atom,low,0.95,20,21822,0.9394189350197049,0.8949414698358664,0.9663977370846341,-0.010581064980295096,0.010581064980295096,22.41578330514971,21.56700904808261,23.101485353172773,0.0
cnn_1d,timing_tail_atom,mid,0.68,20,21824,0.6437408357771262,0.4841732141858961,0.8015971547420838,-0.036259164222873896,0.036259164222873896,10.293043426002695,9.541461425858218,10.996871549913914,0.0
cnn_1d,timing_tail_atom,mid,0.95,20,21824,0.9447855571847508,0.9186049872881817,0.9791173915450492,-0.005214442815249187,0.005214442815249187,36.67253433008043,33.59272871185672,41.168884616727155,0.0
cnn_1d,topology,B2_containing,0.68,20,43946,0.6538706594456833,0.49704266513082207,0.753780760892086,-0.026129340554316705,0.026129340554316705,12.222037493497327,11.817801518032551,12.689862876730237,0.0
cnn_1d,topology,B2_containing,0.95,20,43946,0.9487780457834615,0.8546769230065364,0.9748472332609467,-0.001221954216538479,0.001221954216538479,140.13617498074325,127.28879959366343,143.27659607944696,0.0
cnn_1d,topology,downstream_only,0.68,20,21525,0.630150987224158,0.494299399110479,0.7576647901281232,-0.04984901277584208,0.04984901277584208,8.525842626819063,8.228159228320386,8.89213110922253,0.0
cnn_1d,topology,downstream_only,0.95,20,21525,0.9008594657375145,0.7330237693988296,0.9741707370213015,-0.049140534262485436,0.049140534262485436,16.849481852331834,15.333130872417094,17.640324781716565,0.0
cnn_1d,two_pulse_score,not_pileup_like,0.68,20,54077,0.6506093163452115,0.49359822387399166,0.7270371640426079,-0.029390683654788585,0.029390683654788585,10.237123417884794,9.585838604397882,10.566281595442177,0.0
cnn_1d,two_pulse_score,not_pileup_like,0.95,20,54077,0.9434694971984393,0.9110360023577806,0.9706505510985036,-0.006530502801560645,0.006530502801560645,29.44318020956413,27.242814747467555,31.534934103446652,0.0
cnn_1d,two_pulse_score,pileup_like,0.68,20,11394,0.6786027733895033,0.5992370704249166,0.7478981731915934,-0.0013972266104967934,0.0013972266104967934,52.545402187659185,49.16958624368868,55.83527521210059,0.0
cnn_1d,two_pulse_score,pileup_like,0.95,20,11394,0.9492715464279445,0.9374930922996697,0.9620421640194406,-0.0007284535720554208,0.0007284535720554208,207.9908974000989,207.7575279895001,208.37252040980974,0.0
