scope,n,pred_sigma_median_ns,abs_error_median_ns,pull_width_sigma68,pull_rms,heldout_run
heldout_pulse_target,219,2.5306005477905273,1.0238635720985734,0.3526040981332257,1.4543390417169109,58
heldout_sigma_bin,55,1.6258351802825928,0.7971536758318685,0.6664274562546698,1.5499565254276055,58
heldout_sigma_bin,55,2.023591995239258,0.7849908286112495,0.4665754959372146,1.2591586761852347,58
heldout_sigma_bin,109,20.085599899291992,1.7675343436171147,0.14675632364739002,1.4841523547433153,58
heldout_pulse_target,2289,1.8080869913101196,0.7468362163775382,0.5686103056577421,1.2399572512661376,59
heldout_sigma_bin,573,1.4970264434814453,0.648660056951222,0.6069180803105869,1.6623785887780833,59
heldout_sigma_bin,572,1.679007112979889,0.705162360510073,0.6234051124309441,1.0883203013918124,59
heldout_sigma_bin,572,1.954283356666565,0.7915671086899216,0.60908626335093,0.681509244473152,59
heldout_sigma_bin,572,2.329822301864624,0.874484189170218,0.39580545249050636,1.3129335427742896,59
heldout_pulse_target,2424,1.9491828083992004,0.8093504923955024,0.5399346610685187,0.8639151835793842,60
heldout_sigma_bin,606,1.6433032155036926,0.7036487327221774,0.5876297142027694,0.7940455777380439,60
heldout_sigma_bin,606,1.873329222202301,0.8584313926703686,0.6335608620143292,0.6372011273220484,60
heldout_sigma_bin,606,2.078631043434143,0.754579380712709,0.5118444798709694,0.5969132395932791,60
heldout_sigma_bin,606,2.912266254425049,1.0248802383497306,0.35682950300926486,1.2541378568265051,60
heldout_pulse_target,2799,1.8794057369232178,0.8179199729388955,0.5994840403052321,1.1321468830473254,61
heldout_sigma_bin,700,1.5502805709838867,0.6294696996000102,0.5948086116380258,0.9014092176966101,61
heldout_sigma_bin,700,1.7289930582046509,0.7206736534021871,0.6444658924229271,1.1228710688734236,61
heldout_sigma_bin,699,2.029292345046997,0.9394546254958129,0.6415588266112626,1.1141904237710454,61
heldout_sigma_bin,700,2.7509446144104004,1.1770813111380711,0.410085500023675,1.3237601060421578,61
heldout_pulse_target,2421,1.9809209108352661,0.7735142816817486,0.5502026347032228,1.3825052975705847,62
heldout_sigma_bin,606,1.5218522548675537,0.5550565962265672,0.5713080926528724,2.2027472756078073,62
heldout_sigma_bin,605,1.786135196685791,0.732337460047404,0.5884545485703923,0.7459922760749989,62
heldout_sigma_bin,605,2.08693790435791,0.894410071856818,0.6135795088562405,1.3737594073760073,62
heldout_sigma_bin,605,2.6252408027648926,1.0523718396802906,0.4147962509750409,0.5619020405658656,62
heldout_pulse_target,1110,1.9566556811332703,0.8513750374191069,0.5677169299330437,0.8450762143357774,63
heldout_sigma_bin,278,1.6173546314239502,0.6579553791691772,0.6267743746992689,0.7849482966133958,63
heldout_sigma_bin,277,1.8256574869155884,0.6824710565357819,0.6024090710803117,0.7082860313099006,63
heldout_sigma_bin,277,2.0273749828338623,1.0206189312805165,0.6688612088160544,0.6576770843769936,63
heldout_sigma_bin,278,3.903669595718384,1.1325793410203886,0.31629139325192246,1.135341357839176,63
heldout_pulse_target,198,2.016140937805176,1.0322650447795603,0.49769126810493,0.5389368377388288,65
heldout_sigma_bin,50,1.6830544471740723,0.7482922156417757,0.6287484668446084,0.6430745332436176,65
heldout_sigma_bin,49,1.9314466714859009,0.643941840872241,0.6919530304993342,0.6144434861816406,65
heldout_sigma_bin,49,2.2093284130096436,1.0146171484812427,0.535453224199129,0.5752075532535466,65
heldout_sigma_bin,50,20.085599899291992,1.7203241034898227,0.11064751491612544,0.11676924845494624,65
