event_id,pair,method,residual_ns,heldout_run
58:391631:10103:2692,B4-B6,cfd20_reference,-3.916585084693601,58
58:391631:10103:2692,B4-B8,cfd20_reference,-3.439525131378531,58
58:391631:10103:2692,B6-B8,cfd20_reference,0.4770599533150701,58
58:391841:10300:2900,B4-B6,cfd20_reference,-4.77227106404527,58
58:391841:10300:2900,B4-B8,cfd20_reference,-3.3236909143832776,58
58:391841:10300:2900,B6-B8,cfd20_reference,1.4485801496619928,58
58:392066:10514:3123,B4-B6,cfd20_reference,-3.7273956732449705,58
58:392066:10514:3123,B4-B8,cfd20_reference,-1.0409795062342084,58
58:392066:10514:3123,B6-B8,cfd20_reference,2.686416167010762,58
58:392204:10642:3261,B4-B6,cfd20_reference,-4.880936657211464,58
58:392204:10642:3261,B4-B8,cfd20_reference,-4.601066565221856,58
58:392204:10642:3261,B6-B8,cfd20_reference,0.27987009198960777,58
58:392294:10722:3348,B4-B6,cfd20_reference,-4.811859348087488,58
58:392294:10722:3348,B4-B8,cfd20_reference,-3.2785285106547803,58
58:392294:10722:3348,B6-B8,cfd20_reference,1.5333308374327075,58
58:392636:11042:3687,B4-B6,cfd20_reference,-6.8808267365773546,58
58:392636:11042:3687,B4-B8,cfd20_reference,-5.629836406550531,58
58:392636:11042:3687,B6-B8,cfd20_reference,1.2509903300268235,58
58:393248:11615:4294,B4-B6,cfd20_reference,-3.97219735623473,58
58:393248:11615:4294,B4-B8,cfd20_reference,-3.69045598092238,58
58:393248:11615:4294,B6-B8,cfd20_reference,0.28174137531235033,58
58:394656:12923:5698,B4-B6,cfd20_reference,-6.140833758638443,58
58:394656:12923:5698,B4-B8,cfd20_reference,-6.087708618517901,58
58:394656:12923:5698,B6-B8,cfd20_reference,0.05312514012054237,58
58:394684:12945:5726,B4-B6,cfd20_reference,-2.8776287649517194,58
58:394684:12945:5726,B4-B8,cfd20_reference,-1.2643629003610144,58
58:394684:12945:5726,B6-B8,cfd20_reference,1.613265864590705,58
58:394786:13037:5828,B4-B6,cfd20_reference,-4.073411573683188,58
58:394786:13037:5828,B4-B8,cfd20_reference,-2.9902372083066098,58
58:394786:13037:5828,B6-B8,cfd20_reference,1.0831743653765784,58
58:394965:13201:6007,B4-B6,cfd20_reference,-6.945461301109518,58
58:394965:13201:6007,B4-B8,cfd20_reference,-3.502722770328745,58
58:394965:13201:6007,B6-B8,cfd20_reference,3.4427385307807725,58
58:395467:13673:6509,B4-B6,cfd20_reference,-5.505513372472279,58
58:395467:13673:6509,B4-B8,cfd20_reference,-3.627774499220344,58
58:395467:13673:6509,B6-B8,cfd20_reference,1.8777388732519356,58
58:396978:15063:8018,B4-B6,cfd20_reference,-6.1565493042188635,58
58:396978:15063:8018,B4-B8,cfd20_reference,-5.890542549418136,58
58:396978:15063:8018,B6-B8,cfd20_reference,0.26600675480072766,58
58:398418:42:9453,B4-B6,cfd20_reference,-2.7705218134850327,58
58:398418:42:9453,B4-B8,cfd20_reference,-1.6699827025946092,58
58:398418:42:9453,B6-B8,cfd20_reference,1.1005391108904234,58
58:398580:196:9615,B4-B6,cfd20_reference,-5.403270190861306,58
58:398580:196:9615,B4-B8,cfd20_reference,-4.622115872612071,58
