run,method,n,energy_bias_frac,energy_res68_frac,pid_auc
44,coupled_template_gls_traditional,1911,-0.030867044863563734,0.06984156300314846,0.9853956955164784
44,ridge,1911,-0.02102606512738055,0.13622122435050074,0.9647184344185593
44,gradient_boosted_trees,1911,-0.0031075183583221242,0.03877387217518942,0.993324615825657
44,mlp,1911,-0.12118328875523157,0.3652221294937445,0.9747697117543015
44,1d_cnn,1911,0.00888768377922391,0.40035886628480016,0.9751929661342406
44,compact_transformer,1911,-0.004149092041201137,0.23013534831864582,0.9844450634746345
44,cross_talk_residual_fusion_new,1911,-0.04898833540111558,0.158480188795337,0.9863963608236828
45,coupled_template_gls_traditional,22999,-0.02846229671947915,0.06360625576501855,0.9877031031575038
45,ridge,22999,-0.02580885027531561,0.12642331751979274,0.9750828610983739
45,gradient_boosted_trees,22999,-0.0031749549031942774,0.03853667530187021,0.9951899879249395
45,mlp,22999,-0.16813083692528735,0.35799323777439707,0.9786162574277165
45,1d_cnn,22999,-0.03573174781469601,0.3097992676017801,0.9775513237650917
45,compact_transformer,22999,-0.021457062728550146,0.19904292969201817,0.9882964849305312
45,cross_talk_residual_fusion_new,22999,-0.04079999696030957,0.14938337801377236,0.9881798051987282
46,coupled_template_gls_traditional,676,-0.026275472656927798,0.05125552695559515,0.9909294902183874
46,ridge,676,-0.0609919051461282,0.12565765212799002,0.988822519305121
46,gradient_boosted_trees,676,-0.0028622613189201035,0.031984699702223174,0.9939477260516418
46,mlp,676,-0.15215616914909108,0.34359355252852497,0.9922674167483118
46,1d_cnn,676,-0.027108478157645735,0.25744797691548726,0.9923411607302761
46,compact_transformer,676,-0.0228213175706867,0.15147442663167504,0.9964181494474469
46,cross_talk_residual_fusion_new,676,-0.0577904058082577,0.14472127355942935,0.9915089072195359
47,coupled_template_gls_traditional,5160,-0.021515056199507443,0.04771068856085595,0.991957206396034
47,ridge,5160,-0.061271417632951096,0.11466214812308845,0.9873169071711744
47,gradient_boosted_trees,5160,-0.00144548205787719,0.031029850828491762,0.9969184394439752
47,mlp,5160,-0.18172462528492728,0.3422132690586838,0.9910062392580684
47,1d_cnn,5160,-0.05472480016572452,0.24792993106455058,0.9909281161201137
47,compact_transformer,5160,-0.036195675307452616,0.1480595491799086,0.9949019687030765
