# knob: pde_scale
# channel: cli  target: --pde-scale  unit: x PDE table
# rationale: +/-40% spans the OV range + device spread (S13360-3050CS ~25-50% peak).
# base_cli: --particle proton --energy 100 --hit-x 0 --hit-y 0 --theta 0 --phi 0
# default_nevents: 60
# paired_seed_design: AF-036 / #984 common-random-number
# seed_replicates: 1000,1001,1002
# note: same replicate_seed is reused at every knob value (CRN pairing)
# columns: label,seed,nevents,cli_args,env_vars
# explicit triple encoded in label as knob=value__rep=<replicate_seed>
label,seed,nevents,cli_args,env_vars
pde_scale=0.6__rep=1000,1000,60,--pde-scale 0.6,
pde_scale=0.8__rep=1000,1000,60,--pde-scale 0.8,
pde_scale=1__rep=1000,1000,60,--pde-scale 1,
pde_scale=1.2__rep=1000,1000,60,--pde-scale 1.2,
pde_scale=1.4__rep=1000,1000,60,--pde-scale 1.4,
pde_scale=0.6__rep=1001,1001,60,--pde-scale 0.6,
pde_scale=0.8__rep=1001,1001,60,--pde-scale 0.8,
pde_scale=1__rep=1001,1001,60,--pde-scale 1,
pde_scale=1.2__rep=1001,1001,60,--pde-scale 1.2,
pde_scale=1.4__rep=1001,1001,60,--pde-scale 1.4,
pde_scale=0.6__rep=1002,1002,60,--pde-scale 0.6,
pde_scale=0.8__rep=1002,1002,60,--pde-scale 0.8,
pde_scale=1__rep=1002,1002,60,--pde-scale 1,
pde_scale=1.2__rep=1002,1002,60,--pde-scale 1.2,
pde_scale=1.4__rep=1002,1002,60,--pde-scale 1.4,
