# knob: crosstalk
# channel: env  target: CCB_SIPM_CROSSTALK_PROB  unit: prob
# rationale: Prompt crosstalk; S13360-3050CS spec ~3% typ, swept 0-15%.
# base_cli: --particle proton --energy 100 --hit-x 0 --hit-y 0 --theta 0 --phi 0
# default_nevents: 60
# n_replicates: 3
# seed_policy: paired_multi_seed issue_984 seed=SEED_BASE+replicate
# columns: label,seed,nevents,cli_args,env_vars,replicate
label,seed,nevents,cli_args,env_vars,replicate
crosstalk=0__r0,1000,60,,CCB_SIPM_CROSSTALK_PROB=0,0
crosstalk=0.03__r0,1000,60,,CCB_SIPM_CROSSTALK_PROB=0.03,0
crosstalk=0.06__r0,1000,60,,CCB_SIPM_CROSSTALK_PROB=0.06,0
crosstalk=0.1__r0,1000,60,,CCB_SIPM_CROSSTALK_PROB=0.1,0
crosstalk=0.15__r0,1000,60,,CCB_SIPM_CROSSTALK_PROB=0.15,0
crosstalk=0__r1,1001,60,,CCB_SIPM_CROSSTALK_PROB=0,1
crosstalk=0.03__r1,1001,60,,CCB_SIPM_CROSSTALK_PROB=0.03,1
crosstalk=0.06__r1,1001,60,,CCB_SIPM_CROSSTALK_PROB=0.06,1
crosstalk=0.1__r1,1001,60,,CCB_SIPM_CROSSTALK_PROB=0.1,1
crosstalk=0.15__r1,1001,60,,CCB_SIPM_CROSSTALK_PROB=0.15,1
crosstalk=0__r2,1002,60,,CCB_SIPM_CROSSTALK_PROB=0,2
crosstalk=0.03__r2,1002,60,,CCB_SIPM_CROSSTALK_PROB=0.03,2
crosstalk=0.06__r2,1002,60,,CCB_SIPM_CROSSTALK_PROB=0.06,2
crosstalk=0.1__r2,1002,60,,CCB_SIPM_CROSSTALK_PROB=0.1,2
crosstalk=0.15__r2,1002,60,,CCB_SIPM_CROSSTALK_PROB=0.15,2
