# Systematic grid: SiPM microcell count (saturation model). Nominal = 3600
# (Hamamatsu S13360-3050CS spec recorded in AppConfig.hh).
# BLOCKER: AppConfig.cc::ParseArgs does NOT yet parse a --sipm-n-cells flag,
# so this knob CANNOT be swept without a sim-source edit (out of scope here:
# other agents own src/). The submit driver detects the missing flag and fails
# with guidance; once the flag is added this grid runs unchanged.
# Columns: value,label,seed
1800,sipm1800,11
3600,sipm3600,11
7200,sipm7200,11
3600,sipm3600,12
