# knob: birks_kB
# channel: cli  target: --birks-kB  unit: mm/MeV
# rationale: Birks kB; 0 = no quench, 0.126 nominal, 0.22 heavy quencher.
# base_cli: --particle proton --energy 100 --hit-x 0 --hit-y 0 --theta 0 --phi 0
# default_nevents: 60
# paired_seed_design: AF-036 / #984 common-random-number
# seed_replicates: 1000,1001,1002
# note: same replicate_seed is reused at every knob value (CRN pairing)
# columns: label,seed,nevents,cli_args,env_vars
# explicit triple encoded in label as knob=value__rep=<replicate_seed>
label,seed,nevents,cli_args,env_vars
birks_kB=0__rep=1000,1000,60,--birks-kB 0,
birks_kB=0.08__rep=1000,1000,60,--birks-kB 0.08,
birks_kB=0.126__rep=1000,1000,60,--birks-kB 0.126,
birks_kB=0.17__rep=1000,1000,60,--birks-kB 0.17,
birks_kB=0.22__rep=1000,1000,60,--birks-kB 0.22,
birks_kB=0__rep=1001,1001,60,--birks-kB 0,
birks_kB=0.08__rep=1001,1001,60,--birks-kB 0.08,
birks_kB=0.126__rep=1001,1001,60,--birks-kB 0.126,
birks_kB=0.17__rep=1001,1001,60,--birks-kB 0.17,
birks_kB=0.22__rep=1001,1001,60,--birks-kB 0.22,
birks_kB=0__rep=1002,1002,60,--birks-kB 0,
birks_kB=0.08__rep=1002,1002,60,--birks-kB 0.08,
birks_kB=0.126__rep=1002,1002,60,--birks-kB 0.126,
birks_kB=0.17__rep=1002,1002,60,--birks-kB 0.17,
birks_kB=0.22__rep=1002,1002,60,--birks-kB 0.22,
