# knob: window_end
# channel: env  target: CCB_SIPM_WINDOW_END_NS  unit: ns
# rationale: Integration window end; 50-1000 ns (signal completeness vs dark noise).
# base_cli: --particle proton --energy 100 --hit-x 0 --hit-y 0 --theta 0 --phi 0
# default_nevents: 60
# paired_seed_design: AF-036 / #984 common-random-number
# seed_replicates: 1000,1001,1002
# note: same replicate_seed is reused at every knob value (CRN pairing)
# columns: label,seed,nevents,cli_args,env_vars
# explicit triple encoded in label as knob=value__rep=<replicate_seed>
label,seed,nevents,cli_args,env_vars
window_end=50__rep=1000,1000,60,,CCB_SIPM_WINDOW_END_NS=50
window_end=100__rep=1000,1000,60,,CCB_SIPM_WINDOW_END_NS=100
window_end=250__rep=1000,1000,60,,CCB_SIPM_WINDOW_END_NS=250
window_end=500__rep=1000,1000,60,,CCB_SIPM_WINDOW_END_NS=500
window_end=1000__rep=1000,1000,60,,CCB_SIPM_WINDOW_END_NS=1000
window_end=50__rep=1001,1001,60,,CCB_SIPM_WINDOW_END_NS=50
window_end=100__rep=1001,1001,60,,CCB_SIPM_WINDOW_END_NS=100
window_end=250__rep=1001,1001,60,,CCB_SIPM_WINDOW_END_NS=250
window_end=500__rep=1001,1001,60,,CCB_SIPM_WINDOW_END_NS=500
window_end=1000__rep=1001,1001,60,,CCB_SIPM_WINDOW_END_NS=1000
window_end=50__rep=1002,1002,60,,CCB_SIPM_WINDOW_END_NS=50
window_end=100__rep=1002,1002,60,,CCB_SIPM_WINDOW_END_NS=100
window_end=250__rep=1002,1002,60,,CCB_SIPM_WINDOW_END_NS=250
window_end=500__rep=1002,1002,60,,CCB_SIPM_WINDOW_END_NS=500
window_end=1000__rep=1002,1002,60,,CCB_SIPM_WINDOW_END_NS=1000
