n_bins,shrink_strength,fold,sigma68_ns,n_pair_residuals,heldout_run
6,20.0,0,1.9099464269117097,2997,58
6,20.0,1,1.2239326282667697,3534,58
6,20.0,2,1.3365812814585318,4710,58
6,20.0,-1,1.4901534455456702,0,58
6,80.0,0,1.514233085816245,2997,58
6,80.0,1,1.09240773174859,3534,58
6,80.0,2,1.246002600104704,4710,58
6,80.0,-1,1.284214472556513,0,58
6,320.0,0,1.238820425485013,2997,58
6,320.0,1,1.038937129261468,3534,58
6,320.0,2,1.071716418003833,4710,58
6,320.0,-1,1.1164913242501047,0,58
8,20.0,0,1.8423545826322179,2997,58
8,20.0,1,1.182057099530926,3534,58
8,20.0,2,1.3437910034447766,4710,58
8,20.0,-1,1.4560675618693069,0,58
8,80.0,0,1.3442389725189758,2997,58
8,80.0,1,1.032713161787472,3534,58
8,80.0,2,1.200235019962438,4710,58
8,80.0,-1,1.1923957180896287,0,58
8,320.0,0,1.2288103008947857,2997,58
8,320.0,1,1.2300815627633483,3534,58
8,320.0,2,1.2558243913046887,4710,58
8,320.0,-1,1.238238751654274,0,58
10,20.0,0,1.8036049806826364,2997,58
10,20.0,1,1.1523771422965288,3534,58
10,20.0,2,1.333410705850138,4710,58
10,20.0,-1,1.4297976096097678,0,58
10,80.0,0,1.3363738038333288,2997,58
10,80.0,1,1.0880544427990015,3534,58
10,80.0,2,1.0865774082044979,4710,58
10,80.0,-1,1.1703352182789428,0,58
10,320.0,0,1.1498721322200944,2997,58
10,320.0,1,1.2654785706242115,3534,58
10,320.0,2,1.4510049273743668,4710,58
10,320.0,-1,1.288785210072891,0,58
6,20.0,0,1.8637276824444644,2799,59
6,20.0,1,1.095400367564615,2841,59
6,20.0,2,1.335577482089704,3531,59
6,20.0,-1,1.4315685106995943,0,59
6,80.0,0,1.3762797196456218,2799,59
6,80.0,1,1.0,2841,59
6,80.0,2,1.1903436410010286,3531,59
6,80.0,-1,1.1888744535488833,0,59
6,320.0,0,1.2045213504838692,2799,59
6,320.0,1,1.1592504812849245,2841,59
6,320.0,2,1.1067772692069573,3531,59
6,320.0,-1,1.1568497003252503,0,59
8,20.0,0,1.7974664246344276,2799,59
8,20.0,1,1.036058085649728,2841,59
8,20.0,2,1.25,3531,59
8,20.0,-1,1.361174836761385,0,59
8,80.0,0,1.3321302242455175,2799,59
8,80.0,1,0.9985577096828251,2841,59
8,80.0,2,1.1343755790945713,3531,59
8,80.0,-1,1.1550211710076381,0,59
8,320.0,0,1.133175823864359,2799,59
8,320.0,1,1.2500000000000093,2841,59
8,320.0,2,1.3634674147932664,3531,59
8,320.0,-1,1.248881079552545,0,59
10,20.0,0,1.7277610714992981,2799,59
10,20.0,1,1.064636324299623,2841,59
10,20.0,2,1.214575163638922,3531,59
10,20.0,-1,1.3356575198126144,0,59
10,80.0,0,1.2671404466114753,2799,59
10,80.0,1,0.9866287629848756,2841,59
10,80.0,2,1.0709075624301967,3531,59
10,80.0,-1,1.1082255906755158,0,59
10,320.0,0,1.2511139690273994,2799,59
10,320.0,1,1.4061156574315774,2841,59
10,320.0,2,1.5732023926614147,3531,59
10,320.0,-1,1.4101440063734636,0,59
6,20.0,0,1.7782426439332892,2799,60
6,20.0,1,1.1253576336968187,2838,60
6,20.0,2,1.1266835901768992,3399,60
6,20.0,-1,1.3434279559356692,0,60
6,80.0,0,1.3225455839379958,2799,60
6,80.0,1,1.0861696698766545,2838,60
6,80.0,2,1.077534508713606,3399,60
6,80.0,-1,1.1620832541760853,0,60
6,320.0,0,1.1568187340012601,2799,60
6,320.0,1,1.23893158553442,2838,60
6,320.0,2,1.2500000000000036,3399,60
6,320.0,-1,1.2152501065118946,0,60
8,20.0,0,1.7223380810514612,2799,60
8,20.0,1,1.178744148282341,2838,60
8,20.0,2,1.1629187120098181,3399,60
8,20.0,-1,1.3546669804478733,0,60
8,80.0,0,1.2866382034258754,2799,60
8,80.0,1,1.1452937187785217,2838,60
8,80.0,2,1.0879428938326186,3399,60
8,80.0,-1,1.173291605345672,0,60
8,320.0,0,1.263642236454075,2799,60
8,320.0,1,1.25,2838,60
8,320.0,2,1.3130032748813423,3399,60
8,320.0,-1,1.2755485037784724,0,60
10,20.0,0,1.6629561228206147,2799,60
10,20.0,1,1.2293932256622924,2838,60
10,20.0,2,1.2280016375875011,3399,60
10,20.0,-1,1.3734503286901358,0,60
10,80.0,0,1.25,2799,60
10,80.0,1,1.032445344546023,2838,60
10,80.0,2,1.0512834180335155,3399,60
10,80.0,-1,1.1112429208598462,0,60
10,320.0,0,1.3473838967345513,2799,60
10,320.0,1,1.3826417773534,2838,60
10,320.0,2,1.5066782182256304,3399,60
10,320.0,-1,1.412234630771194,0,60
6,20.0,0,1.3304290241599457,2622,61
6,20.0,1,1.4180121499373652,2640,61
6,20.0,2,1.413759683133502,3399,61
6,20.0,-1,1.3874002857436043,0,61
6,80.0,0,1.0625139076749648,2622,61
6,80.0,1,1.1156571072703836,2640,61
6,80.0,2,1.093198185308239,3399,61
6,80.0,-1,1.0904564000845292,0,61
6,320.0,0,1.1483807537658541,2622,61
6,320.0,1,1.172123780093122,2640,61
6,320.0,2,1.1774215279865246,3399,61
6,320.0,-1,1.1659753539485003,0,61
8,20.0,0,1.2744581451921844,2622,61
8,20.0,1,1.4102803084347793,2640,61
8,20.0,2,1.398356751723694,3399,61
8,20.0,-1,1.361031735116886,0,61
8,80.0,0,0.9999932609825948,2622,61
8,80.0,1,1.2220492578214102,2640,61
8,80.0,2,1.241953868218335,3399,61
8,80.0,-1,1.1546654623407802,0,61
8,320.0,0,1.2576837233718037,2622,61
8,320.0,1,1.2655271306911433,2640,61
8,320.0,2,1.3653024666039724,3399,61
8,320.0,-1,1.2961711068889732,0,61
10,20.0,0,1.2234717468901926,2622,61
10,20.0,1,1.4026836569294874,2640,61
10,20.0,2,1.4029453117259256,3399,61
10,20.0,-1,1.3430335718485351,0,61
