split_name,method,stratum_axis,stratum,n,pid_auc,pid_auc_ci_low,pid_auc_ci_high,boundary_migration_abs,calibration_error_ece,timing_conditioned_confusion
particle_heldout,1d_cnn,all_heldout,all,1813,0.799300042464278,0.7747302665125553,0.8264016949783008,0.35741864313292887,0.24144400503227592,0.39492553778268064
particle_heldout,1d_cnn,timing_residual_bin,timing_core,586,0.7273792780121894,,,0.41979522184300333,0.12146415743619587,0.45051194539249145
particle_heldout,1d_cnn,timing_residual_bin,timing_mid,507,0.6300688360450564,,,0.47534516765286,0.12137565748769227,0.5029585798816568
particle_heldout,1d_cnn,timing_residual_bin,timing_tail,720,0.2797080656228557,,,0.2236111111111111,0.42364239794395203,0.27361111111111114
particle_heldout,1d_cnn,pedestal_history_bin,pedestal_memory,512,0.842495776936729,,,0.314453125,0.25488404174752827,0.349609375
particle_heldout,1d_cnn,pedestal_history_bin,pedestal_mid,722,0.9083039714646136,,,0.3975069252077562,0.29620703273272914,0.40581717451523547
particle_heldout,1d_cnn,pedestal_history_bin,pedestal_quiet,579,0.7340847289638872,,,0.3454231433506045,0.16127093975086584,0.4214162348877375
particle_heldout,1d_cnn,pileup_flag,pileup_proxy,765,0.5207844975777465,,,0.19607843137254902,0.39411446188709953,0.2849673202614379
particle_heldout,1d_cnn,pileup_flag,single_proxy,1048,0.6988090034965035,,,0.47519083969465653,0.13000039864492852,0.4751908396946565
particle_heldout,1d_cnn,saturation_flag,linear_proxy,1758,0.8120654121863798,,,0.369169510807736,0.24386117598841148,0.38964732650739475
particle_heldout,1d_cnn,saturation_flag,saturation_proxy,55,0.1634615384615385,,,0.018181818181818188,0.186134251897901,0.5636363636363636
particle_heldout,1d_cnn,pulse_shape_bin,low_harmonic,810,0.2421543359611886,,,0.3432098765432099,0.4277320506407234,0.4246913580246914
particle_heldout,1d_cnn,pulse_shape_bin,mid_harmonic,992,0.7567356804272294,,,0.3739919354838709,0.1215971064224094,0.37399193548387094
particle_heldout,1d_cnn,energy_bin,energy_high,1695,0.822268361100245,,,0.36873156342182895,0.2650068012160347,0.40294985250737464
particle_heldout,1d_cnn,energy_bin,energy_mid,102,0.8017057569296375,,,0.1568627450980392,0.21528850874887165,0.2549019607843137
particle_heldout,gradient_boosted_trees,all_heldout,all,1813,0.9796016794481331,0.9760959097048806,0.9830654044209255,0.15444015444015446,0.14314267303513162,0.15995587424158852
particle_heldout,gradient_boosted_trees,timing_residual_bin,timing_core,586,0.9735818096577591,,,0.1843003412969283,0.1627773555779528,0.1945392491467577
particle_heldout,gradient_boosted_trees,timing_residual_bin,timing_mid,507,0.9408635794743428,,,0.27218934911242604,0.25077794960809974,0.27613412228796846
particle_heldout,gradient_boosted_trees,timing_residual_bin,timing_tail,720,0.9897074418314515,,,0.04722222222222222,0.05136904915653711,0.05
particle_heldout,gradient_boosted_trees,pedestal_history_bin,pedestal_memory,512,0.9771420018389035,,,0.189453125,0.17247885187615947,0.193359375
particle_heldout,gradient_boosted_trees,pedestal_history_bin,pedestal_mid,722,0.9856540084388186,,,0.15927977839335183,0.14879401661461916,0.16204986149584488
particle_heldout,gradient_boosted_trees,pedestal_history_bin,pedestal_quiet,579,0.9761112099418028,,,0.11744386873920554,0.11239585981453036,0.12780656303972365
