heldout_run,method,family,average_precision,roc_auc,brier,keep_fraction,sigma68_delta_vs_no_cut_ns,n_pair_residuals,median_ns,sigma68_ns,full_rms_ns,tail_frac_abs_gt5ns,core_sigma_ns,chi2_ndf
58,traditional_q_threshold,traditional,0.3878402729852005,0.7856025039123631,0.02634297233421553,0.9178082191780822,-7.105427357601002e-15,201,1.4035427732780477,1.321401551956022,1.7923385488279955,0.01990049751243781,1.5825827135319965,4.3681167822966325
58,ridge,ml,0.5808201058201058,0.9209702660406885,0.15245644022504615,0.9315068493150684,0.0,204,1.8683251044055496,1.3214015519560292,1.610955666152346,0.014705882352941176,1.115616100728865,4.325096636573644
58,gradient_boosted_trees,ml,0.4239028944911298,0.9757433489827856,0.051071945473293134,0.9269406392694064,-1.1102230246251565e-15,203,1.841434344342872,1.321401551956028,1.5234034078760663,0.0049261083743842365,1.0828974879916462,4.235808902024972
58,mlp,nn,0.47799422799422797,0.9741784037558686,0.02011879670447959,0.8995433789954338,-7.105427357601002e-15,197,1.841434344342872,1.321401551956022,1.52155874992997,0.0,1.1604416477390618,4.385545820890814
58,1d_cnn,nn,0.21699460447020627,0.8826291079812206,0.0648912767431247,0.9269406392694064,-7.105427357601002e-15,203,1.773172938595053,1.321401551956022,2.7460646581587715,0.019704433497536946,1.1456647715173938,4.434306752766894
58,q_token_attention,new_architecture,0.3958755714569668,0.9162754303599374,0.06509326160656069,0.9406392694063926,0.0,206,1.8301916764479742,1.3214015519560292,1.6355207853820024,0.014563106796116505,1.0674410623775683,4.50035651484448
58,no_cut,reference,,,,1.0,0.0,219,1.7731729385950459,1.3214015519560292,2.78333085903108,0.0319634703196347,1.0677293270154493,4.425196113314423
59,traditional_q_threshold,traditional,0.08202312052459108,0.8015300586871825,0.015152424250469568,0.8820445609436435,0.06166337252625098,2019,0.8613117928730958,1.561663372526251,2.0335923004014247,0.0079247152055473,1.1767128884615408,30.775080855233618
59,ridge,ml,0.36952736201207775,0.8948439118212753,0.16305735433457594,0.9060725207514199,-0.18833662747374547,2074,1.2423192689627953,1.3116633725262545,1.7803738371404816,0.00626808100289296,1.225015302927901,35.02239028172081
59,gradient_boosted_trees,ml,0.5463721810460496,0.9343344676234157,0.0335787785878105,0.9392747924858017,-0.18833662747374547,2150,1.2423192689627953,1.3116633725262545,1.6875488652812838,0.005581395348837209,1.2047808612550723,36.163641600369274
