method,target,predicted_non_nominal_rows,timing_risk_delta_ns,timing_ci_low,timing_ci_high,charge_log10_delta,charge_ci_low,charge_ci_high
controls_only_ridge,manual_flag,4016,0.434688153032444,-0.04711638144538499,0.9596124451252925,-0.20027695643918708,-0.22909297127657702,-0.17365716986907298
traditional_hand_pca_qtemplate_ridge,manual_flag,1516,-0.8060297295668373,-1.4127877396107111,0.1697548360439738,-0.08837869986822344,-0.12859182627113652,-0.06192040043631808
latent_ridge,manual_flag,1289,-0.5763190823972906,-0.9816743318584287,0.11365263286756866,-0.11193315884554833,-0.15609174701801898,-0.08559701784666762
latent_gbt,manual_flag,1198,-0.07956318060525014,-0.36383423695774963,0.24495899366464435,-0.10721962170099486,-0.14579439869465285,-0.08841194599942037
latent_mlp,manual_flag,1234,-0.39690858869977896,-0.7351357198840098,0.2090479538358192,-0.1073744832968182,-0.14344697947164384,-0.09275229590363532
latent_stratum_permuted_ridge,manual_flag,2427,0.21503169809946954,-0.06274194338433806,0.44812226723106097,-0.04373143984853023,-0.06066855855072184,-0.022654727737183133
waveform_1d_cnn,manual_flag,703,-0.6687625647534006,-1.2557786256840635,0.010790065718264685,-0.16373730817430632,-0.19571740060187315,-0.14202073226457523
stratum_gated_fusion_new_arch,manual_flag,1253,-0.22158230917638377,-0.44469625120037337,0.19051366957456306,-0.10731047944482786,-0.14519870276351243,-0.08784789548160576
controls_only_ridge,peak_group,4252,-0.0637325303108991,-0.5683491080982364,0.128662111638139,-0.07151554513945069,-0.11671921146506747,-0.053513636286280974
traditional_hand_pca_qtemplate_ridge,peak_group,2198,-0.8466214075233163,-1.0682781569208557,-0.3181926754835245,-0.030114008788703295,-0.052856172339387,-0.0163801391162659
latent_ridge,peak_group,1599,-0.5379340913222226,-0.7449493079071425,0.0762145967564938,-0.07016540572338847,-0.10039285232083417,-0.05094419858867649
latent_gbt,peak_group,2175,-0.7660224838805281,-0.9819547973085193,-0.20136795700219667,-0.041316269031697495,-0.08051362040547039,-0.0175430477996259
latent_mlp,peak_group,2132,-0.768358243739411,-0.9553890622651289,-0.2497340766529219,-0.043553617867551075,-0.0823578251641548,-0.019671623665623805
latent_stratum_permuted_ridge,peak_group,2490,0.132469810358665,-0.10387819820104227,0.4022178480905678,0.009977748260511898,-0.021598493065245982,0.033176576614609044
waveform_1d_cnn,peak_group,1350,-0.6616659265450062,-1.158381374139421,0.10943962712824144,-0.1257224216940358,-0.1685377693340926,-0.10063368005921802
stratum_gated_fusion_new_arch,peak_group,2068,-0.6964182074491565,-0.9160280919631885,-0.16944290364229753,-0.04649632866966913,-0.07825462966075548,-0.026546738035072338
