method,target,delta_vs_traditional,ci_low,ci_high
controls_only_ridge,manual_flag,-0.43777907833023605,-0.4735289598508024,-0.40617163585045213
latent_ridge,manual_flag,-0.16099824591345246,-0.19421236787531648,-0.10224778833139714
latent_gbt,manual_flag,0.04272015682481889,0.022151206300431103,0.0702178588783261
latent_mlp,manual_flag,0.00591063640156253,-0.019025513730557497,0.033425255714220836
latent_stratum_permuted_ridge,manual_flag,-0.5827082969873959,-0.61744201169497,-0.5661531714640122
waveform_1d_cnn,manual_flag,-0.3471825150756628,-0.40513754114636813,-0.2590418648290659
stratum_gated_fusion_new_arch,manual_flag,-0.005275254105510774,-0.0330428317743614,0.034489619184242475
controls_only_ridge,peak_group,-0.4755456549411656,-0.5496876250718961,-0.42204444415758524
latent_ridge,peak_group,-0.17584729461534088,-0.19050412864122024,-0.16483928454001573
latent_gbt,peak_group,0.016453917028290577,0.006428859505084539,0.03078060982488795
latent_mlp,peak_group,0.013179747694945232,0.007979143260450017,0.017843085122991265
latent_stratum_permuted_ridge,peak_group,-0.5555812915976225,-0.5857621616925704,-0.5311739692199317
waveform_1d_cnn,peak_group,-0.28668112669789236,-0.29792422774325933,-0.2758379549399581
stratum_gated_fusion_new_arch,peak_group,0.037641518550581066,0.03136180342020545,0.05001221451686422
