method,train_rows,heldout_rows,feature_dim,train_mean_abs,heldout_mean_abs
controls_only_ridge,33784,5126,34,0.25037631392478943,0.24890050292015076
traditional_hand_pca_qtemplate_ridge,33784,5126,18,2.5494089126586914,2.5308659076690674
latent_ridge,33784,5126,4,0.5180867910385132,0.5411238074302673
latent_gbt,33784,5126,4,0.5180867910385132,0.5411238074302673
latent_mlp,33784,5126,4,0.5180867910385132,0.5411238074302673
latent_stratum_permuted_ridge,33784,5126,4,0.5165859460830688,0.5386533141136169
waveform_1d_cnn,33784,5126,18,0.435879111289978,0.42981839179992676
stratum_gated_fusion_new_arch,33784,5126,56,1.008473515510559,1.0032626390457153
pca_explained_variance_sum,33784,5126,6,0.9724910347112309,
