method,worst_pid_balanced_accuracy,worst_energy_fractional_sigma68,max_abs_energy_bias,worst_time_sigma68_ns,worst_pileup_miss_rate,n_transfer_cells,transfer_score
gradient_boosted_trees,0.9,0.14993101252789567,0.13192449271909948,11.340156346793588,0.6428571428571429,21,0.3336678824105986
template_residual_boosted_stack_new,0.5,0.14393355305136257,0.08847914541248357,10.987323527815596,0.7142857142857143,21,0.42336898858505256
ridge,0.5,0.14841162603844574,0.0736271165941196,12.293701936227215,0.8571428571428571,21,0.4465684999172727
deltaE_over_E_likelihood_template,0.48717948717948717,0.10501747973685192,0.055355438414647136,21.488549047517502,0.8,21,0.4936436422586199
1d_cnn,0.4883720930232558,0.30648364154773133,0.12993765199344282,21.68152198019331,0.6,21,0.6941996032931947
joint_sequence_transformer,0.5,0.4801696212740813,0.16327833783662815,26.190135789414228,0.8695652173913043,21,0.9268770738214516
mlp,0.5,0.5590472606681051,0.6372766517605023,36.852171700848785,1.0,21,1.1662966428526433
