stave,n_train_pulses,template_cfd20_sample,template_peak_sample,template_area
B2,256,2.4107226367881185,5,9.237228936249634
B4,256,3.04393411119431,6,10.811504701354878
B6,256,3.71411175898922,6,9.559409900901898
B8,246,4.364370917594897,8,9.387137159802384
