pool,heldout_run,train_run,file,sha256,bytes
run64_only,58,64,data/root/root/hrda_run_0064.root,58ce89dc72c8af359b6751b43e6dfbaf7eee84a6df0c5e101cb97975a33fc371,8852963
run64_only,59,64,data/root/root/hrda_run_0064.root,58ce89dc72c8af359b6751b43e6dfbaf7eee84a6df0c5e101cb97975a33fc371,8852963
run64_only,60,64,data/root/root/hrda_run_0064.root,58ce89dc72c8af359b6751b43e6dfbaf7eee84a6df0c5e101cb97975a33fc371,8852963
run64_only,61,64,data/root/root/hrda_run_0064.root,58ce89dc72c8af359b6751b43e6dfbaf7eee84a6df0c5e101cb97975a33fc371,8852963
run64_only,62,64,data/root/root/hrda_run_0064.root,58ce89dc72c8af359b6751b43e6dfbaf7eee84a6df0c5e101cb97975a33fc371,8852963
run64_only,63,64,data/root/root/hrda_run_0064.root,58ce89dc72c8af359b6751b43e6dfbaf7eee84a6df0c5e101cb97975a33fc371,8852963
run64_only,65,64,data/root/root/hrda_run_0064.root,58ce89dc72c8af359b6751b43e6dfbaf7eee84a6df0c5e101cb97975a33fc371,8852963
sample_iii_early,58,31,data/root/root/hrda_run_0031.root,9dc9ae16d4e5cc1e09c9aa3c43523f424d8baa17b635e4a62e116252dfd1e89a,9888079
sample_iii_early,58,32,data/root/root/hrda_run_0032.root,75b51295806f2fe960d70047b5f9a7301469abf9bc61d3da97f39017b3c6658c,10365191
sample_iii_early,58,33,data/root/root/hrda_run_0033.root,980b6b0fddcc7321c7bba3eed2695c560b8dc0870851b5c842211531ef741c09,13980468
sample_iii_early,58,34,data/root/root/hrda_run_0034.root,bf862dc62e0a341f09561ea2682203208ae9431186960ac30a4e7636a454d80c,9685894
sample_iii_early,58,35,data/root/root/hrda_run_0035.root,6218ea5cc30f54aa9bb3ab7a2f66e78655ab5e5bbc220a42cf0b446ee8278e65,6906038
sample_iii_early,58,36,data/root/root/hrda_run_0036.root,f3856daa9d9a0dce258790ec130a553e3b10f8da41752896d0fb9727b8f303e5,5406671
sample_iii_early,58,37,data/root/root/hrda_run_0037.root,1a0ebd9202bacb568de7ba7cd994b769e8c37e3e03c64af5ab19dfa22ad4fa4a,12558688
sample_iii_early,58,39,data/root/root/hrda_run_0039.root,d6d168608e742109ba75fddbb5dd533ddf14de06298c36dfa7b32a144a7a2f78,7551093
sample_iii_early,58,40,data/root/root/hrda_run_0040.root,1494136cc886313efb6407b4e6593a91bbb5aab4fb9e41fee61e6fd9d9d0dd8c,8132296
sample_iii_early,58,41,data/root/root/hrda_run_0041.root,a73d5176faac86db5729413a872bfa8893dc99a8f04703f20820917fd96527ca,8476807
sample_iii_early,58,42,data/root/root/hrda_run_0042.root,4231c6f44238a88e523bb6478ccdaf50ea8df54b0860ac5d6c07b111fe65903b,8439631
sample_iii_early,59,31,data/root/root/hrda_run_0031.root,9dc9ae16d4e5cc1e09c9aa3c43523f424d8baa17b635e4a62e116252dfd1e89a,9888079
sample_iii_early,59,32,data/root/root/hrda_run_0032.root,75b51295806f2fe960d70047b5f9a7301469abf9bc61d3da97f39017b3c6658c,10365191
sample_iii_early,59,33,data/root/root/hrda_run_0033.root,980b6b0fddcc7321c7bba3eed2695c560b8dc0870851b5c842211531ef741c09,13980468
sample_iii_early,59,34,data/root/root/hrda_run_0034.root,bf862dc62e0a341f09561ea2682203208ae9431186960ac30a4e7636a454d80c,9685894
sample_iii_early,59,35,data/root/root/hrda_run_0035.root,6218ea5cc30f54aa9bb3ab7a2f66e78655ab5e5bbc220a42cf0b446ee8278e65,6906038
sample_iii_early,59,36,data/root/root/hrda_run_0036.root,f3856daa9d9a0dce258790ec130a553e3b10f8da41752896d0fb9727b8f303e5,5406671
sample_iii_early,59,37,data/root/root/hrda_run_0037.root,1a0ebd9202bacb568de7ba7cd994b769e8c37e3e03c64af5ab19dfa22ad4fa4a,12558688
sample_iii_early,59,39,data/root/root/hrda_run_0039.root,d6d168608e742109ba75fddbb5dd533ddf14de06298c36dfa7b32a144a7a2f78,7551093
