pool,heldout_run,alpha,cv_rmse_ns_mean,cv_rmse_ns_std,note
run64_only,58,1000.0,,,single calibration run; no run-group CV
run64_only,59,1000.0,,,single calibration run; no run-group CV
run64_only,60,1000.0,,,single calibration run; no run-group CV
run64_only,61,1000.0,,,single calibration run; no run-group CV
run64_only,62,1000.0,,,single calibration run; no run-group CV
run64_only,63,1000.0,,,single calibration run; no run-group CV
run64_only,65,1000.0,,,single calibration run; no run-group CV
sample_iii_early,58,100.0,2.237486560787631,1.2198777168960708,run-group CV inside calibration pool
sample_iii_early,58,1000.0,2.2387407087016693,1.2245802009492792,run-group CV inside calibration pool
sample_iii_early,58,10.0,2.2514204516593592,1.2016348323025343,run-group CV inside calibration pool
sample_iii_early,58,1.0,2.2551843493379518,1.1974326331919993,run-group CV inside calibration pool
sample_iii_early,58,0.1,2.2556129412332053,1.1969635651514567,run-group CV inside calibration pool
sample_iii_early,58,0.01,2.255656380774341,1.1969161206424515,run-group CV inside calibration pool
sample_iii_early,59,100.0,2.237486560787631,1.2198777168960708,run-group CV inside calibration pool
sample_iii_early,59,1000.0,2.2387407087016693,1.2245802009492792,run-group CV inside calibration pool
sample_iii_early,59,10.0,2.2514204516593592,1.2016348323025343,run-group CV inside calibration pool
sample_iii_early,59,1.0,2.2551843493379518,1.1974326331919993,run-group CV inside calibration pool
sample_iii_early,59,0.1,2.2556129412332053,1.1969635651514567,run-group CV inside calibration pool
sample_iii_early,59,0.01,2.255656380774341,1.1969161206424515,run-group CV inside calibration pool
sample_iii_early,60,100.0,2.237486560787631,1.2198777168960708,run-group CV inside calibration pool
sample_iii_early,60,1000.0,2.2387407087016693,1.2245802009492792,run-group CV inside calibration pool
sample_iii_early,60,10.0,2.2514204516593592,1.2016348323025343,run-group CV inside calibration pool
sample_iii_early,60,1.0,2.2551843493379518,1.1974326331919993,run-group CV inside calibration pool
sample_iii_early,60,0.1,2.2556129412332053,1.1969635651514567,run-group CV inside calibration pool
sample_iii_early,60,0.01,2.255656380774341,1.1969161206424515,run-group CV inside calibration pool
sample_iii_early,61,100.0,2.237486560787631,1.2198777168960708,run-group CV inside calibration pool
sample_iii_early,61,1000.0,2.2387407087016693,1.2245802009492792,run-group CV inside calibration pool
sample_iii_early,61,10.0,2.2514204516593592,1.2016348323025343,run-group CV inside calibration pool
sample_iii_early,61,1.0,2.2551843493379518,1.1974326331919993,run-group CV inside calibration pool
sample_iii_early,61,0.1,2.2556129412332053,1.1969635651514567,run-group CV inside calibration pool
sample_iii_early,61,0.01,2.255656380774341,1.1969161206424515,run-group CV inside calibration pool
sample_iii_early,62,100.0,2.237486560787631,1.2198777168960708,run-group CV inside calibration pool
sample_iii_early,62,1000.0,2.2387407087016693,1.2245802009492792,run-group CV inside calibration pool
sample_iii_early,62,10.0,2.2514204516593592,1.2016348323025343,run-group CV inside calibration pool
sample_iii_early,62,1.0,2.2551843493379518,1.1974326331919993,run-group CV inside calibration pool
sample_iii_early,62,0.1,2.2556129412332053,1.1969635651514567,run-group CV inside calibration pool
