heldout_run,n_train_baseline_excursion,n_test_baseline_excursion,positive_rate_train,positive_rate_test,ml_auc,stratum_brier,ml_brier,stratum_log_loss,ml_log_loss,shuffled_brier
44,1749,35,0.0274442538593482,0.0,,0.004783824444078386,0.0028071083332309246,0.0434981404687305,0.027664558509354245,0.0053676567617252395
45,1349,435,0.02742772424017791,0.02528735632183908,0.6634862778730704,0.024989910657319668,0.025167847355036355,0.15429268182946657,0.12346740552511606,0.026868890135257104
46,1780,4,0.02696629213483146,0.0,,0.0006808890095191663,0.0013790672581702344,0.02598918626202984,0.02603886620916489,6.198051551015484e-05
47,1749,35,0.026872498570611778,0.02857142857142857,0.9705882352941176,0.028095960364152784,0.026971391614270472,0.1348676558080472,0.09861408817064514,0.0284970285162359
48,1553,231,0.026400515132002575,0.030303030303030304,0.5599489795918368,0.03398492566798809,0.031436035021923193,0.18723215052681902,0.15873705431252055,0.030149199950559164
49,1524,260,0.027559055118110236,0.023076923076923078,0.770997375328084,0.02286226268530255,0.025553023983854967,0.1383649272327455,0.11134518831788319,0.02372072018688056
50,1675,109,0.026865671641791045,0.027522935779816515,0.8867924528301887,0.026398884390747807,0.02314029077420615,0.11921400420969211,0.09452703449320941,0.0260533755932153
51,1702,82,0.025851938895417155,0.04878048780487805,0.5849358974358975,0.04559067327753128,0.049708787240839304,0.18387705851292116,0.23362094739570194,0.048150664525117376
52,1745,39,0.026934097421203437,0.02564102564102564,0.9736842105263158,0.025721653737410418,0.022862499075132374,0.12560476811282234,0.08180195740212998,0.02858424263997224
53,1701,83,0.027630805408583186,0.012048192771084338,0.9390243902439024,0.01235770527903807,0.011583246820239142,0.07067541431656138,0.051631205638469166,0.012566720437006377
54,1727,57,0.027793862188766647,0.0,,0.0010763582141940853,0.007751228000518229,0.028697310375023984,0.028695760568112846,0.0031847720615518415
55,1695,89,0.027728613569321534,0.011235955056179775,0.9318181818181818,0.0116345913749763,0.010897989607864585,0.06937564418438923,0.046941498913370655,0.012788661441480635
56,1665,119,0.026426426426426425,0.03361344537815126,0.6347826086956522,0.032949625631580624,0.02874807942495504,0.1437742063642952,0.13752938795716366,0.034546101025872286
57,1578,206,0.024714828897338403,0.043689320388349516,0.6153412295544276,0.04180491336634382,0.04620014086391421,0.18309892929012545,0.22089066825609932,0.04338184356955481
