feature
ref_amp_adc
integral_charge
p04_duplicate_charge
adaptive_lowering_adc
peak_sample
late_fraction
early_fraction
width_20_samples
baseline_mad
baseline_slope
saturation_count
secondary_peak
secondary_sep
post_peak_min
two_pulse_improvement
p01_pca_recon_mse
p01_latent_radius
p02_nearest_atom_distance
p02_atom_margin
p02_atom
p09a_outlier_score
p09a_template_rmse
p09a_baseline_z
p09a_late_z
ref_stave_B2
ref_stave_B4
ref_stave_B6
ref_stave_B8
pretrigger_bin_pt_mad_ge120
lowering_bin_lower_large
lowering_bin_lower_mild
peak_bin_peak_late
peak_bin_peak_nominal
peak_bin_peak_pre
late_bin_late_extreme
late_bin_late_high
late_bin_late_low
late_bin_late_mid
sat_bin_B2_sat_proxy
sat_bin_not_B2_sat_proxy
two_pulse_bin_tp_high
two_pulse_bin_tp_low
two_pulse_bin_tp_mod
label_pileup_or_long_tail
label_baseline_excursion
