file,entries,branches,tag_like_branches,has_tag_like_branch
hrdb_run_0012-sorted.root,14791,hrdEvtNo;hrd;hrd/hrd.channel;hrd/hrd.timestamp;hrd/hrd.sample;hrd/hrd.pole0;hrd/hrd.trap;hrd/hrd.baseline;hrdSum;hrdSum2;hrdMax;hrdMaxTS;hrdTrSum;hrdTrSum2;hrdTrMax,,False
hrdb_run_0013-sorted.root,50629,hrdEvtNo;hrd;hrd/hrd.channel;hrd/hrd.timestamp;hrd/hrd.sample;hrd/hrd.pole0;hrd/hrd.trap;hrd/hrd.baseline;hrdSum;hrdSum2;hrdMax;hrdMaxTS;hrdTrSum;hrdTrSum2;hrdTrMax,,False
hrdb_run_0014-sorted.root,3479,hrdEvtNo;hrd;hrd/hrd.channel;hrd/hrd.timestamp;hrd/hrd.sample;hrd/hrd.pole0;hrd/hrd.trap;hrd/hrd.baseline;hrdSum;hrdSum2;hrdMax;hrdMaxTS;hrdTrSum;hrdTrSum2;hrdTrMax,,False
hrdb_run_0015-sorted.root,103871,hrdEvtNo;hrd;hrd/hrd.channel;hrd/hrd.timestamp;hrd/hrd.sample;hrd/hrd.pole0;hrd/hrd.trap;hrd/hrd.baseline;hrdSum;hrdSum2;hrdMax;hrdMaxTS;hrdTrSum;hrdTrSum2;hrdTrMax,,False
hrdb_run_0016-sorted.root,11533,hrdEvtNo;hrd;hrd/hrd.channel;hrd/hrd.timestamp;hrd/hrd.sample;hrd/hrd.pole0;hrd/hrd.trap;hrd/hrd.baseline;hrdSum;hrdSum2;hrdMax;hrdMaxTS;hrdTrSum;hrdTrSum2;hrdTrMax,,False
hrdb_run_0017-sorted.root,5648,hrdEvtNo;hrd;hrd/hrd.channel;hrd/hrd.timestamp;hrd/hrd.sample;hrd/hrd.pole0;hrd/hrd.trap;hrd/hrd.baseline;hrdSum;hrdSum2;hrdMax;hrdMaxTS;hrdTrSum;hrdTrSum2;hrdTrMax,,False
hrdb_run_0018-sorted.root,75023,hrdEvtNo;hrd;hrd/hrd.channel;hrd/hrd.timestamp;hrd/hrd.sample;hrd/hrd.pole0;hrd/hrd.trap;hrd/hrd.baseline;hrdSum;hrdSum2;hrdMax;hrdMaxTS;hrdTrSum;hrdTrSum2;hrdTrMax,,False
hrdb_run_0019-sorted.root,73470,hrdEvtNo;hrd;hrd/hrd.channel;hrd/hrd.timestamp;hrd/hrd.sample;hrd/hrd.pole0;hrd/hrd.trap;hrd/hrd.baseline;hrdSum;hrdSum2;hrdMax;hrdMaxTS;hrdTrSum;hrdTrSum2;hrdTrMax,,False
hrdb_run_0020-sorted.root,57388,hrdEvtNo;hrd;hrd/hrd.channel;hrd/hrd.timestamp;hrd/hrd.sample;hrd/hrd.pole0;hrd/hrd.trap;hrd/hrd.baseline;hrdSum;hrdSum2;hrdMax;hrdMaxTS;hrdTrSum;hrdTrSum2;hrdTrMax,,False
hrdb_run_0021-sorted.root,0,hrdEvtNo;hrd;hrd/hrd.channel;hrd/hrd.timestamp;hrd/hrd.sample;hrd/hrd.pole0;hrd/hrd.trap;hrd/hrd.baseline;hrdSum;hrdSum2;hrdMax;hrdMaxTS;hrdTrSum;hrdTrSum2;hrdTrMax,,False
hrdb_run_0022-sorted.root,0,hrdEvtNo;hrd;hrd/hrd.channel;hrd/hrd.timestamp;hrd/hrd.sample;hrd/hrd.pole0;hrd/hrd.trap;hrd/hrd.baseline;hrdSum;hrdSum2;hrdMax;hrdMaxTS;hrdTrSum;hrdTrSum2;hrdTrMax,,False
hrdb_run_0023-sorted.root,3806,hrdEvtNo;hrd;hrd/hrd.channel;hrd/hrd.timestamp;hrd/hrd.sample;hrd/hrd.pole0;hrd/hrd.trap;hrd/hrd.baseline;hrdSum;hrdSum2;hrdMax;hrdMaxTS;hrdTrSum;hrdTrSum2;hrdTrMax,,False
hrdb_run_0024-sorted.root,24908,hrdEvtNo;hrd;hrd/hrd.channel;hrd/hrd.timestamp;hrd/hrd.sample;hrd/hrd.pole0;hrd/hrd.trap;hrd/hrd.baseline;hrdSum;hrdSum2;hrdMax;hrdMaxTS;hrdTrSum;hrdTrSum2;hrdTrMax,,False
hrdb_run_0025-sorted.root,3315,hrdEvtNo;hrd;hrd/hrd.channel;hrd/hrd.timestamp;hrd/hrd.sample;hrd/hrd.pole0;hrd/hrd.trap;hrd/hrd.baseline;hrdSum;hrdSum2;hrdMax;hrdMaxTS;hrdTrSum;hrdTrSum2;hrdTrMax,,False
hrdb_run_0026-sorted.root,53953,hrdEvtNo;hrd;hrd/hrd.channel;hrd/hrd.timestamp;hrd/hrd.sample;hrd/hrd.pole0;hrd/hrd.trap;hrd/hrd.baseline;hrdSum;hrdSum2;hrdMax;hrdMaxTS;hrdTrSum;hrdTrSum2;hrdTrMax,,False
hrdb_run_0027-sorted.root,34979,hrdEvtNo;hrd;hrd/hrd.channel;hrd/hrd.timestamp;hrd/hrd.sample;hrd/hrd.pole0;hrd/hrd.trap;hrd/hrd.baseline;hrdSum;hrdSum2;hrdMax;hrdMaxTS;hrdTrSum;hrdTrSum2;hrdTrMax,,False
hrdb_run_0028-sorted.root,5203,hrdEvtNo;hrd;hrd/hrd.channel;hrd/hrd.timestamp;hrd/hrd.sample;hrd/hrd.pole0;hrd/hrd.trap;hrd/hrd.baseline;hrdSum;hrdSum2;hrdMax;hrdMaxTS;hrdTrSum;hrdTrSum2;hrdTrMax,,False
hrdb_run_0029-sorted.root,25800,hrdEvtNo;hrd;hrd/hrd.channel;hrd/hrd.timestamp;hrd/hrd.sample;hrd/hrd.pole0;hrd/hrd.trap;hrd/hrd.baseline;hrdSum;hrdSum2;hrdMax;hrdMaxTS;hrdTrSum;hrdTrSum2;hrdTrMax,,False
