method,run,n,mean_bias_adc,mae_adc,rmse_adc
adaptive_pc,57,499,-361.87435871743486,395.15660320641274,1452.5979735397589
adaptive_pc,65,463,-164.79603671706263,182.94400647948163,723.3652284643227
mean3,57,499,14.99599198396792,306.5430861723447,874.8080031108746
mean3,65,463,-12.56227501799855,171.662347012239,593.0373370854029
median3,57,499,-15.438877755511022,320.44889779559117,978.0175215941124
median3,65,463,-51.56803455723542,195.40820734341253,726.2675193888423
ml_ridge_calibrated,57,499,0.6868313235185185,229.87053521443463,523.0017174331737
ml_ridge_calibrated,65,463,-33.004218052075714,162.16274160311775,382.7354320887716
